Hour,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),hour,Date,Time(hrs),TimeStamp
00:00:00,14.34,23.4,30.62,0,2019-07-25,0 days 00:00:00.000000000,2019-07-25 00:00:00
01:00:00,13.14,21.73,28.36,1,2019-07-25,0 days 01:00:00.000000000,2019-07-25 01:00:00
02:00:00,12.73,21.12,27.23,2,2019-07-25,0 days 02:00:00.000000000,2019-07-25 02:00:00
03:00:00,13.06,21.59,26.92,3,2019-07-25,0 days 03:00:00.000000000,2019-07-25 03:00:00
04:00:00,12.77,21.13,25.8,4,2019-07-25,0 days 04:00:00.000000000,2019-07-25 04:00:00
05:00:00,12.96,21.35,25.76,5,2019-07-25,0 days 05:00:00.000000000,2019-07-25 05:00:00
06:00:00,13.5,22.35,27.72,6,2019-07-25,0 days 06:00:00.000000000,2019-07-25 06:00:00
07:00:00,14.32,24.29,34.52,7,2019-07-25,0 days 07:00:00.000000000,2019-07-25 07:00:00
08:00:00,12.78,21.19,30.66,8,2019-07-25,0 days 08:00:00.000000000,2019-07-25 08:00:00
09:00:00,10.47,17.4,26.24,9,2019-07-25,0 days 09:00:00.000000000,2019-07-25 09:00:00
10:00:00,9.17,14.98,23.15,10,2019-07-25,0 days 10:00:00.000000000,2019-07-25 10:00:00
11:00:00,8.41,13.45,19.99,11,2019-07-25,0 days 11:00:00.000000000,2019-07-25 11:00:00
12:00:00,7.15,11.47,18.16,12,2019-07-25,0 days 12:00:00.000000000,2019-07-25 12:00:00
13:00:00,7.21,11.6,17.39,13,2019-07-25,0 days 13:00:00.000000000,2019-07-25 13:00:00
14:00:00,8.26,12.59,18.25,14,2019-07-25,0 days 14:00:00.000000000,2019-07-25 14:00:00
15:00:00,7.86,12.35,17.68,15,2019-07-25,0 days 15:00:00.000000000,2019-07-25 15:00:00
16:00:00,8.52,13.47,18.68,16,2019-07-25,0 days 16:00:00.000000000,2019-07-25 16:00:00
17:00:00,8.89,14.14,19.29,17,2019-07-25,0 days 17:00:00.000000000,2019-07-25 17:00:00
18:00:00,10.95,17.24,23.87,18,2019-07-25,0 days 18:00:00.000000000,2019-07-25 18:00:00
19:00:00,13.1,20.46,27.94,19,2019-07-25,0 days 19:00:00.000000000,2019-07-25 19:00:00
20:00:00,13.49,21.7,30.24,20,2019-07-25,0 days 20:00:00.000000000,2019-07-25 20:00:00
21:00:00,13.77,22.37,30.89,21,2019-07-25,0 days 21:00:00.000000000,2019-07-25 21:00:00
22:00:00,13.87,22.61,30.7,22,2019-07-25,0 days 22:00:00.000000000,2019-07-25 22:00:00
23:00:00,13.76,22.78,30.64,23,2019-07-25,0 days 23:00:00.000000000,2019-07-25 23:00:00
