TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3)
2017-08-28,67.33,89.55,137.65
2017-08-29,28.56,32.11,59.13
2017-09-08,180.6,205.9,270.1
2017-09-09,237.04,271.52,333.88
2017-09-20,86.61,93.0,111.09
2017-09-21,47.51,55.3,108.7
2017-09-22,161.38,240.0,271.1
2017-09-23,131.38,176.08,211.78
2017-10-12,32.83,48.54,65.87
2017-10-13,56.46,70.58,105.99
2017-10-14,18.92,44.9,75.17
2017-10-15,54.97,77.56,100.91
2017-10-16,46.79,53.05,90.87
2017-10-17,29.69,39.95,50.05
2017-10-18,27.28,37.28,46.76
2017-10-19,19.85,27.25,37.25
2017-10-20,21.01,29.26,39.89
2017-10-21,12.85,18.39,24.0
2017-10-22,13.17,19.4,24.14
2017-10-23,17.2,24.47,29.96
2017-10-24,13.31,19.18,22.09
2017-10-25,15.49,21.98,25.13
2017-10-26,14.06,20.26,25.43
2017-10-27,18.8,26.73,33.69
2017-10-28,27.23,37.35,47.25
2017-10-29,23.18,32.98,38.06
2017-10-30,18.19,26.11,30.69
2017-10-31,16.34,31.16,36.59
2017-11-01,16.97,39.55,45.32
2017-11-02,15.62,37.09,43.58
2017-11-03,14.16,33.42,38.43
2017-11-04,17.32,41.65,47.06
2017-11-05,25.72,60.03,65.93
2017-11-06,19.57,47.07,54.35
2017-11-07,19.84,47.32,51.65
2017-11-08,15.45,35.87,40.35
2017-11-09,8.15,17.35,19.47
2017-11-10,9.12,19.45,21.99
2017-11-11,9.55,20.25,22.63
2017-11-12,6.85,14.56,15.78
2017-11-13,7.2,15.54,17.45
2017-11-14,11.58,18.98,22.59
2017-11-15,5.01,11.63,15.28
2017-11-16,8.2,17.84,22.45
2017-11-17,7.44,16.19,18.5
2017-11-18,6.95,14.69,16.78
2017-11-19,9.39,20.17,22.75
2017-11-20,9.83,20.7,26.63
2017-11-21,8.41,17.45,20.39
2017-11-22,6.18,14.13,16.37
2017-11-23,32.93,42.86,47.57
2017-11-24,9.92,20.58,22.35
2017-11-25,12.77,25.84,27.99
2017-11-26,12.23,23.81,25.06
2017-11-27,13.54,25.71,27.95
2017-11-28,23.5,46.3,50.9
2017-11-29,12.52,24.42,27.9
2017-11-30,13.26,25.9,29.93
2017-12-01,24.54,49.36,54.5
2017-12-02,9.32,20.22,23.78
2017-12-03,10.7,22.79,25.17
2017-12-04,10.94,23.88,30.39
2017-12-05,25.73,42.14,56.32
2017-12-07,120.97,183.69,195.58
2017-12-08,229.09,388.35,395.7
2017-12-09,129.61,224.19,227.79
2017-12-10,233.84,353.2,366.28
2017-12-11,100.56,177.0,182.53
2017-12-12,123.89,203.61,220.9
2017-12-13,112.3,120.65,131.43
2017-12-14,15.9,22.42,36.77
2017-12-15,1.66,4.43,10.17
2017-12-16,1.31,3.44,7.27
2017-12-17,0.75,1.93,3.6
2017-12-18,1.09,2.85,6.82
2017-12-19,0.89,2.29,5.93
2017-12-20,0.37,1.19,3.37
2017-12-21,0.61,1.94,6.27
2017-12-22,0.51,1.64,3.5
2017-12-23,0.62,2.08,5.31
2017-12-24,0.53,1.87,4.74
2017-12-25,0.51,1.63,3.7
2017-12-26,0.21,0.74,1.61
2017-12-27,2.17,3.67,8.06
2017-12-28,0.68,2.15,5.31
2017-12-29,0.65,2.3,6.0
2017-12-30,0.62,2.16,5.51
2017-12-31,0.76,2.05,3.72
2018-01-01,0.58,1.42,2.01
2018-01-02,0.68,1.89,3.72
2018-01-03,1.55,5.53,12.18
2018-01-04,1.54,5.76,11.02
2018-01-05,0.77,2.55,6.09
2018-01-06,1.37,3.9,9.41
2018-01-07,1.19,3.31,7.98
2018-01-08,1.05,2.96,7.34
2018-01-09,1.12,2.85,6.36
2018-01-10,5.89,11.59,21.66
2018-01-13,0.17,1.04,2.01
2018-01-14,0.12,0.53,0.84
2018-01-15,0.27,1.06,2.31
2018-01-16,0.45,1.27,2.74
2018-01-17,0.36,1.63,4.22
2018-01-18,3.59,6.28,12.72
2018-01-20,35.08,45.64,132.78
2018-01-22,10.61,14.26,30.61
2018-01-23,23.58,30.51,79.48
2018-01-24,0.8,4.77,13.8
2018-01-25,5.19,14.09,36.27
2018-01-26,1.22,7.2,12.71
2018-01-27,1.91,11.67,27.07
2018-01-28,3.28,9.77,18.14
2018-01-29,1.35,8.92,25.03
2018-01-30,4.84,19.98,59.28
2018-01-31,6.74,22.33,60.13
2018-02-01,6.67,18.52,48.2
2018-02-02,6.12,16.02,38.13
2018-02-03,1.4,3.77,7.5
2018-02-04,1.68,4.51,8.77
2018-02-05,1.07,3.0,6.53
2018-02-06,1.01,2.97,5.67
2018-02-07,1.26,3.72,7.24
2018-02-08,1.39,4.45,10.38
2018-02-09,4.72,14.09,30.38
2018-02-10,4.09,12.04,25.42
2018-02-11,3.96,11.48,25.57
2018-02-12,4.72,14.12,36.72
2018-02-13,4.95,14.13,74.37
2018-02-15,0.86,2.68,12.96
2018-02-16,1.43,4.0,10.06
2018-02-17,1.27,3.67,12.33
2018-02-18,1.08,3.04,8.59
2018-02-19,0.81,2.17,7.25
2018-02-20,1.17,2.99,7.73
2018-02-21,3.36,7.3,13.5
2018-02-22,8.23,18.47,37.27
2018-02-23,0.85,2.31,6.18
2018-02-24,0.79,2.12,3.83
2018-02-25,1.18,2.91,4.82
2018-02-26,3.21,4.76,9.71
2018-02-28,11.38,14.99,27.33
2018-03-01,14.11,17.97,46.82
2018-03-05,28.41,38.58,78.19
2018-03-09,8.56,12.58,32.95
2018-03-10,15.42,19.62,37.59
2018-03-12,21.11,26.81,44.42
2018-03-13,30.99,39.21,62.57
2018-03-14,14.1,20.07,49.58
2018-03-15,15.72,21.21,33.06
2018-03-17,5.05,7.59,24.76
2018-03-21,8.38,13.46,63.09
2018-03-22,4.19,6.25,18.96
2018-03-23,14.2,20.08,34.52
2018-03-24,21.84,36.82,52.18
2018-03-25,3.15,5.06,17.28
2018-03-26,6.37,10.05,25.92
2018-03-28,1.96,6.0,12.94
2018-03-29,2.84,8.13,14.6
2018-03-30,3.74,8.92,16.76
2018-03-31,2.97,6.41,9.95
2018-04-01,2.42,5.03,6.42
2018-04-02,1.67,3.44,4.52
2018-04-03,4.12,7.96,11.63
2018-04-04,3.37,6.17,15.85
2018-04-05,4.04,7.11,16.14
2018-04-06,5.69,9.9,21.47
2018-04-07,4.05,7.23,16.57
2018-04-08,2.04,3.74,9.68
2018-04-09,2.2,3.74,7.84
2018-04-10,1.99,3.61,10.2
2018-04-11,3.79,6.9,17.94
2018-04-12,2.39,4.18,8.57
2018-04-13,2.29,4.11,10.74
2018-04-14,2.99,4.99,8.29
2018-04-15,5.75,10.04,19.37
2018-04-16,3.18,5.9,14.38
2018-04-17,3.6,6.42,13.2
2018-04-18,3.44,6.5,17.34
2018-04-19,2.72,5.01,9.34
2018-04-20,5.63,9.93,19.44
2018-04-21,1.97,3.5,7.89
2018-04-22,4.02,6.93,13.24
2018-04-23,5.37,8.87,13.29
2018-04-24,8.46,14.78,22.13
2018-04-25,2.96,5.15,10.58
2018-04-26,2.65,4.66,10.4
2018-04-27,1.1,1.85,6.21
2018-04-28,2.08,3.5,7.22
2018-04-29,2.11,3.74,8.46
2018-04-30,2.04,3.46,6.58
2018-05-01,1.11,1.94,4.12
2018-05-02,1.08,1.88,4.64
2018-05-03,1.56,2.62,5.22
2018-05-04,2.83,4.8,8.71
2018-05-05,2.06,3.58,6.31
2018-05-06,2.52,4.42,8.32
2018-05-07,3.16,5.36,9.98
2018-05-08,2.78,4.83,10.4
2018-05-09,4.55,7.92,19.34
2018-05-10,1.56,2.66,5.96
2018-05-11,5.34,9.02,18.83
2018-05-12,6.0,10.36,22.18
2018-05-13,4.4,7.66,15.12
2018-05-14,8.31,14.5,23.0
2018-05-15,3.71,6.63,16.03
2018-05-16,3.48,6.2,13.7
2018-05-17,1.43,2.61,7.85
2018-05-18,6.17,10.97,21.82
2018-05-19,6.73,12.11,20.69
2018-05-20,8.56,14.57,22.33
2018-05-21,5.59,9.54,20.32
2018-05-22,3.46,5.7,9.7
2018-05-23,11.63,18.39,24.15
2018-05-24,5.53,9.56,15.31
2018-05-25,6.36,10.65,14.97
2018-05-26,6.77,11.43,13.87
2018-05-27,6.34,10.79,12.89
2018-05-28,6.38,9.76,11.73
2018-05-29,4.73,8.27,11.12
2018-05-30,5.21,9.24,12.41
2018-05-31,5.43,9.48,12.42
2018-06-01,5.17,8.97,11.17
2018-06-02,9.79,17.06,19.75
2018-06-03,9.89,17.12,19.33
2018-06-04,7.13,11.99,13.75
2018-06-05,6.09,9.65,10.43
2018-06-06,6.98,10.55,11.72
2018-06-07,5.7,9.33,10.53
2018-06-08,10.63,18.93,20.88
2018-06-09,10.7,18.15,20.13
2018-06-10,17.48,34.36,37.99
2018-06-11,7.97,15.21,17.17
2018-06-12,6.3,12.26,14.42
2018-06-13,7.13,14.03,15.95
2018-06-14,6.14,11.72,12.88
2018-06-15,7.38,13.88,15.16
2018-06-16,5.73,11.01,12.09
2018-06-17,8.31,16.06,17.49
2018-06-18,7.13,13.57,14.82
2018-06-19,3.65,6.66,7.21
2018-06-20,6.62,12.15,13.05
2018-06-21,5.42,9.64,10.76
2018-06-26,4.96,7.09,7.23
2018-06-27,4.41,5.83,5.89
2018-06-28,2.19,2.68,2.69
2018-06-29,1.66,1.9,1.9
2018-06-30,0.84,0.95,0.95
2018-07-01,0.9,1.0,1.0
2018-07-02,0.51,0.57,0.57
2018-07-03,0.62,0.7,0.7
2018-07-04,0.58,0.65,0.65
2018-07-05,0.31,0.36,0.36
