MonthOfYear,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),EVI,NDVI,average humidity (%),total rainfall (mm),average pressure (kPa),total radiation (W/m2),average temperature (oC),predominant winddirection,average windspeed (m/s)
09-2017,124.22,159.71,201.8,0.1942,0.3566,79.55,9.65,87.693,17835.53,21.85,E,0.7
10-2017,22.54,31.68,40.77,0.2023,0.3377,84.5,1.07,87.665,0.0,20.55,NE,0.95
11-2017,12.98,27.19,30.76,0.1976,0.3479,79.95,216.68,87.63600000000001,118238.95,22.05,E,0.69
12-2017,23.64,40.43,45.1,0.1538,0.2998,73.99,27.74,87.59200000000001,124474.15,23.17,S,0.79
01-2018,2.18,6.72,16.37,0.1363,0.2782,69.63,28.44,87.58200000000001,115217.19,22.86,SE,0.9
02-2018,2.61,7.05,17.46,0.1136,0.2143,71.29,53.6,87.47200000000001,110826.36,23.97,SW,0.84
03-2018,10.83,16.77,30.63,0.1232,0.2331,82.93,179.04,87.635,100497.02,21.97,NW,1.29
04-2018,3.33,5.91,12.04,0.2494,0.4126,86.77,160.92,87.69,87066.04,21.31,SW,0.88
05-2018,4.55,7.79,13.29,0.1769,0.3624,83.41,2.49,87.736,92947.27,22.06,W,0.75
06-2018,6.82,12.18,13.55,0.1641,0.3435,81.65,0.24,87.85799999999999,85422.65,21.59,SW,0.67
07-2018,5.79,9.21,16.64,0.1511,0.341,76.15,19.95,87.87700000000001,125112.4,21.68,S,0.76
08-2018,29.55,42.67,48.98,0.1607,0.2924,58.19,86.88,87.84100000000001,112214.41,21.54,S,0.81
09-2018,18.81,26.22,27.75,0.2102,0.3505,78.7,77.94,87.65,120506.45,22.47,SE,0.82
10-2018,9.42,15.73,21.12,0.13,0.2341,81.35,225.8,87.671,115364.43,22.18,SE,0.87
11-2018,6.83,11.87,15.72,0.1963,0.3466,79.66,161.8,87.609,120177.83,22.95,SE,0.95
12-2018,5.52,7.96,8.42,0.184,0.3233,82.44,131.51,87.68799999999999,101651.61,22.35,SE,1.23
01-2019,9.74,17.04,26.34,0.2,0.3491,77.2,101.89,87.655,120291.58,23.56,SE,1.87
02-2019,6.8,12.22,22.91,0.1621,0.3036,72.64,83.31,87.62200000000001,133341.67,24.29,SE,1.5
03-2019,11.75,16.21,28.93,0.1848,0.2857,73.59,38.9,87.671,167422.77,23.98,S,0.66
