TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3)
2017-08-31,28.72,32.35,59.47
2017-09-30,124.22,159.71,201.8
2017-10-31,22.54,31.68,40.77
2017-11-30,12.98,27.19,30.76
2017-12-31,23.64,40.43,45.1
2018-01-31,2.18,6.72,16.37
2018-02-28,2.61,7.05,17.46
2018-03-31,10.83,16.77,30.63
2018-04-30,3.33,5.91,12.04
2018-05-31,4.55,7.79,13.29
2018-06-30,6.82,12.18,13.55
2018-07-31,5.79,9.21,16.64
2018-08-31,29.55,42.67,48.98
2018-09-30,18.81,26.22,27.75
2018-10-31,9.42,15.73,21.12
2018-11-30,6.83,11.87,15.72
2018-12-31,5.52,7.96,8.42
2019-01-31,9.74,17.04,26.34
2019-02-28,6.8,12.22,22.91
2019-03-31,11.75,16.21,28.93
2019-04-30,6.69,9.04,15.84
