TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3)
2017-08-28,67.33,89.55,137.65
2017-08-29,28.56,32.11,59.13
2017-08-30,107.925,122.88999999999999,168.395
2017-08-31,107.925,122.88999999999999,168.395
2017-09-01,107.925,122.88999999999999,168.395
2017-09-02,107.925,122.88999999999999,168.395
2017-09-03,107.925,122.88999999999999,168.395
2017-09-04,107.925,122.88999999999999,168.395
2017-09-05,107.925,122.88999999999999,168.395
2017-09-06,107.925,122.88999999999999,168.395
2017-09-07,107.925,122.88999999999999,168.395
2017-09-08,187.29,213.67,277.66
2017-09-09,136.95,153.33499999999998,194.375
2017-09-10,136.95,153.33499999999998,194.375
2017-09-11,136.95,153.33499999999998,194.375
2017-09-12,136.95,153.33499999999998,194.375
2017-09-13,136.95,153.33499999999998,194.375
2017-09-14,136.95,153.33499999999998,194.375
2017-09-15,136.95,153.33499999999998,194.375
2017-09-16,136.95,153.33499999999998,194.375
2017-09-17,136.95,153.33499999999998,194.375
2017-09-18,136.95,153.33499999999998,194.375
2017-09-19,136.95,153.33499999999998,194.375
2017-09-20,86.61,93.0,111.09
2017-09-21,47.51,55.3,108.7
2017-09-22,168.61,231.07,249.8
2017-09-23,102.49,139.14,190.66
2017-09-24,76.405,101.32,134.835
2017-09-25,76.405,101.32,134.835
2017-09-26,76.405,101.32,134.835
2017-09-27,76.405,101.32,134.835
2017-09-28,76.405,101.32,134.835
2017-09-29,76.405,101.32,134.835
2017-09-30,76.405,101.32,134.835
2017-10-01,76.405,101.32,134.835
2017-10-02,76.405,101.32,134.835
2017-10-03,76.405,101.32,134.835
2017-10-04,76.405,101.32,134.835
2017-10-05,76.405,101.32,134.835
2017-10-06,76.405,101.32,134.835
2017-10-07,76.405,101.32,134.835
2017-10-08,76.405,101.32,134.835
2017-10-09,76.405,101.32,134.835
2017-10-10,76.405,101.32,134.835
2017-10-11,76.405,101.32,134.835
2017-10-12,50.32,63.5,79.01
2017-10-13,52.18,67.93,115.08
2017-10-14,23.97,39.87,46.82
2017-10-15,56.93,79.27,104.46
2017-10-16,50.66,57.46,99.54
2017-10-17,29.17,39.38,47.89
2017-10-18,26.74,36.45,45.83
2017-10-19,19.26,26.56,36.91
2017-10-20,20.61,28.73,38.94
2017-10-21,12.19,17.61,23.41
2017-10-22,15.26,22.25,27.02
2017-10-23,17.24,24.45,30.05
2017-10-24,13.24,19.1,21.87
2017-10-25,13.74,19.55,22.35
2017-10-26,12.91,18.83,23.96
2017-10-27,20.66,29.23,36.91
2017-10-28,29.12,40.05,49.9
2017-10-29,22.09,31.36,35.95
2017-10-30,17.9,25.71,30.35
2017-10-31,15.23,31.19,36.72
2017-11-01,16.71,39.29,45.21
2017-11-02,15.86,37.23,43.54
2017-11-03,13.52,32.39,37.52
2017-11-04,19.04,45.4,50.94
2017-11-05,24.48,57.37,63.14
2017-11-06,19.72,47.32,54.54
2017-11-07,20.34,48.58,52.94
2017-11-08,14.12,32.45,36.6
2017-11-09,8.46,17.86,20.01
2017-11-10,8.74,18.82,21.34
2017-11-11,9.47,19.94,22.31
2017-11-12,7.04,15.06,16.34
2017-11-13,7.07,15.25,17.06
2017-11-14,11.24,18.43,22.5
2017-11-15,5.3,12.05,15.35
2017-11-16,8.47,18.41,23.06
2017-11-17,7.22,15.71,18.17
2017-11-18,7.07,15.27,17.45
2017-11-19,9.72,20.43,22.78
2017-11-20,9.19,19.21,23.82
2017-11-21,8.05,16.95,19.99
2017-11-22,6.22,14.11,16.3
2017-11-23,33.33,43.57,48.29
2017-11-24,10.49,21.82,23.83
2017-11-25,12.67,25.38,27.37
2017-11-26,12.31,23.92,25.06
2017-11-27,13.94,26.48,28.69
2017-11-28,23.05,45.69,50.96
2017-11-29,12.25,23.51,26.36
2017-11-30,15.51,30.61,34.89
2017-12-01,21.87,44.23,49.25
2017-12-02,9.64,20.81,24.3
2017-12-03,10.6,22.66,25.05
2017-12-04,11.51,25.12,32.1
2017-12-05,30.25,47.17,64.29
2017-12-06,77.22,118.815,133.15
2017-12-07,124.19,190.46,202.01
2017-12-08,232.24,393.33,400.82
2017-12-09,138.37,238.87,243.07
2017-12-10,206.83,309.02,321.25
2017-12-11,102.4,179.95,185.76
2017-12-12,126.4,203.76,223.81
2017-12-13,59.33,77.83,108.01
2017-12-14,9.29,13.9,25.19
2017-12-15,1.66,4.43,10.01
2017-12-16,1.13,2.96,6.33
2017-12-17,0.73,1.89,3.57
2017-12-18,1.16,3.02,7.04
2017-12-19,0.81,2.1,5.59
2017-12-20,0.41,1.31,3.99
2017-12-21,0.63,1.98,6.04
2017-12-22,0.62,2.05,4.76
2017-12-23,0.57,1.92,4.87
2017-12-24,0.47,1.67,3.98
2017-12-25,0.44,1.39,3.19
2017-12-26,0.2,0.7,1.54
2017-12-27,2.28,3.96,8.67
2017-12-28,0.67,2.18,5.37
2017-12-29,0.64,2.31,6.31
2017-12-30,0.59,1.95,4.85
2017-12-31,0.8,2.1,3.63
2018-01-01,0.54,1.35,1.92
2018-01-02,0.79,2.16,4.1
2018-01-03,1.61,5.87,12.77
2018-01-04,1.42,5.31,10.31
2018-01-05,0.77,2.54,6.19
2018-01-06,1.41,4.02,9.83
2018-01-07,1.16,3.2,7.78
2018-01-08,1.02,2.88,7.08
2018-01-09,1.42,3.61,7.64
2018-01-10,6.72,12.67,23.83
2018-01-11,3.44,6.8149999999999995,12.825
2018-01-12,3.44,6.8149999999999995,12.825
2018-01-13,0.16,0.96,1.82
2018-01-14,0.13,0.55,0.86
2018-01-15,0.28,1.08,2.36
2018-01-16,0.49,1.43,2.94
2018-01-17,0.37,1.71,4.41
2018-01-18,4.5,7.37,15.17
2018-01-19,19.79,26.505,73.975
2018-01-20,35.08,45.64,132.78
2018-01-21,22.845,29.95,81.695
2018-01-22,10.61,14.26,30.61
2018-01-23,23.58,30.51,79.48
2018-01-24,0.8,4.74,12.88
2018-01-25,5.29,14.7,37.17
2018-01-26,1.26,7.63,14.01
2018-01-27,1.8,11.08,26.46
2018-01-28,3.33,9.77,17.36
2018-01-29,1.34,9.05,25.58
2018-01-30,6.06,23.49,64.42
2018-01-31,6.09,19.75,56.5
2018-02-01,6.67,18.39,47.43
2018-02-02,5.6,14.61,35.94
2018-02-03,1.5,4.09,8.39
2018-02-04,1.56,4.16,7.72
2018-02-05,1.01,2.9,6.5
2018-02-06,1.01,2.96,5.54
2018-02-07,1.24,3.68,7.21
2018-02-08,1.73,5.55,12.99
2018-02-09,4.74,13.94,29.23
2018-02-10,4.56,13.53,30.04
2018-02-11,3.45,10.01,21.38
2018-02-12,4.87,14.53,37.65
2018-02-13,5.01,14.19,86.25
2018-02-14,2.98,8.54,49.1
2018-02-15,0.95,2.89,11.95
2018-02-16,1.46,4.07,10.54
2018-02-17,1.18,3.41,11.6
2018-02-18,1.14,3.18,8.66
2018-02-19,0.77,2.08,7.62
2018-02-20,1.22,3.06,7.14
2018-02-21,4.19,9.25,17.03
2018-02-22,8.75,19.37,40.62
2018-02-23,0.83,2.25,5.67
2018-02-24,0.88,2.34,4.22
2018-02-25,1.13,2.82,4.56
2018-02-26,3.75,5.2,10.94
2018-02-27,7.565,10.095,19.134999999999998
2018-02-28,11.38,14.99,27.33
2018-03-01,14.11,17.97,46.82
2018-03-02,21.259999999999998,28.275,62.504999999999995
2018-03-03,21.259999999999998,28.275,62.504999999999995
2018-03-04,21.259999999999998,28.275,62.504999999999995
2018-03-05,28.41,38.58,78.19
2018-03-06,18.485,25.58,55.57
2018-03-07,18.485,25.58,55.57
2018-03-08,18.485,25.58,55.57
2018-03-09,8.56,12.58,32.95
2018-03-10,15.42,19.62,37.59
2018-03-11,19.405,24.865000000000002,44.13
2018-03-12,23.39,30.11,50.67
2018-03-13,30.91,38.56,59.9
2018-03-14,16.85,23.53,50.7
2018-03-15,11.58,15.65,24.81
2018-03-16,8.315,11.620000000000001,24.785
2018-03-17,5.05,7.59,24.76
2018-03-18,6.715,10.525,43.925000000000004
2018-03-19,6.715,10.525,43.925000000000004
2018-03-20,6.715,10.525,43.925000000000004
2018-03-21,8.38,13.46,63.09
2018-03-22,4.19,6.25,18.96
2018-03-23,34.2,56.34,74.92
2018-03-24,14.4,23.79,37.5
2018-03-25,3.15,5.06,17.28
2018-03-26,6.37,10.05,25.92
2018-03-27,4.04,7.855,18.755000000000003
2018-03-28,1.71,5.66,11.59
2018-03-29,3.87,10.04,16.87
2018-03-30,3.13,7.52,15.01
2018-03-31,3.02,6.51,10.13
2018-04-01,2.18,4.5,5.74
2018-04-02,2.04,4.23,5.87
2018-04-03,3.83,7.15,10.27
2018-04-04,2.76,5.08,13.11
2018-04-05,5.28,9.18,19.3
2018-04-06,5.63,10.05,24.11
2018-04-07,3.9,6.95,15.16
2018-04-08,0.9,1.63,4.88
2018-04-09,2.62,4.48,9.09
2018-04-10,1.71,3.12,9.55
2018-04-11,4.3,7.78,19.54
2018-04-12,1.96,3.44,6.94
2018-04-13,2.15,3.85,10.44
2018-04-14,3.73,6.31,11.3
2018-04-15,5.51,9.57,17.38
2018-04-16,3.49,6.55,16.92
2018-04-17,2.86,5.07,10.11
2018-04-18,4.01,7.51,19.87
2018-04-19,3.76,6.85,12.82
2018-04-20,4.91,8.6,17.06
2018-04-21,1.89,3.4,7.71
2018-04-22,4.53,7.73,14.3
2018-04-23,5.59,9.4,13.97
2018-04-24,8.27,14.39,22.37
2018-04-25,3.18,5.56,11.38
2018-04-26,1.63,2.85,6.84
2018-04-27,1.19,2.01,6.51
2018-04-28,2.46,4.21,9.1
2018-04-29,2.15,3.76,7.95
