TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),hour,Hour
2017-08-28 18:00:00,67.33,89.55,137.65,18,0 days 18:00:00.000000000
2017-08-28 19:00:00,,,,19,0 days 19:00:00.000000000
2017-08-28 20:00:00,,,,20,0 days 20:00:00.000000000
2017-08-28 21:00:00,,,,21,0 days 21:00:00.000000000
2017-08-28 22:00:00,,,,22,0 days 22:00:00.000000000
2017-08-28 23:00:00,,,,23,0 days 23:00:00.000000000
2017-08-29 00:00:00,,,,0,0 days 00:00:00.000000000
2017-08-29 01:00:00,,,,1,0 days 01:00:00.000000000
2017-08-29 02:00:00,,,,2,0 days 02:00:00.000000000
2017-08-29 03:00:00,,,,3,0 days 03:00:00.000000000
2017-08-29 04:00:00,,,,4,0 days 04:00:00.000000000
2017-08-29 05:00:00,,,,5,0 days 05:00:00.000000000
2017-08-29 06:00:00,47.61,52.68,76.48,6,0 days 06:00:00.000000000
2017-08-29 07:00:00,20.8,24.02,56.79,7,0 days 07:00:00.000000000
2017-08-29 08:00:00,19.8,22.68,48.54,8,0 days 08:00:00.000000000
2017-08-29 09:00:00,25.84,28.59,50.59,9,0 days 09:00:00.000000000
2017-08-29 10:00:00,27.0,30.23,56.38,10,0 days 10:00:00.000000000
2017-08-29 11:00:00,,,,11,0 days 11:00:00.000000000
2017-08-29 12:00:00,,,,12,0 days 12:00:00.000000000
2017-08-29 13:00:00,,,,13,0 days 13:00:00.000000000
2017-08-29 14:00:00,,,,14,0 days 14:00:00.000000000
2017-08-29 15:00:00,,,,15,0 days 15:00:00.000000000
2017-08-29 16:00:00,,,,16,0 days 16:00:00.000000000
2017-08-29 17:00:00,,,,17,0 days 17:00:00.000000000
2017-08-29 18:00:00,,,,18,0 days 18:00:00.000000000
2017-08-29 19:00:00,,,,19,0 days 19:00:00.000000000
2017-08-29 20:00:00,33.77,42.07,124.6,20,0 days 20:00:00.000000000
2017-08-29 21:00:00,,,,21,0 days 21:00:00.000000000
2017-08-29 22:00:00,,,,22,0 days 22:00:00.000000000
2017-08-29 23:00:00,,,,23,0 days 23:00:00.000000000
2017-08-30 00:00:00,,,,0,0 days 00:00:00.000000000
2017-08-30 01:00:00,,,,1,0 days 01:00:00.000000000
2017-08-30 02:00:00,,,,2,0 days 02:00:00.000000000
2017-08-30 03:00:00,,,,3,0 days 03:00:00.000000000
2017-08-30 04:00:00,,,,4,0 days 04:00:00.000000000
2017-08-30 05:00:00,,,,5,0 days 05:00:00.000000000
2017-08-30 06:00:00,,,,6,0 days 06:00:00.000000000
2017-08-30 07:00:00,,,,7,0 days 07:00:00.000000000
2017-08-30 08:00:00,,,,8,0 days 08:00:00.000000000
2017-08-30 09:00:00,,,,9,0 days 09:00:00.000000000
2017-08-30 10:00:00,,,,10,0 days 10:00:00.000000000
2017-08-30 11:00:00,,,,11,0 days 11:00:00.000000000
2017-08-30 12:00:00,,,,12,0 days 12:00:00.000000000
2017-08-30 13:00:00,,,,13,0 days 13:00:00.000000000
2017-08-30 14:00:00,,,,14,0 days 14:00:00.000000000
2017-08-30 15:00:00,,,,15,0 days 15:00:00.000000000
2017-08-30 16:00:00,,,,16,0 days 16:00:00.000000000
2017-08-30 17:00:00,,,,17,0 days 17:00:00.000000000
2017-08-30 18:00:00,,,,18,0 days 18:00:00.000000000
2017-08-30 19:00:00,,,,19,0 days 19:00:00.000000000
2017-08-30 20:00:00,,,,20,0 days 20:00:00.000000000
2017-08-30 21:00:00,,,,21,0 days 21:00:00.000000000
2017-08-30 22:00:00,,,,22,0 days 22:00:00.000000000
2017-08-30 23:00:00,,,,23,0 days 23:00:00.000000000
2017-08-31 00:00:00,,,,0,0 days 00:00:00.000000000
2017-08-31 01:00:00,,,,1,0 days 01:00:00.000000000
2017-08-31 02:00:00,,,,2,0 days 02:00:00.000000000
2017-08-31 03:00:00,,,,3,0 days 03:00:00.000000000
2017-08-31 04:00:00,,,,4,0 days 04:00:00.000000000
2017-08-31 05:00:00,,,,5,0 days 05:00:00.000000000
2017-08-31 06:00:00,,,,6,0 days 06:00:00.000000000
2017-08-31 07:00:00,,,,7,0 days 07:00:00.000000000
2017-08-31 08:00:00,,,,8,0 days 08:00:00.000000000
2017-08-31 09:00:00,,,,9,0 days 09:00:00.000000000
2017-08-31 10:00:00,,,,10,0 days 10:00:00.000000000
2017-08-31 11:00:00,,,,11,0 days 11:00:00.000000000
2017-08-31 12:00:00,,,,12,0 days 12:00:00.000000000
2017-08-31 13:00:00,,,,13,0 days 13:00:00.000000000
2017-08-31 14:00:00,,,,14,0 days 14:00:00.000000000
2017-08-31 15:00:00,,,,15,0 days 15:00:00.000000000
2017-08-31 16:00:00,,,,16,0 days 16:00:00.000000000
2017-08-31 17:00:00,,,,17,0 days 17:00:00.000000000
2017-08-31 18:00:00,,,,18,0 days 18:00:00.000000000
2017-08-31 19:00:00,,,,19,0 days 19:00:00.000000000
2017-08-31 20:00:00,,,,20,0 days 20:00:00.000000000
2017-08-31 21:00:00,,,,21,0 days 21:00:00.000000000
2017-08-31 22:00:00,,,,22,0 days 22:00:00.000000000
2017-08-31 23:00:00,,,,23,0 days 23:00:00.000000000
2017-09-01 00:00:00,,,,0,0 days 00:00:00.000000000
2017-09-01 01:00:00,,,,1,0 days 01:00:00.000000000
2017-09-01 02:00:00,,,,2,0 days 02:00:00.000000000
2017-09-01 03:00:00,,,,3,0 days 03:00:00.000000000
2017-09-01 04:00:00,,,,4,0 days 04:00:00.000000000
2017-09-01 05:00:00,,,,5,0 days 05:00:00.000000000
2017-09-01 06:00:00,,,,6,0 days 06:00:00.000000000
2017-09-01 07:00:00,,,,7,0 days 07:00:00.000000000
2017-09-01 08:00:00,,,,8,0 days 08:00:00.000000000
2017-09-01 09:00:00,,,,9,0 days 09:00:00.000000000
2017-09-01 10:00:00,,,,10,0 days 10:00:00.000000000
2017-09-01 11:00:00,,,,11,0 days 11:00:00.000000000
2017-09-01 12:00:00,,,,12,0 days 12:00:00.000000000
2017-09-01 13:00:00,,,,13,0 days 13:00:00.000000000
2017-09-01 14:00:00,,,,14,0 days 14:00:00.000000000
2017-09-01 15:00:00,,,,15,0 days 15:00:00.000000000
2017-09-01 16:00:00,,,,16,0 days 16:00:00.000000000
2017-09-01 17:00:00,,,,17,0 days 17:00:00.000000000
2017-09-01 18:00:00,,,,18,0 days 18:00:00.000000000
2017-09-01 19:00:00,,,,19,0 days 19:00:00.000000000
2017-09-01 20:00:00,,,,20,0 days 20:00:00.000000000
2017-09-01 21:00:00,,,,21,0 days 21:00:00.000000000
2017-09-01 22:00:00,,,,22,0 days 22:00:00.000000000
2017-09-01 23:00:00,,,,23,0 days 23:00:00.000000000
2017-09-02 00:00:00,,,,0,0 days 00:00:00.000000000
2017-09-02 01:00:00,,,,1,0 days 01:00:00.000000000
2017-09-02 02:00:00,,,,2,0 days 02:00:00.000000000
2017-09-02 03:00:00,,,,3,0 days 03:00:00.000000000
2017-09-02 04:00:00,,,,4,0 days 04:00:00.000000000
2017-09-02 05:00:00,,,,5,0 days 05:00:00.000000000
2017-09-02 06:00:00,,,,6,0 days 06:00:00.000000000
2017-09-02 07:00:00,,,,7,0 days 07:00:00.000000000
2017-09-02 08:00:00,,,,8,0 days 08:00:00.000000000
2017-09-02 09:00:00,,,,9,0 days 09:00:00.000000000
2017-09-02 10:00:00,,,,10,0 days 10:00:00.000000000
2017-09-02 11:00:00,,,,11,0 days 11:00:00.000000000
2017-09-02 12:00:00,,,,12,0 days 12:00:00.000000000
2017-09-02 13:00:00,,,,13,0 days 13:00:00.000000000
2017-09-02 14:00:00,,,,14,0 days 14:00:00.000000000
2017-09-02 15:00:00,,,,15,0 days 15:00:00.000000000
2017-09-02 16:00:00,,,,16,0 days 16:00:00.000000000
2017-09-02 17:00:00,,,,17,0 days 17:00:00.000000000
2017-09-02 18:00:00,,,,18,0 days 18:00:00.000000000
2017-09-02 19:00:00,,,,19,0 days 19:00:00.000000000
2017-09-02 20:00:00,,,,20,0 days 20:00:00.000000000
2017-09-02 21:00:00,,,,21,0 days 21:00:00.000000000
2017-09-02 22:00:00,,,,22,0 days 22:00:00.000000000
2017-09-02 23:00:00,,,,23,0 days 23:00:00.000000000
2017-09-03 00:00:00,,,,0,0 days 00:00:00.000000000
2017-09-03 01:00:00,,,,1,0 days 01:00:00.000000000
2017-09-03 02:00:00,,,,2,0 days 02:00:00.000000000
2017-09-03 03:00:00,,,,3,0 days 03:00:00.000000000
2017-09-03 04:00:00,,,,4,0 days 04:00:00.000000000
2017-09-03 05:00:00,,,,5,0 days 05:00:00.000000000
2017-09-03 06:00:00,,,,6,0 days 06:00:00.000000000
2017-09-03 07:00:00,,,,7,0 days 07:00:00.000000000
2017-09-03 08:00:00,,,,8,0 days 08:00:00.000000000
2017-09-03 09:00:00,,,,9,0 days 09:00:00.000000000
2017-09-03 10:00:00,,,,10,0 days 10:00:00.000000000
2017-09-03 11:00:00,,,,11,0 days 11:00:00.000000000
2017-09-03 12:00:00,,,,12,0 days 12:00:00.000000000
2017-09-03 13:00:00,,,,13,0 days 13:00:00.000000000
2017-09-03 14:00:00,,,,14,0 days 14:00:00.000000000
2017-09-03 15:00:00,,,,15,0 days 15:00:00.000000000
2017-09-03 16:00:00,,,,16,0 days 16:00:00.000000000
2017-09-03 17:00:00,,,,17,0 days 17:00:00.000000000
2017-09-03 18:00:00,,,,18,0 days 18:00:00.000000000
2017-09-03 19:00:00,,,,19,0 days 19:00:00.000000000
2017-09-03 20:00:00,,,,20,0 days 20:00:00.000000000
2017-09-03 21:00:00,,,,21,0 days 21:00:00.000000000
2017-09-03 22:00:00,,,,22,0 days 22:00:00.000000000
2017-09-03 23:00:00,,,,23,0 days 23:00:00.000000000
2017-09-04 00:00:00,,,,0,0 days 00:00:00.000000000
2017-09-04 01:00:00,,,,1,0 days 01:00:00.000000000
2017-09-04 02:00:00,,,,2,0 days 02:00:00.000000000
2017-09-04 03:00:00,,,,3,0 days 03:00:00.000000000
2017-09-04 04:00:00,,,,4,0 days 04:00:00.000000000
2017-09-04 05:00:00,,,,5,0 days 05:00:00.000000000
2017-09-04 06:00:00,,,,6,0 days 06:00:00.000000000
2017-09-04 07:00:00,,,,7,0 days 07:00:00.000000000
2017-09-04 08:00:00,,,,8,0 days 08:00:00.000000000
2017-09-04 09:00:00,,,,9,0 days 09:00:00.000000000
2017-09-04 10:00:00,,,,10,0 days 10:00:00.000000000
2017-09-04 11:00:00,,,,11,0 days 11:00:00.000000000
2017-09-04 12:00:00,,,,12,0 days 12:00:00.000000000
2017-09-04 13:00:00,,,,13,0 days 13:00:00.000000000
2017-09-04 14:00:00,,,,14,0 days 14:00:00.000000000
2017-09-04 15:00:00,,,,15,0 days 15:00:00.000000000
2017-09-04 16:00:00,,,,16,0 days 16:00:00.000000000
2017-09-04 17:00:00,,,,17,0 days 17:00:00.000000000
2017-09-04 18:00:00,,,,18,0 days 18:00:00.000000000
2017-09-04 19:00:00,,,,19,0 days 19:00:00.000000000
2017-09-04 20:00:00,,,,20,0 days 20:00:00.000000000
2017-09-04 21:00:00,,,,21,0 days 21:00:00.000000000
2017-09-04 22:00:00,,,,22,0 days 22:00:00.000000000
2017-09-04 23:00:00,,,,23,0 days 23:00:00.000000000
2017-09-05 00:00:00,,,,0,0 days 00:00:00.000000000
2017-09-05 01:00:00,,,,1,0 days 01:00:00.000000000
2017-09-05 02:00:00,,,,2,0 days 02:00:00.000000000
2017-09-05 03:00:00,,,,3,0 days 03:00:00.000000000
2017-09-05 04:00:00,,,,4,0 days 04:00:00.000000000
2017-09-05 05:00:00,,,,5,0 days 05:00:00.000000000
2017-09-05 06:00:00,,,,6,0 days 06:00:00.000000000
2017-09-05 07:00:00,,,,7,0 days 07:00:00.000000000
2017-09-05 08:00:00,,,,8,0 days 08:00:00.000000000
2017-09-05 09:00:00,,,,9,0 days 09:00:00.000000000
2017-09-05 10:00:00,,,,10,0 days 10:00:00.000000000
