TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3)
2017-08-31,28.72,32.35,59.47
2017-09-30,124.22,159.71,201.8
2017-10-31,22.47,31.69,40.73
2017-11-30,13.03,27.29,30.85
2017-12-31,23.51,40.18,44.83
2018-01-31,2.2,6.8,16.53
2018-02-28,2.59,7.0,17.38
2018-03-31,10.73,16.64,30.33
2018-04-30,3.32,5.88,12.02
2018-05-31,4.61,7.89,13.39
2018-06-30,6.76,12.06,13.41
2018-07-31,5.81,9.24,16.71
2018-08-31,29.43,42.51,48.79
2018-09-30,18.91,26.39,27.94
2018-10-31,9.34,15.59,21.0
2018-11-30,6.83,11.86,15.71
2018-12-31,5.49,7.91,8.37
2019-01-31,9.81,17.17,26.56
2019-02-28,6.77,12.15,22.81
2019-03-31,11.69,16.12,28.76
2019-04-30,6.76,9.14,16.03
