TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),hour,EVI,NDVI,humidity (%),precipitation (mm),pressure (kPa),radiation (W/m2),temperature (oC),windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
2017-09-09 18:00:00,10.95,17.24,23.87,18,0.1942,0.3566,73,0.0,87.5,0.9,23.27,0.44,0,0,0,0,0,1,0,0
2017-09-09 19:00:00,13.1,20.46,27.94,19,0.1942,0.3566,77,0.0,87.58,0.0,22.72,0.38,0,0,1,0,0,0,0,0
2017-09-09 20:00:00,13.49,21.7,30.24,20,0.1942,0.3566,80,0.0,87.67,0.0,22.29,0.37,0,0,0,0,0,1,0,0
2017-09-09 21:00:00,13.77,22.37,30.89,21,0.1942,0.3566,82,0.0,87.66,0.0,21.71,0.34,0,1,0,0,0,0,0,0
2017-09-09 22:00:00,13.87,22.61,30.7,22,0.1942,0.3566,87,0.0,87.68,0.0,20.86,0.29,0,0,1,0,0,0,0,0
2017-09-09 23:00:00,13.76,22.78,30.64,23,0.1942,0.3566,90,0.0,87.77,0.0,20.3,0.46,0,0,0,0,0,1,0,0
2017-09-10 00:00:00,14.34,23.4,30.62,0,0.1942,0.3566,91,0.0,87.74,0.0,20.3,0.59,0,0,0,0,0,1,0,0
2017-09-10 01:00:00,13.14,21.73,28.36,1,0.1942,0.3566,91,0.0,87.67,0.0,20.14,0.99,0,0,0,0,0,1,0,0
2017-09-10 02:00:00,12.73,21.12,27.23,2,0.1942,0.3566,89,0.0,87.63,0.0,20.15,1.19,0,0,0,0,0,1,0,0
2017-09-10 03:00:00,13.06,21.59,26.92,3,0.1942,0.3566,89,0.0,87.59,0.0,19.78,0.69,1,0,0,0,0,0,0,0
2017-09-10 04:00:00,12.77,21.13,25.8,4,0.1942,0.3566,86,0.0,87.68,0.0,19.75,1.04,0,0,1,0,0,0,0,0
2017-09-10 05:00:00,12.96,21.35,25.76,5,0.1942,0.3566,93,0.0,87.72,0.0,19.4,0.51,1,0,0,0,0,0,0,0
2017-09-10 06:00:00,13.5,22.35,27.72,6,0.1942,0.3566,95,0.0,87.74,0.72,19.03,0.37,1,0,0,0,0,0,0,0
2017-09-10 07:00:00,14.32,24.29,34.52,7,0.1942,0.3566,97,0.0,87.78,36.35,19.32,0.43,0,0,0,0,0,0,0,1
2017-09-10 08:00:00,12.78,21.19,30.66,8,0.1942,0.3566,94,0.0,87.84,128.68,20.36,0.46,0,0,0,1,0,0,0,0
2017-09-10 09:00:00,10.47,17.4,26.24,9,0.1942,0.3566,86,0.0,87.88,295.5,22.14,0.58,0,0,0,0,0,0,0,1
2017-09-10 10:00:00,9.17,14.98,23.15,10,0.1942,0.3566,78,0.0,87.94,337.85,23.09,0.71,0,0,0,0,0,0,0,1
2017-09-10 11:00:00,8.41,13.45,19.99,11,0.1942,0.3566,70,0.0,87.89,760.4,25.3,0.92,0,1,0,0,0,0,0,0
2017-09-10 12:00:00,7.15,11.47,18.16,12,0.1942,0.3566,63,0.0,87.82,476.25,25.71,0.79,0,1,0,0,0,0,0,0
2017-09-10 13:00:00,7.21,11.6,17.39,13,0.1942,0.3566,61,0.0,87.73,262.57,25.79,0.57,1,0,0,0,0,0,0,0
2017-09-10 14:00:00,8.26,12.59,18.25,14,0.1942,0.3566,73,0.0,87.66,97.13,22.22,1.41,1,0,0,0,0,0,0,0
2017-09-10 15:00:00,7.86,12.35,17.68,15,0.1942,0.3566,70,0.0,87.55,453.62,22.81,0.91,0,1,0,0,0,0,0,0
2017-09-10 16:00:00,8.52,13.47,18.68,16,0.1942,0.3566,61,0.0,87.51,350.4,25.05,0.67,0,0,0,0,0,0,0,1
2017-09-10 17:00:00,8.89,14.14,19.29,17,0.1942,0.3566,54,0.0,87.49,310.97,26.37,0.79,0,0,0,0,0,0,0,1
2017-09-10 18:00:00,10.95,17.24,23.87,18,0.1942,0.3566,57,0.0,87.54,64.95,24.99,0.48,0,0,0,1,0,0,0,0
2017-09-10 19:00:00,13.1,20.46,27.94,19,0.1942,0.3566,65,0.0,87.65,0.0,23.06,0.35,0,1,0,0,0,0,0,0
2017-09-10 20:00:00,13.49,21.7,30.24,20,0.1942,0.3566,73,0.0,87.66,0.0,22.24,0.42,0,1,0,0,0,0,0,0
2017-09-10 21:00:00,13.77,22.37,30.89,21,0.1942,0.3566,77,0.0,87.73,0.0,21.54,0.39,0,0,1,0,0,0,0,0
2017-09-10 22:00:00,13.87,22.61,30.7,22,0.1942,0.3566,80,0.0,87.8,0.0,20.68,0.31,0,0,1,0,0,0,0,0
2017-09-10 23:00:00,13.76,22.78,30.64,23,0.1942,0.3566,83,0.0,87.8,0.0,20.14,0.43,0,0,1,0,0,0,0,0
2017-09-11 00:00:00,14.34,23.4,30.62,0,0.1942,0.3566,86,0.0,87.76,0.0,19.68,0.32,0,0,1,0,0,0,0,0
2017-09-11 01:00:00,13.14,21.73,28.36,1,0.1942,0.3566,90,0.0,87.72,0.0,19.37,0.53,0,1,0,0,0,0,0,0
2017-09-11 02:00:00,12.73,21.12,27.23,2,0.1942,0.3566,91,0.0,87.66,0.0,19.2,0.6,0,0,0,0,1,0,0,0
