,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),hour,EVI,NDVI,humidity (%),precipitation (mm),pressure (kPa),radiation (W/m2),temperature (oC),windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
PM1(Ug/m3),1.0,0.9804796376156012,0.9313164657569345,-0.03027474620588188,0.00293301411065524,-0.030519347990929226,-0.2018084243223338,-0.010496723110741502,0.013896470445193172,-0.10497173651211257,-0.11826906141457512,0.005616549987636594,0.015389982116965541,0.029455765861826518,0.009114130353499873,0.011777888751276958,-0.0033189593714706626,-0.006649886432165106,-0.021786769309762297,-0.021293131315202576
PM2.5(Ug/m3),0.9804796376156012,1.0,0.9554976829486628,-0.039063800926684655,-0.006254772190791461,-0.03440958926753672,-0.17050652414972284,-0.010176206449984,7.594536134028435e-05,-0.11775450653734086,-0.13245580309161034,0.009306909731731823,0.015507534435480893,0.0338951870534768,0.015097309601795554,0.023152430790231014,-0.020634831470544207,-0.012502421403191785,-0.019243085832437418,-0.012707181432710959
PM10(Ug/m3),0.9313164657569345,0.9554976829486628,1.0,-0.028308255730809993,-0.03931091348184089,-0.0692460937859733,-0.14595397829377668,-0.016994006141459496,-0.007631395956236854,-0.10902604918902123,-0.10960785481264165,0.01407604246770261,0.012700548903204307,0.03570054333917093,0.01851754753385752,0.024921124925220663,-0.027879174416896618,-0.009052920250928768,-0.017845526681248714,-0.012454422167061458
hour,-0.03027474620588188,-0.039063800926684655,-0.028308255730809993,1.0,2.7876041263977653e-05,-5.458181132387317e-05,-0.0009471219982321509,-0.02667954694361169,-0.1568257252750228,0.09909529882635196,0.35248763061783844,0.02204848038673316,-0.09327881317012124,-0.022345450317701264,-0.06735354108036112,0.07140617802389294,0.06349283650973303,-0.018596898067970886,0.009406353426282031,0.028929154833620855
EVI,0.00293301411065524,-0.006254772190791461,-0.03931091348184089,2.7876041263977653e-05,1.0,0.8739709962462142,0.040552322221426754,0.014372619578970002,0.07733374599588391,-0.00642653319849448,-0.04583603092825017,0.0026015351501910873,0.013579424324268534,-0.007809225459246324,0.01788445148013231,0.0030809329002294858,-0.03195553502635674,0.07387248933872795,-0.03441474645875592,-0.04587972909821181
NDVI,-0.030519347990929226,-0.03440958926753672,-0.0692460937859733,-5.458181132387317e-05,0.8739709962462142,1.0,0.057144511655928217,-0.00649288736162046,0.21455675348796313,-0.029240705555769853,-0.09357620207544522,0.01713510778568863,-0.051337665034205886,-0.0219032075952868,-0.024290601433073197,0.04607975473204983,-0.01605995979227646,0.04358195121537996,0.007163777941468657,-0.0005731083026056766
humidity (%),-0.2018084243223338,-0.17050652414972284,-0.14595397829377668,-0.0009471219982321509,0.040552322221426754,0.057144511655928217,1.0,0.015266606889393502,-0.11883436705231311,-0.00981236923794268,0.01574682354530081,-0.015144339892688204,-0.0012496582626011408,0.03364492533802998,0.015826130637092695,0.039556860633649354,-0.0688815126240271,-0.022212507196397762,0.009898987597758261,0.03430709823781478
precipitation (mm),-0.010496723110741502,-0.010176206449984,-0.016994006141459496,-0.02667954694361169,0.014372619578970002,-0.00649288736162046,0.015266606889393502,1.0,0.027926957402320554,-0.05320485229317393,-0.09194521940018946,-0.05619309207741631,0.04334217452837224,0.024784637977466037,0.01598083040812329,-0.02865304771620682,-0.015672036915722047,0.015165916382422475,-0.022164505740237508,-0.024470472284344326
pressure (kPa),0.013896470445193172,7.594536134028435e-05,-0.007631395956236854,-0.1568257252750228,0.07733374599588391,0.21455675348796313,-0.11883436705231311,0.027926957402320554,1.0,0.10553310508433945,-0.2767179349705037,-0.022343533849400382,0.06482956664532596,0.001718704558509842,0.03555285388139729,-0.0278087955821528,0.03641920620647976,-0.0506840384554802,-0.01451234686834033,-0.034212956732357684
radiation (W/m2),-0.10497173651211257,-0.11775450653734086,-0.10902604918902123,0.09909529882635196,-0.00642653319849448,-0.029240705555769853,-0.00981236923794268,-0.05320485229317393,0.10553310508433945,1.0,0.7562791747898928,0.04902356636010595,-0.004031633679652645,-0.048429064237606116,-0.023299440780772517,-0.13793978842974794,0.159408133218167,-0.0031491478805651695,0.039829869553346484,-0.0557896571442058
temperature (oC),-0.11826906141457512,-0.13245580309161034,-0.10960785481264165,0.35248763061783844,-0.04583603092825017,-0.09357620207544522,0.01574682354530081,-0.09194521940018946,-0.2767179349705037,0.7562791747898928,1.0,0.12041605073526938,-0.10030889833027976,-0.09532982272834503,-0.08673188237696557,-0.10366112997636392,0.17122472137033437,0.0784205294858505,0.04216198278869296,-0.03006984652408252
windspeed (m/s),0.005616549987636594,0.009306909731731823,0.01407604246770261,0.02204848038673316,0.0026015351501910873,0.01713510778568863,-0.015144339892688204,-0.05619309207741631,-0.022343533849400382,0.04902356636010595,0.12041605073526938,1.0,0.011076648227386103,-0.20529444681304138,-0.013619808474438319,0.02815857988144324,0.03767061433385121,0.017648927905626163,0.03330745670361864,0.026611455500516242
winddirection_E,0.015389982116965541,0.015507534435480893,0.012700548903204307,-0.09327881317012124,0.013579424324268534,-0.051337665034205886,-0.0012496582626011408,0.04334217452837224,0.06482956664532596,-0.004031633679652645,-0.10030889833027976,0.011076648227386103,1.0,-0.08839996818198499,-0.09631564629378109,-0.11231281459195812,-0.177489555260394,-0.18006256111451088,-0.12763800853224128,-0.11537938451024952
winddirection_N,0.029455765861826518,0.0338951870534768,0.03570054333917093,-0.022345450317701264,-0.007809225459246324,-0.0219032075952868,0.03364492533802998,0.024784637977466037,0.001718704558509842,-0.048429064237606116,-0.09532982272834503,-0.20529444681304138,-0.08839996818198499,1.0,-0.07369841172373477,-0.08593905943801589,-0.13581073089981674,-0.13777953298030454,-0.09766552856553017,-0.08828552484748693
winddirection_NE,0.009114130353499873,0.015097309601795554,0.01851754753385752,-0.06735354108036112,0.01788445148013231,-0.024290601433073197,0.015826130637092695,0.01598083040812329,0.03555285388139729,-0.023299440780772517,-0.08673188237696557,-0.013619808474438319,-0.09631564629378109,-0.07369841172373477,1.0,-0.09363437817772706,-0.14797175371509724,-0.15011685001666103,-0.10641088111076821,-0.0961909552565418
winddirection_NW,0.011777888751276958,0.023152430790231014,0.024921124925220663,0.07140617802389294,0.0030809329002294858,0.04607975473204983,0.039556860633649354,-0.02865304771620682,-0.0278087955821528,-0.13793978842974794,-0.10366112997636392,0.02815857988144324,-0.11231281459195812,-0.08593905943801589,-0.09363437817772706,1.0,-0.1725485399241472,-0.1750499175556784,-0.12408477771416411,-0.11216741348749727
winddirection_S,-0.0033189593714706626,-0.020634831470544207,-0.027879174416896618,0.06349283650973303,-0.03195553502635674,-0.01605995979227646,-0.0688815126240271,-0.015672036915722047,0.03641920620647976,0.159408133218167,0.17122472137033437,0.03767061433385121,-0.177489555260394,-0.13581073089981674,-0.14797175371509724,-0.1725485399241472,1.0,-0.27663390084381223,-0.1960929577900863,-0.17725977580499852
winddirection_SE,-0.006649886432165106,-0.012502421403191785,-0.009052920250928768,-0.018596898067970886,0.07387248933872795,0.04358195121537996,-0.022212507196397762,0.015165916382422475,-0.0506840384554802,-0.0031491478805651695,0.0784205294858505,0.017648927905626163,-0.18006256111451088,-0.13777953298030454,-0.15011685001666103,-0.1750499175556784,-0.27663390084381223,1.0,-0.19893565085788867,-0.17982945062431757
winddirection_SW,-0.021786769309762297,-0.019243085832437418,-0.017845526681248714,0.009406353426282031,-0.03441474645875592,0.007163777941468657,0.009898987597758261,-0.022164505740237508,-0.01451234686834033,0.039829869553346484,0.04216198278869296,0.03330745670361864,-0.12763800853224128,-0.09766552856553017,-0.10641088111076821,-0.12408477771416411,-0.1960929577900863,-0.19893565085788867,1.0,-0.12747276730407553
winddirection_W,-0.021293131315202576,-0.012707181432710959,-0.012454422167061458,0.028929154833620855,-0.04587972909821181,-0.0005731083026056766,0.03430709823781478,-0.024470472284344326,-0.034212956732357684,-0.0557896571442058,-0.03006984652408252,0.026611455500516242,-0.11537938451024952,-0.08828552484748693,-0.0961909552565418,-0.11216741348749727,-0.17725977580499852,-0.17982945062431757,-0.12747276730407553,1.0
