Hour,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),hour,Date,Time(hrs),TimeStamp
00:00:00,25.37,39.18,76.71,0,2019-06-15,0 days 00:00:00.000000000,2019-06-15 00:00:00
01:00:00,21.74,32.78,60.03,1,2019-06-15,0 days 01:00:00.000000000,2019-06-15 01:00:00
02:00:00,19.15,30.04,50.57,2,2019-06-15,0 days 02:00:00.000000000,2019-06-15 02:00:00
03:00:00,17.47,27.2,43.55,3,2019-06-15,0 days 03:00:00.000000000,2019-06-15 03:00:00
04:00:00,16.82,26.81,40.21,4,2019-06-15,0 days 04:00:00.000000000,2019-06-15 04:00:00
05:00:00,15.96,25.39,37.88,5,2019-06-15,0 days 05:00:00.000000000,2019-06-15 05:00:00
06:00:00,18.23,28.97,50.12,6,2019-06-15,0 days 06:00:00.000000000,2019-06-15 06:00:00
07:00:00,21.76,34.61,80.54,7,2019-06-15,0 days 07:00:00.000000000,2019-06-15 07:00:00
08:00:00,19.65,30.93,73.3,8,2019-06-15,0 days 08:00:00.000000000,2019-06-15 08:00:00
09:00:00,14.42,23.35,1344.93,9,2019-06-15,0 days 09:00:00.000000000,2019-06-15 09:00:00
10:00:00,11.31,18.09,51.14,10,2019-06-15,0 days 10:00:00.000000000,2019-06-15 10:00:00
11:00:00,9.95,15.46,45.22,11,2019-06-15,0 days 11:00:00.000000000,2019-06-15 11:00:00
12:00:00,7.76,13.11,42.63,12,2019-06-15,0 days 12:00:00.000000000,2019-06-15 12:00:00
13:00:00,7.55,12.75,40.44,13,2019-06-15,0 days 13:00:00.000000000,2019-06-15 13:00:00
14:00:00,7.13,12.08,39.87,14,2019-06-15,0 days 14:00:00.000000000,2019-06-15 14:00:00
15:00:00,7.1,11.53,35.16,15,2019-06-15,0 days 15:00:00.000000000,2019-06-15 15:00:00
16:00:00,7.56,12.09,40.54,16,2019-06-15,0 days 16:00:00.000000000,2019-06-15 16:00:00
17:00:00,9.64,15.24,50.77,17,2019-06-15,0 days 17:00:00.000000000,2019-06-15 17:00:00
18:00:00,12.64,19.46,55.15,18,2019-06-15,0 days 18:00:00.000000000,2019-06-15 18:00:00
19:00:00,18.72,27.56,74.96,19,2019-06-15,0 days 19:00:00.000000000,2019-06-15 19:00:00
20:00:00,22.06,32.71,93.82,20,2019-06-15,0 days 20:00:00.000000000,2019-06-15 20:00:00
21:00:00,23.1,34.08,89.25,21,2019-06-15,0 days 21:00:00.000000000,2019-06-15 21:00:00
22:00:00,22.76,34.11,85.31,22,2019-06-15,0 days 22:00:00.000000000,2019-06-15 22:00:00
23:00:00,-3270462694755312.0,34.68,-19735990695.23,23,2019-06-15,0 days 23:00:00.000000000,2019-06-15 23:00:00
