TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3)
2017-09-08,9.67,13.25,37.19
2017-09-09,38.37,56.42,133.1
2017-09-10,37.62,52.33,121.29
2017-09-11,40.55,59.36,149.85
2017-09-12,66.02,92.71,144.65
2017-09-13,21.02,28.63,44.71
2017-09-14,24.71,30.51,53.73
2017-09-15,29.59,43.47,118.55
2017-09-16,28.41,43.45,130.58
2017-09-17,34.67,50.11,130.65
2017-09-20,14.1,19.96,53.01
2017-09-21,24.79,38.06,117.11
2017-09-22,18.27,27.87,104.71
2017-09-23,23.99,35.24,129.02
2017-09-24,28.79,40.73,130.61
2017-09-25,20.2,28.63,91.25
2017-09-26,15.08,21.27,66.56
2017-09-27,29.39,39.31,86.7
2017-09-28,17.49,25.03,84.35
2017-09-29,17.35,23.3,66.18
2017-09-30,16.87,25.42,97.07
2017-10-01,16.6,23.63,72.46
2017-10-02,24.32,34.3,107.8
2017-10-03,18.28,27.48,116.55
2017-10-04,24.05,36.0,174.24
2017-10-05,22.11,30.84,102.97
2017-10-06,22.91,32.94,123.34
2017-10-07,24.52,37.37,160.02
2017-10-08,19.66,28.93,100.3
2017-10-09,18.33,27.75,116.98
2017-10-10,13.59,20.32,73.5
2017-10-11,9.02,14.66,50.89
2017-10-12,6.82,10.59,64.01
2017-10-13,4.74,6.62,8.41
2017-10-15,11.86,18.23,33.35
2017-10-16,1.21,4.27,49.48
2017-10-17,8.08,11.5,31.93
2017-10-18,8.02,10.74,38.61
2017-10-19,13.06,17.35,46.46
2017-10-23,13.42,17.87,42.91
2017-10-24,17.01,24.96,82.21
2017-10-25,21.01,29.69,78.8
2017-10-26,11.14,15.52,45.19
2017-10-27,15.25,22.37,86.5
2017-10-28,15.85,28.41,134.67
2017-10-29,7.95,10.63,31.2
2017-10-30,12.25,17.09,54.45
2017-10-31,14.31,21.1,76.77
2017-11-01,18.94,28.82,121.75
2017-11-02,15.03,22.49,78.21
2017-11-03,16.04,23.66,77.83
2017-11-04,24.0,32.43,76.82
2017-11-05,10.66,17.0,98.55
2017-11-06,14.04,20.49,73.11
2017-11-07,6.27,9.63,35.28
2017-11-10,9.52,12.33,23.43
2017-11-11,5.83,7.42,15.9
2017-11-12,23.67,29.96,57.72
2017-11-13,15.08,20.65,54.29
2017-11-14,12.06,16.54,45.27
2017-11-15,17.09,25.62,98.5
2017-11-16,20.18,29.24,108.89
2017-11-17,19.29,28.57,108.16
2017-11-18,15.52,21.49,66.84
2017-11-19,16.36,23.39,74.38
2017-11-20,23.26,33.4,126.46
2017-11-21,20.03,30.09,117.86
2017-11-22,22.0,32.71,131.82
2017-11-23,21.01,31.53,108.99
2017-11-24,21.64,32.45,115.32
2017-11-25,17.27,26.63,100.03
2017-11-26,13.26,19.05,53.14
2017-11-27,-3.072886288659792e+16,23.45,-185245935903.54
2017-11-28,17.05,25.48,96.56
2017-11-29,10.63,16.35,72.92
2017-11-30,18.33,33.05,168.84
2017-12-01,19.13,27.4,83.14
2017-12-02,9.28,16.17,142.08
2017-12-03,3.63,7.38,39.84
2017-12-04,16.91,23.68,67.58
2017-12-05,10.51,19.29,76.79
2017-12-07,4.94,6.95,15.32
2017-12-08,3.08,4.97,13.8
2017-12-09,6.59,9.56,29.34
2017-12-10,8.66,12.07,23.43
2017-12-11,13.93,18.83,34.89
2017-12-12,19.9,28.26,58.66
2017-12-17,5.23,8.4,36.01
2017-12-18,25.01,39.69,187.35
2017-12-19,7.23,12.84,79.83
2017-12-20,6.36,11.44,64.16
2017-12-21,8.76,15.7,94.45
2017-12-22,10.85,19.47,122.76
2017-12-23,10.8,19.79,122.54
2017-12-24,6.59,12.46,198.74
2017-12-27,3.31,7.63,250.45
2017-12-28,5.15,7.23,68.39
2017-12-29,2.89,7.38,392.84
2017-12-30,22.01,39.58,124.88
2017-12-31,26.29,55.54,315.06
2018-01-02,133.3,174.91,255.88
2018-01-03,294.95,491.24,534.25
2018-01-06,12.56,18.82,469.2
2018-01-07,17.05,28.19,169.18
2018-01-08,16.67,20.6,231.8
2018-01-11,9.74,15.59,65.67
2018-01-12,18.95,25.37,53.04
2018-01-14,7.38,10.31,28.15
2018-01-15,6.4,9.5,24.7
2018-01-16,20.74,26.37,40.66
2018-01-17,20.97,32.39,122.87
2018-01-18,15.41,23.8,87.59
2018-01-19,15.04,24.56,111.91
2018-01-20,16.33,25.32,89.89
2018-01-21,12.96,19.57,76.66
2018-01-22,14.98,30.1,456.13
2018-01-23,8.62,13.93,63.34
2018-01-24,7.91,11.29,34.21
2018-01-25,14.55,20.8,56.75
2018-01-26,14.99,20.78,70.64
2018-01-27,12.15,18.07,48.99
2018-01-28,8.09,13.63,50.12
2018-01-29,25.12,43.33,174.71
2018-01-30,13.01,22.83,103.23
2018-01-31,9.71,15.87,59.74
2018-02-01,7.02,11.23,37.54
2018-02-02,10.19,16.72,69.23
2018-02-03,16.34,27.57,125.76
2018-02-04,14.29,22.29,82.4
2018-02-05,11.79,21.29,111.43
2018-02-06,10.14,16.97,71.33
2018-02-07,8.3,14.7,74.59
2018-02-08,8.25,15.11,70.79
2018-02-09,18.76,28.69,100.25
2018-02-10,16.75,27.64,108.55
2018-02-11,13.04,22.97,108.08
2018-02-12,10.71,19.26,98.7
2018-02-13,9.0,16.64,79.5
2018-02-15,11.99,21.06,121.42
2018-02-16,12.66,22.43,116.18
2018-02-17,7.22,13.57,62.37
2018-02-18,8.56,15.61,79.3
2018-02-19,3.14,5.96,32.46
2018-02-20,5.38,8.57,35.9
2018-02-21,8.0,13.03,48.99
2018-02-22,10.23,15.92,55.02
2018-02-23,4.29,8.11,37.39
2018-02-24,7.39,10.51,30.49
2018-02-25,11.94,17.46,56.73
2018-02-26,17.27,23.2,53.92
2018-02-27,8.24,11.45,29.55
2018-02-28,9.96,14.71,45.0
2018-03-01,10.91,15.14,38.0
2018-03-02,7.34,9.75,19.75
2018-03-03,8.48,15.79,55.58
2018-03-04,6.14,8.17,14.42
2018-03-05,8.08,13.1,37.98
2018-03-06,7.33,11.51,34.86
2018-03-07,8.9,12.62,31.3
2018-03-08,8.43,13.49,44.6
2018-03-09,5.44,9.85,46.84
2018-03-10,6.55,9.9,29.13
2018-03-11,3.61,5.57,18.0
2018-03-12,6.2,10.33,32.35
2018-03-13,6.83,11.92,41.67
2018-03-14,12.16,18.44,54.8
2018-03-15,3.98,5.54,13.05
2018-03-16,3.99,5.4,9.78
2018-03-17,4.2,5.58,14.58
2018-03-18,3.45,4.88,10.39
2018-03-19,10.22,29.56,33.04
2018-03-20,26.85,84.96,91.72
2018-03-21,56.77,187.2,201.93
2018-03-22,5.1,7.11,11.58
2018-03-23,3.94,5.85,9.17
2018-03-28,3.56,7.48,10.84
2018-03-29,4.27,8.84,11.14
2018-06-24,27.15,35.0,55.69
2018-06-25,11.96,19.91,45.92
2018-06-26,15.32,23.4,47.69
2018-06-27,21.89,32.62,53.82
2018-06-28,19.64,30.38,63.73
2018-06-29,26.55,39.71,76.74
2018-06-30,22.04,32.28,54.93
2018-07-01,26.53,38.73,63.54
2018-07-02,17.99,26.24,48.02
2018-07-03,21.6,32.03,52.51
2018-07-04,30.72,47.23,85.06
2018-07-05,12.06,18.76,40.79
2018-07-06,8.03,13.08,33.3
2018-07-07,19.75,31.27,63.39
2018-07-08,14.7,23.96,58.98
2018-07-09,12.64,19.61,43.59
2018-07-10,16.56,26.18,58.47
2018-07-11,13.95,21.98,47.19
2018-07-12,20.16,30.62,56.2
2018-07-13,18.24,28.74,64.12
2018-07-14,29.52,47.34,103.72
2018-07-15,37.14,57.58,98.73
2018-07-16,20.19,31.19,65.72
2018-07-17,13.58,21.35,49.39
2018-07-18,7.86,12.99,37.75
2018-07-19,11.6,19.03,46.78
2018-07-20,17.57,28.22,59.4
2018-07-21,25.03,39.14,75.13
2018-07-22,12.52,20.38,43.64
2018-07-23,10.61,18.67,45.37
2018-07-24,9.2,16.48,43.14
2018-07-25,11.5,19.24,39.12
2018-08-02,15.32,22.48,46.74
2018-08-03,21.9,32.43,61.02
2018-08-04,18.41,27.96,54.94
2018-08-05,17.95,25.69,43.36
2018-08-06,16.07,24.16,43.21
2018-08-07,12.69,20.41,41.52
2018-08-08,21.59,34.69,67.06
2018-08-09,21.61,34.31,63.94
2018-08-10,21.38,34.12,73.13
2018-08-11,26.32,40.02,70.13
2018-08-12,14.9,21.77,42.78
2018-08-15,5.3,8.42,24.89
2018-08-25,20.1,29.71,46.7
2018-08-26,23.68,33.89,45.82
2018-08-27,10.61,15.95,26.18
2018-08-28,32.42,47.83,66.29
2018-08-30,9.91,16.16,37.79
2018-08-31,23.59,38.36,87.66
2018-09-01,19.41,31.01,60.23
2018-09-02,16.19,26.5,59.78
2018-09-03,21.62,33.99,59.24
2018-09-12,0.03,0.04,0.04
2018-09-13,0.01,0.01,0.01
2018-09-14,0.02,0.02,0.02
2018-09-17,0.01,0.01,0.01
2018-09-21,9.55,11.33,19.4
2018-09-24,13.57,17.89,23.84
2018-09-25,21.14,29.21,38.61
2018-09-26,16.2,22.49,27.16
2018-09-27,34.49,47.95,55.31
2018-09-28,19.85,27.66,33.53
2018-09-29,11.71,16.68,21.6
2018-09-30,17.16,24.11,30.07
2018-10-01,21.27,29.76,37.02
2018-10-02,16.07,23.3,29.98
2018-10-03,19.22,27.48,34.24
2018-10-04,66.61,77.56,81.99
2018-10-11,20.37,27.91,33.16
2018-10-12,23.27,32.27,37.36
2018-10-13,29.05,38.56,42.61
2018-10-14,8.18,9.9,12.18
2018-10-15,11.1,14.22,16.86
2018-10-16,13.8,19.2,24.71
2018-10-17,8.43,11.26,14.32
2018-10-18,10.77,13.57,17.96
2018-10-19,11.98,16.4,20.9
2018-10-20,2.31,2.96,3.84
2018-10-21,31.83,43.05,49.88
2018-10-22,24.31,31.76,35.72
2018-10-23,39.99,48.31,53.15
2018-10-24,4.9,6.26,8.04
2018-10-26,8.74,10.69,12.73
2018-10-29,10.8,14.05,19.2
2018-10-30,12.53,15.34,17.98
2018-10-31,14.13,18.09,20.09
2018-11-03,4.36,6.21,9.8
2018-11-06,20.84,28.63,33.18
2018-11-07,13.08,16.83,19.09
2018-11-08,0.14,0.15,0.15
2018-11-09,0.53,0.55,0.55
2018-11-10,0.01,0.01,0.01
2018-11-11,0.01,0.01,0.01
2018-11-12,0.01,0.01,0.01
2018-11-13,0.01,0.01,0.01
2018-11-14,0.01,0.01,0.01
2018-11-15,0.73,0.76,0.76
2018-11-16,0.6,0.62,0.62
2018-11-18,10.12,13.54,17.01
2018-11-19,2.06,2.54,2.84
2018-11-23,11.17,12.96,16.5
2018-11-24,27.66,31.9,35.13
2018-11-25,14.14,16.12,19.08
2018-11-26,16.0,18.18,20.58
2018-11-27,3.7,4.68,7.21
2018-11-28,4.62,5.92,9.56
2018-12-01,17.03,22.22,37.19
2018-12-02,13.26,17.3,26.19
2018-12-03,3.29,4.43,8.91
2018-12-04,2.88,3.68,4.56
2019-02-07,6.56,8.25,13.9
2019-02-08,7.97,11.7,26.75
2019-02-09,12.65,20.51,46.45
2019-02-10,17.81,29.02,61.09
2019-02-11,17.38,30.31,76.7
2019-02-13,13.87,23.13,54.69
2019-02-14,13.1,21.52,47.83
2019-02-15,22.95,39.29,82.1
2019-02-16,16.65,27.3,52.63
2019-02-17,18.89,30.36,56.85
2019-02-18,19.07,32.26,66.16
2019-02-19,20.97,35.98,72.26
2019-02-20,10.69,17.84,35.69
2019-02-21,6.91,11.29,24.04
2019-02-22,6.6,11.07,23.97
2019-02-23,8.24,13.01,20.0
2019-02-24,4.65,7.36,13.78
2019-02-25,5.63,9.02,17.05
2019-02-26,12.6,20.58,38.38
2019-02-27,15.25,25.03,46.69
2019-02-28,19.6,31.61,60.56
2019-03-01,17.74,29.03,58.94
2019-03-02,20.12,34.65,50.93
2019-03-03,18.94,33.13,49.48
2019-03-04,10.18,17.71,29.66
2019-03-05,8.3,13.8,21.09
2019-03-06,9.0,15.18,29.51
2019-03-07,4.68,6.93,11.6
2019-03-12,9.25,14.6,31.37
2019-03-13,9.49,15.35,32.78
2019-03-14,9.84,16.64,39.93
2019-03-15,10.78,17.5,35.08
2019-03-16,14.94,24.76,54.4
2019-03-17,11.69,19.2,43.33
2019-03-18,10.28,17.35,41.38
2019-03-19,10.59,17.57,40.61
2019-03-20,11.77,19.43,45.39
2019-03-21,12.39,20.23,45.07
2019-03-22,9.47,16.15,41.59
2019-03-23,17.14,28.69,69.99
2019-03-24,20.22,32.83,65.97
2019-03-25,16.04,26.46,59.43
2019-03-26,9.5,15.83,40.67
2019-03-27,12.08,19.56,43.47
2019-03-28,6.78,10.19,17.5
2019-03-29,8.46,13.08,25.21
2019-03-30,7.29,11.75,25.24
2019-03-31,5.63,9.17,21.8
2019-04-01,7.34,12.08,29.98
2019-04-02,6.83,10.58,20.71
2019-04-03,8.93,14.27,31.11
2019-04-04,6.59,10.56,23.28
2019-04-05,8.27,13.17,27.05
2019-04-06,7.66,12.45,27.61
