TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),hour,Hour
2017-09-08 10:00:00,8.19,11.69,58.44,10,0 days 10:00:00.000000000
2017-09-08 13:00:00,9.61,13.47,41.9,13,0 days 13:00:00.000000000
2017-09-08 14:00:00,9.25,12.65,32.9,14,0 days 14:00:00.000000000
2017-09-08 15:00:00,12.05,16.06,24.46,15,0 days 15:00:00.000000000
2017-09-09 09:00:00,36.26,43.75,79.36,9,0 days 09:00:00.000000000
2017-09-09 11:00:00,6.39,8.64,28.01,11,0 days 11:00:00.000000000
2017-09-09 12:00:00,25.79,36.59,77.12,12,0 days 12:00:00.000000000
2017-09-09 13:00:00,12.66,20.93,92.18,13,0 days 13:00:00.000000000
2017-09-09 14:00:00,11.9,19.98,89.94,14,0 days 14:00:00.000000000
2017-09-09 15:00:00,9.12,13.87,61.04,15,0 days 15:00:00.000000000
2017-09-09 16:00:00,83.43,126.54,192.38,16,0 days 16:00:00.000000000
2017-09-09 17:00:00,79.72,125.31,184.83,17,0 days 17:00:00.000000000
2017-09-09 20:00:00,37.62,50.14,84.54,20,0 days 20:00:00.000000000
2017-09-09 21:00:00,96.72,132.14,216.99,21,0 days 21:00:00.000000000
2017-09-09 22:00:00,72.06,98.26,254.88,22,0 days 22:00:00.000000000
2017-09-09 23:00:00,131.12,192.7,570.49,23,0 days 23:00:00.000000000
2017-09-10 00:00:00,66.32,89.89,147.01,0,0 days 00:00:00.000000000
2017-09-10 12:00:00,54.95,80.36,281.8,12,0 days 12:00:00.000000000
2017-09-10 13:00:00,34.15,47.74,195.28,13,0 days 13:00:00.000000000
2017-09-10 14:00:00,27.94,36.68,51.11,14,0 days 14:00:00.000000000
2017-09-10 15:00:00,124.43,175.34,194.68,15,0 days 15:00:00.000000000
2017-09-10 16:00:00,23.16,31.63,66.17,16,0 days 16:00:00.000000000
2017-09-10 17:00:00,72.28,96.9,114.44,17,0 days 17:00:00.000000000
2017-09-10 18:00:00,43.3,60.04,100.2,18,0 days 18:00:00.000000000
2017-09-10 19:00:00,32.92,46.41,104.42,19,0 days 19:00:00.000000000
2017-09-10 20:00:00,13.37,18.61,72.92,20,0 days 20:00:00.000000000
2017-09-10 21:00:00,18.7,26.4,75.04,21,0 days 21:00:00.000000000
2017-09-11 00:00:00,96.67,138.07,254.32,0,0 days 00:00:00.000000000
2017-09-11 01:00:00,16.57,21.91,43.71,1,0 days 01:00:00.000000000
2017-09-11 10:00:00,14.12,49.6,365.99,10,0 days 10:00:00.000000000
2017-09-11 11:00:00,18.69,25.01,67.45,11,0 days 11:00:00.000000000
2017-09-11 12:00:00,19.0,30.07,125.1,12,0 days 12:00:00.000000000
2017-09-11 13:00:00,19.71,25.11,53.12,13,0 days 13:00:00.000000000
2017-09-11 17:00:00,22.84,31.21,66.73,17,0 days 17:00:00.000000000
2017-09-11 18:00:00,28.1,41.96,125.48,18,0 days 18:00:00.000000000
2017-09-11 19:00:00,34.55,46.0,85.54,19,0 days 19:00:00.000000000
2017-09-11 20:00:00,38.38,52.28,95.55,20,0 days 20:00:00.000000000
2017-09-11 21:00:00,30.5,42.52,124.98,21,0 days 21:00:00.000000000
2017-09-11 22:00:00,50.33,77.27,228.84,22,0 days 22:00:00.000000000
2017-09-11 23:00:00,32.54,45.31,195.76,23,0 days 23:00:00.000000000
2017-09-12 00:00:00,45.92,58.39,78.54,0,0 days 00:00:00.000000000
2017-09-12 10:00:00,120.04,154.12,198.68,10,0 days 10:00:00.000000000
2017-09-12 11:00:00,131.54,189.24,213.91,11,0 days 11:00:00.000000000
2017-09-12 13:00:00,30.51,43.29,87.19,13,0 days 13:00:00.000000000
