TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),MOD13A3_006_Line_Y_1km,MOD13A3_006_Sample_X_1km,EVI,NDVI,MOD13A3_006__1_km_monthly_VI_Quality,average humidity (%),total rainfall (mm),average pressure (kPa),total radiation (W/m2),average temperature (oC),average windspeed (m/s),min windspeed (m/s),max windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
2017-09-09,38.37,56.42,133.1,1157.0,310.0,0.1942,0.3566,2181.0,86.22,0.0,87.666,0.0,20.92,0.59,0.29,1.19,0,0,0,0,0,1,0,0
2017-09-10,37.62,52.33,121.29,1157.0,310.0,0.1942,0.3566,2181.0,78.17,0.0,87.715,3575.39,21.91,0.6,0.31,1.41,0,0,1,0,0,0,0,0
2017-09-11,40.55,59.36,149.85,1157.0,310.0,0.1942,0.3566,2181.0,75.27,1.77,87.65700000000001,4600.25,23.05,0.69,0.44,1.27,0,0,1,0,0,0,0,0
2017-09-13,21.02,28.63,44.71,1157.0,310.0,0.1942,0.3566,2181.0,90.0,0.0,87.73,0.0,20.46,0.91,0.91,0.91,1,0,0,0,0,0,0,0
2017-09-24,28.79,40.73,130.61,1157.0,310.0,0.1942,0.3566,2181.0,78.17,0.0,87.78,4839.53,22.02,0.88,0.3,1.63,0,0,0,0,0,1,0,0
2017-09-25,20.2,28.63,91.25,1157.0,310.0,0.1942,0.3566,2181.0,80.21,7.88,87.62700000000001,4820.36,21.65,0.7,0.39,1.03,1,0,0,0,0,0,0,0
2017-09-26,15.08,21.27,66.56,1157.0,310.0,0.1942,0.3566,2181.0,90.25,0.0,87.645,0.0,19.6,0.62,0.19,1.23,0,1,0,0,0,0,0,0
2017-10-31,14.31,21.1,76.77,1157.0,310.0,0.2023,0.3377,2116.0,84.5,1.07,87.665,0.0,20.55,0.95,0.71,1.24,0,0,1,0,0,0,0,0
2017-11-01,18.94,28.82,121.75,1157.0,310.0,0.1976,0.3479,2181.0,73.0,1.67,87.624,4707.15,23.25,0.69,0.32,1.38,0,0,0,0,0,1,0,0
2017-11-02,15.03,22.49,78.21,1157.0,310.0,0.1976,0.3479,2181.0,74.96,0.02,87.61,4683.44,22.99,0.66,0.22,1.28,0,0,0,0,0,0,0,1
2017-11-03,16.04,23.66,77.83,1157.0,310.0,0.1976,0.3479,2181.0,81.25,10.1,87.56,4773.7,22.08,0.77,0.18,1.31,0,0,0,0,0,0,0,1
2017-11-04,24.0,32.43,76.82,1157.0,310.0,0.1976,0.3479,2181.0,82.88,0.0,87.708,3302.85,20.49,1.14,0.72,2.1,0,0,0,0,0,1,0,0
2017-11-05,10.66,17.0,98.55,1157.0,310.0,0.1976,0.3479,2181.0,80.63,0.0,87.734,3079.76,21.23,0.55,0.18,0.9,1,0,0,0,0,0,0,0
2017-11-06,14.04,20.49,73.11,1157.0,310.0,0.1976,0.3479,2181.0,87.92,7.3,87.604,2781.42,20.95,0.57,0.2,1.0,1,0,0,0,0,0,0,0
2017-11-07,6.27,9.63,35.28,1157.0,310.0,0.1976,0.3479,2181.0,92.29,66.84,87.723,2762.91,19.38,1.65,0.15,22.84,0,0,0,0,0,1,0,0
2017-11-08,7.895,10.98,29.355,1157.0,310.0,0.1976,0.3479,2181.0,85.42,3.36,87.68700000000001,3191.81,21.62,0.53,0.23,0.83,1,0,0,0,0,0,0,0
