TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),hour,EVI,NDVI,MOD13A3_006__1_km_monthly_VI_Quality,humidity (%),precipitation (mm),pressure (kPa),radiation (W/m2),temperature (oC),windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
2017-09-09 18:00:00,12.64,19.46,55.15,18,0.1942,0.3566,2181.0,73,0.0,87.5,0.9,23.27,0.44,0,0,0,0,0,1,0,0
2017-09-09 19:00:00,18.72,27.56,74.96,19,0.1942,0.3566,2181.0,77,0.0,87.58,0.0,22.72,0.38,0,0,1,0,0,0,0,0
2017-09-09 20:00:00,37.62,50.14,84.54,20,0.1942,0.3566,2181.0,80,0.0,87.67,0.0,22.29,0.37,0,0,0,0,0,1,0,0
2017-09-09 21:00:00,96.72,132.14,216.99,21,0.1942,0.3566,2181.0,82,0.0,87.66,0.0,21.71,0.34,0,1,0,0,0,0,0,0
2017-09-09 22:00:00,72.06,98.26,254.88,22,0.1942,0.3566,2181.0,87,0.0,87.68,0.0,20.86,0.29,0,0,1,0,0,0,0,0
2017-09-09 23:00:00,131.12,192.7,570.49,23,0.1942,0.3566,2181.0,90,0.0,87.77,0.0,20.3,0.46,0,0,0,0,0,1,0,0
2017-09-10 00:00:00,66.32,89.89,147.01,0,0.1942,0.3566,2181.0,91,0.0,87.74,0.0,20.3,0.59,0,0,0,0,0,1,0,0
2017-09-10 01:00:00,21.74,32.78,60.03,1,0.1942,0.3566,2181.0,91,0.0,87.67,0.0,20.14,0.99,0,0,0,0,0,1,0,0
2017-09-10 02:00:00,19.15,30.04,50.57,2,0.1942,0.3566,2181.0,89,0.0,87.63,0.0,20.15,1.19,0,0,0,0,0,1,0,0
2017-09-10 03:00:00,17.47,27.2,43.55,3,0.1942,0.3566,2181.0,89,0.0,87.59,0.0,19.78,0.69,1,0,0,0,0,0,0,0
2017-09-10 04:00:00,16.82,26.81,40.21,4,0.1942,0.3566,2181.0,86,0.0,87.68,0.0,19.75,1.04,0,0,1,0,0,0,0,0
2017-09-10 05:00:00,15.96,25.39,37.88,5,0.1942,0.3566,2181.0,93,0.0,87.72,0.0,19.4,0.51,1,0,0,0,0,0,0,0
2017-09-10 06:00:00,18.23,28.97,50.12,6,0.1942,0.3566,2181.0,95,0.0,87.74,0.72,19.03,0.37,1,0,0,0,0,0,0,0
2017-09-10 07:00:00,21.76,34.61,80.54,7,0.1942,0.3566,2181.0,97,0.0,87.78,36.35,19.32,0.43,0,0,0,0,0,0,0,1
2017-09-10 08:00:00,19.65,30.93,73.3,8,0.1942,0.3566,2181.0,94,0.0,87.84,128.68,20.36,0.46,0,0,0,1,0,0,0,0
2017-09-10 09:00:00,14.42,23.35,1344.93,9,0.1942,0.3566,2181.0,86,0.0,87.88,295.5,22.14,0.58,0,0,0,0,0,0,0,1
2017-09-10 10:00:00,11.31,18.09,51.14,10,0.1942,0.3566,2181.0,78,0.0,87.94,337.85,23.09,0.71,0,0,0,0,0,0,0,1
2017-09-10 11:00:00,9.95,15.46,45.22,11,0.1942,0.3566,2181.0,70,0.0,87.89,760.4,25.3,0.92,0,1,0,0,0,0,0,0
2017-09-10 12:00:00,54.95,80.36,281.8,12,0.1942,0.3566,2181.0,63,0.0,87.82,476.25,25.71,0.79,0,1,0,0,0,0,0,0
2017-09-10 13:00:00,34.15,47.74,195.28,13,0.1942,0.3566,2181.0,61,0.0,87.73,262.57,25.79,0.57,1,0,0,0,0,0,0,0
2017-09-10 14:00:00,27.94,36.68,51.11,14,0.1942,0.3566,2181.0,73,0.0,87.66,97.13,22.22,1.41,1,0,0,0,0,0,0,0
2017-09-10 15:00:00,124.43,175.34,194.68,15,0.1942,0.3566,2181.0,70,0.0,87.55,453.62,22.81,0.91,0,1,0,0,0,0,0,0
2017-09-10 16:00:00,23.16,31.63,66.17,16,0.1942,0.3566,2181.0,61,0.0,87.51,350.4,25.05,0.67,0,0,0,0,0,0,0,1
2017-09-10 17:00:00,72.28,96.9,114.44,17,0.1942,0.3566,2181.0,54,0.0,87.49,310.97,26.37,0.79,0,0,0,0,0,0,0,1
2017-09-10 18:00:00,43.3,60.04,100.2,18,0.1942,0.3566,2181.0,57,0.0,87.54,64.95,24.99,0.48,0,0,0,1,0,0,0,0
2017-09-10 19:00:00,32.92,46.41,104.42,19,0.1942,0.3566,2181.0,65,0.0,87.65,0.0,23.06,0.35,0,1,0,0,0,0,0,0
2017-09-10 20:00:00,13.37,18.61,72.92,20,0.1942,0.3566,2181.0,73,0.0,87.66,0.0,22.24,0.42,0,1,0,0,0,0,0,0
2017-09-10 21:00:00,18.7,26.4,75.04,21,0.1942,0.3566,2181.0,77,0.0,87.73,0.0,21.54,0.39,0,0,1,0,0,0,0,0
2017-09-10 22:00:00,22.76,34.11,85.31,22,0.1942,0.3566,2181.0,80,0.0,87.8,0.0,20.68,0.31,0,0,1,0,0,0,0,0
2017-09-10 23:00:00,-3270462694755312.0,34.68,-19735990695.23,23,0.1942,0.3566,2181.0,83,0.0,87.8,0.0,20.14,0.43,0,0,1,0,0,0,0,0
2017-09-11 00:00:00,96.67,138.07,254.32,0,0.1942,0.3566,2181.0,86,0.0,87.76,0.0,19.68,0.32,0,0,1,0,0,0,0,0
2017-09-11 01:00:00,16.57,21.91,43.71,1,0.1942,0.3566,2181.0,90,0.0,87.72,0.0,19.37,0.53,0,1,0,0,0,0,0,0
2017-09-11 02:00:00,19.15,30.04,50.57,2,0.1942,0.3566,2181.0,91,0.0,87.66,0.0,19.2,0.6,0,0,0,0,1,0,0,0
2017-09-11 03:00:00,17.47,27.2,43.55,3,0.1942,0.3566,2181.0,93,0.0,87.6,0.0,18.57,0.33,0,0,1,0,0,0,0,0
2017-09-11 04:00:00,16.82,26.81,40.21,4,0.1942,0.3566,2181.0,94,0.0,87.61,0.0,18.17,0.54,0,0,0,0,0,1,0,0
2017-09-11 05:00:00,15.96,25.39,37.88,5,0.1942,0.3566,2181.0,95,0.0,87.64,0.0,17.99,0.47,0,0,1,0,0,0,0,0
2017-09-11 06:00:00,18.23,28.97,50.12,6,0.1942,0.3566,2181.0,94,0.0,87.68,1.65,18.06,0.48,0,0,1,0,0,0,0,0
2017-09-11 07:00:00,21.76,34.61,80.54,7,0.1942,0.3566,2181.0,93,0.0,87.74,42.48,18.29,0.44,1,0,0,0,0,0,0,0
2017-09-11 08:00:00,19.65,30.93,73.3,8,0.1942,0.3566,2181.0,89,0.0,87.79,258.23,20.45,0.59,0,0,1,0,0,0,0,0
2017-09-11 09:00:00,14.42,23.35,1344.93,9,0.1942,0.3566,2181.0,75,0.0,87.83,503.83,23.7,0.72,0,0,1,0,0,0,0,0
2017-09-11 10:00:00,14.12,49.6,365.99,10,0.1942,0.3566,2181.0,67,0.0,87.85,694.48,25.62,0.73,0,0,0,0,0,1,0,0
2017-09-11 11:00:00,18.69,25.01,67.45,11,0.1942,0.3566,2181.0,64,0.0,87.8,895.1,26.37,0.86,0,0,0,0,1,0,0,0
2017-09-11 12:00:00,19.0,30.07,125.1,12,0.1942,0.3566,2181.0,60,0.0,87.73,631.08,26.96,0.93,0,1,0,0,0,0,0,0
2017-09-11 13:00:00,19.71,25.11,53.12,13,0.1942,0.3566,2181.0,56,0.0,87.64,616.04,27.52,0.83,0,0,0,0,0,1,0,0
2017-09-11 14:00:00,7.13,12.08,39.87,14,0.1942,0.3566,2181.0,52,0.0,87.54,631.81,28.23,0.73,1,0,0,0,0,0,0,0
2017-09-11 15:00:00,7.1,11.53,35.16,15,0.1942,0.3566,2181.0,53,1.74,87.49,156.31,28.11,0.67,0,0,1,0,0,0,0,0
2017-09-11 16:00:00,7.56,12.09,40.54,16,0.1942,0.3566,2181.0,75,0.03,87.45,127.47,22.33,0.61,0,0,1,0,0,0,0,0
2017-09-11 17:00:00,22.84,31.21,66.73,17,0.1942,0.3566,2181.0,70,0.0,87.45,41.77,23.3,0.44,0,0,1,0,0,0,0,0
2017-09-13 19:00:00,18.72,27.56,74.96,19,0.1942,0.3566,2181.0,92,0.0,87.62,0.0,20.72,1.27,1,0,0,0,0,0,0,0
2017-09-24 04:00:00,16.82,26.81,40.21,4,0.1942,0.3566,2181.0,90,0.0,87.73,0.0,20.46,0.91,1,0,0,0,0,0,0,0
2017-09-24 05:00:00,15.96,25.39,37.88,5,0.1942,0.3566,2181.0,92,0.0,87.8,0.0,19.9,0.84,1,0,0,0,0,0,0,0
2017-09-24 06:00:00,18.23,28.97,50.12,6,0.1942,0.3566,2181.0,94,0.0,87.82,1.7,19.14,0.56,0,1,0,0,0,0,0,0
2017-09-24 07:00:00,21.76,34.61,80.54,7,0.1942,0.3566,2181.0,95,0.0,87.88,55.55,19.57,0.81,0,0,0,0,0,1,0,0
2017-09-24 08:00:00,19.65,30.93,73.3,8,0.1942,0.3566,2181.0,92,0.0,88.02,170.5,20.47,1.63,1,0,0,0,0,0,0,0
2017-09-24 09:00:00,14.42,23.35,1344.93,9,0.1942,0.3566,2181.0,85,0.0,87.98,516.42,22.06,1.53,0,0,0,0,0,1,0,0
2017-09-24 10:00:00,15.32,31.31,166.2,10,0.1942,0.3566,2181.0,75,0.0,87.97,612.73,23.5,1.13,0,1,0,0,0,0,0,0
2017-09-24 11:00:00,8.75,15.29,89.67,11,0.1942,0.3566,2181.0,67,0.0,87.94,730.33,25.55,0.93,0,0,0,0,0,1,0,0
2017-09-24 12:00:00,7.45,12.19,80.18,12,0.1942,0.3566,2181.0,67,0.0,87.88,480.15,25.42,0.97,0,0,0,0,1,0,0,0
2017-09-24 13:00:00,5.35,10.7,108.53,13,0.1942,0.3566,2181.0,61,0.0,87.75,881.57,25.98,1.05,0,0,0,0,0,1,0,0
2017-09-24 14:00:00,3.71,6.89,57.19,14,0.1942,0.3566,2181.0,47,0.0,87.64,746.57,27.35,0.99,0,0,0,0,1,0,0,0
2017-09-24 15:00:00,16.03,23.44,83.01,15,0.1942,0.3566,2181.0,44,0.0,87.58,444.57,27.86,0.67,0,1,0,0,0,0,0,0
2017-09-24 16:00:00,10.3,18.29,112.51,16,0.1942,0.3566,2181.0,58,0.0,87.62,142.58,25.17,1.03,0,0,0,0,0,0,1,0
2017-09-24 17:00:00,13.46,19.56,87.55,17,0.1942,0.3566,2181.0,70,0.0,87.62,43.28,23.34,0.54,0,1,0,0,0,0,0,0
2017-09-24 18:00:00,51.34,68.32,143.95,18,0.1942,0.3566,2181.0,75,0.0,87.63,13.58,22.67,0.69,0,0,0,0,0,1,0,0
2017-09-24 19:00:00,115.36,153.5,339.79,19,0.1942,0.3566,2181.0,80,0.0,87.71,0.0,21.76,0.58,0,0,0,0,0,1,0,0
2017-09-24 20:00:00,54.9,76.08,223.75,20,0.1942,0.3566,2181.0,84,0.0,87.8,0.0,21.23,0.3,1,0,0,0,0,0,0,0
2017-09-24 21:00:00,62.28,86.35,223.04,21,0.1942,0.3566,2181.0,85,0.0,87.82,0.0,21.11,0.64,0,0,0,0,0,1,0,0
2017-09-24 22:00:00,23.42,32.02,95.97,22,0.1942,0.3566,2181.0,80,0.0,87.85,0.0,20.23,0.78,0,0,0,0,0,1,0,0
