MonthOfYear,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),MOD13A3_006_Line_Y_1km,MOD13A3_006_Sample_X_1km,EVI,NDVI,MOD13A3_006__1_km_monthly_VI_Quality,average humidity (%),total rainfall (mm),average pressure (kPa),total radiation (W/m2),average temperature (oC),predominant winddirection,average windspeed (m/s)
09-2017,22.76,32.87,99.28,1157.0,310.0,0.1942,0.3566,2181.0,79.55,9.65,87.693,17835.53,21.85,E,0.7
10-2017,16.86,24.66,88.88,1157.0,310.0,0.2023,0.3377,2116.0,84.5,1.07,87.665,0.0,20.55,NE,0.95
11-2017,-1363041750503003.0,23.59,-8225434518.28,1157.0,310.0,0.1976,0.3479,2181.0,79.95,216.68,87.63600000000001,118238.95,22.05,E,0.69
12-2017,9.74,16.01,88.34,1157.0,310.0,0.1538,0.2998,2181.0,73.99,27.74,87.59200000000001,124474.15,23.17,S,0.79
01-2018,14.1,21.68,104.21,1157.0,310.0,0.1363,0.2782,2181.0,69.63,28.44,87.58200000000001,115217.19,22.86,SE,0.9
02-2018,10.64,17.56,73.16,1157.0,310.0,0.1136,0.2143,2112.0,71.29,53.6,87.47200000000001,110826.36,23.97,SW,0.84
03-2018,12.88,34.28,46.4,1157.0,310.0,0.1232,0.2331,2181.0,82.93,179.04,87.635,100497.02,21.97,NW,1.29
04-2018,16.26,31.925,51.18,1157.0,310.0,0.2494,0.4126,2445.0,86.77,160.92,87.69,87066.04,21.31,SW,0.88
05-2018,16.26,31.925,51.18,1157.0,310.0,0.1769,0.3624,2185.0,83.41,2.49,87.736,92947.27,22.06,W,0.75
06-2018,19.64,29.57,55.96,1157.0,310.0,0.1641,0.3435,2181.0,81.65,0.24,87.85799999999999,85422.65,21.59,SW,0.67
07-2018,17.67,27.79,57.69,1157.0,310.0,0.1511,0.341,2185.0,76.15,19.95,87.87700000000001,125112.4,21.68,S,0.76
08-2018,20.17,30.84,56.52,1157.0,310.0,0.1607,0.2924,2112.0,58.19,86.88,87.84100000000001,112214.41,21.54,S,0.81
09-2018,19.04,27.39,39.57,1157.0,310.0,0.2102,0.3505,2517.0,78.7,77.94,87.65,120506.45,22.47,SE,0.82
10-2018,17.44,23.53,28.24,1157.0,310.0,0.13,0.2341,2112.0,81.35,225.8,87.671,115364.43,22.18,SE,0.87
11-2018,10.64,12.38,14.33,1157.0,310.0,0.1963,0.3466,2253.0,79.66,161.8,87.609,120177.83,22.95,SE,0.95
12-2018,13.89,18.14,28.65,1157.0,310.0,0.184,0.3233,2112.0,82.44,131.51,87.68799999999999,101651.61,22.35,SE,1.23
01-2019,13.715,20.235,37.18,1157.0,310.0,0.2,0.3491,2112.0,77.2,101.89,87.655,120291.58,23.56,SE,1.87
02-2019,13.54,22.33,45.71,1157.0,310.0,0.1621,0.3036,2112.0,72.64,83.31,87.62200000000001,133341.67,24.29,SE,1.5
03-2019,11.65,19.28,39.96,1157.0,310.0,0.1848,0.2857,2185.0,73.59,38.9,87.671,167422.77,23.98,S,0.66
