Hour,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),hour,Date,Time(hrs),TimeStamp
00:00:00,17.47,27.2,43.55,0,2019-04-29,0 days 00:00:00.000000000,2019-04-29 00:00:00
01:00:00,16.82,26.81,40.21,1,2019-04-29,0 days 01:00:00.000000000,2019-04-29 01:00:00
02:00:00,15.96,25.39,37.88,2,2019-04-29,0 days 02:00:00.000000000,2019-04-29 02:00:00
03:00:00,18.23,28.97,50.12,3,2019-04-29,0 days 03:00:00.000000000,2019-04-29 03:00:00
04:00:00,21.76,34.61,80.54,4,2019-04-29,0 days 04:00:00.000000000,2019-04-29 04:00:00
05:00:00,19.65,30.93,73.3,5,2019-04-29,0 days 05:00:00.000000000,2019-04-29 05:00:00
06:00:00,14.42,23.35,1344.93,6,2019-04-29,0 days 06:00:00.000000000,2019-04-29 06:00:00
07:00:00,11.31,18.09,51.14,7,2019-04-29,0 days 07:00:00.000000000,2019-04-29 07:00:00
08:00:00,9.95,15.46,45.22,8,2019-04-29,0 days 08:00:00.000000000,2019-04-29 08:00:00
09:00:00,7.76,13.11,42.63,9,2019-04-29,0 days 09:00:00.000000000,2019-04-29 09:00:00
10:00:00,7.55,12.75,40.44,10,2019-04-29,0 days 10:00:00.000000000,2019-04-29 10:00:00
11:00:00,7.13,12.08,39.87,11,2019-04-29,0 days 11:00:00.000000000,2019-04-29 11:00:00
12:00:00,7.1,11.53,35.16,12,2019-04-29,0 days 12:00:00.000000000,2019-04-29 12:00:00
13:00:00,7.56,12.09,40.54,13,2019-04-29,0 days 13:00:00.000000000,2019-04-29 13:00:00
14:00:00,9.64,15.24,50.77,14,2019-04-29,0 days 14:00:00.000000000,2019-04-29 14:00:00
15:00:00,12.64,19.46,55.15,15,2019-04-29,0 days 15:00:00.000000000,2019-04-29 15:00:00
16:00:00,18.72,27.56,74.96,16,2019-04-29,0 days 16:00:00.000000000,2019-04-29 16:00:00
17:00:00,22.06,32.71,93.82,17,2019-04-29,0 days 17:00:00.000000000,2019-04-29 17:00:00
18:00:00,23.1,34.08,89.25,18,2019-04-29,0 days 18:00:00.000000000,2019-04-29 18:00:00
19:00:00,22.76,34.11,85.31,19,2019-04-29,0 days 19:00:00.000000000,2019-04-29 19:00:00
20:00:00,-3270462694755312.0,34.68,-19735990695.23,20,2019-04-29,0 days 20:00:00.000000000,2019-04-29 20:00:00
21:00:00,25.37,39.18,76.71,21,2019-04-29,0 days 21:00:00.000000000,2019-04-29 21:00:00
22:00:00,21.74,32.78,60.03,22,2019-04-29,0 days 22:00:00.000000000,2019-04-29 22:00:00
23:00:00,19.15,30.04,50.57,23,2019-04-29,0 days 23:00:00.000000000,2019-04-29 23:00:00
