TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3)
2017-09-08,9.67,13.25,37.19
2017-09-09,39.91,58.27,133.87
2017-09-10,40.45,56.76,130.16
2017-09-11,26.69,40.07,127.03
2017-09-12,64.47,90.25,140.8
2017-09-13,11.6,17.51,30.19
2017-09-14,19.465,28.880000000000003,71.36
2017-09-15,27.33,40.25,112.53
2017-09-16,32.32,49.09,139.7
2017-09-17,32.18,46.82,132.44
2017-09-18,24.025,34.795,96.935
2017-09-19,24.025,34.795,96.935
2017-09-20,15.87,22.77,61.43
2017-09-21,21.76,33.21,100.6
2017-09-22,21.15,32.64,127.87
2017-09-23,23.64,34.64,127.76
2017-09-24,27.58,39.06,125.02
2017-09-25,20.67,29.31,93.02
2017-09-26,18.15,25.18,72.49
2017-09-27,25.87,34.73,79.44
2017-09-28,19.14,27.2,87.01
2017-09-29,15.74,21.29,64.6
2017-09-30,16.81,25.54,99.53
2017-10-01,18.06,25.49,74.19
2017-10-02,24.02,34.2,113.31
2017-10-03,16.85,25.12,103.89
2017-10-04,26.34,39.68,196.64
2017-10-05,22.52,31.3,102.18
2017-10-06,22.43,32.47,125.13
2017-10-07,25.75,38.8,154.87
2017-10-08,16.76,25.1,97.91
2017-10-09,18.46,27.82,115.91
2017-10-10,13.4,20.05,71.64
2017-10-11,9.02,14.66,50.89
2017-10-12,6.82,10.59,64.01
2017-10-13,4.74,6.62,8.41
2017-10-14,11.86,18.23,33.35
2017-10-15,6.535,11.25,41.415
2017-10-16,1.21,4.27,49.48
2017-10-17,8.08,11.5,31.93
2017-10-18,6.92,8.77,18.19
2017-10-19,14.08,18.78,51.5
2017-10-20,14.015,18.655,47.875
2017-10-21,14.015,18.655,47.875
2017-10-22,14.015,18.655,47.875
2017-10-23,13.95,18.53,44.25
2017-10-24,16.96,24.89,81.98
2017-10-25,21.22,29.87,76.86
2017-10-26,11.04,15.47,45.85
2017-10-27,15.47,23.03,95.13
2017-10-28,15.58,28.35,128.56
2017-10-29,7.95,10.63,31.2
2017-10-30,12.52,17.3,51.61
2017-10-31,15.41,22.72,81.73
2017-11-01,17.96,27.99,129.56
2017-11-02,15.58,22.69,71.36
2017-11-03,15.23,23.74,92.5
2017-11-04,23.78,32.09,76.19
2017-11-05,14.14,21.64,102.15
2017-11-06,10.22,15.0,58.66
2017-11-07,5.84,9.24,36.4
2017-11-08,6.585,9.365,27.494999999999997
2017-11-09,6.585,9.365,27.494999999999997
2017-11-10,7.33,9.49,18.59
2017-11-11,5.85,7.43,16.05
2017-11-12,18.79,23.65,44.05
2017-11-13,15.22,20.92,54.98
2017-11-14,12.61,17.43,50.04
2017-11-15,17.09,25.62,98.5
2017-11-16,20.18,29.24,108.89
2017-11-17,19.29,28.57,108.16
2017-11-18,15.58,21.56,66.79
2017-11-19,16.28,23.31,74.52
2017-11-20,23.26,33.4,126.46
2017-11-21,20.03,30.09,117.86
2017-11-22,22.0,32.71,131.82
2017-11-23,21.01,31.53,108.99
2017-11-24,21.64,32.45,115.32
2017-11-25,16.15,24.63,88.68
2017-11-26,13.94,20.19,58.89
2017-11-27,-3.072886288659792e+16,23.45,-185245935903.54
2017-11-28,16.74,24.98,94.29
2017-11-29,10.77,16.63,74.96
2017-11-30,18.33,33.05,168.84
2017-12-01,19.13,27.4,83.14
2017-12-02,9.28,16.17,142.08
2017-12-03,3.63,7.38,39.84
2017-12-04,16.58,23.23,65.71
2017-12-05,10.39,19.63,81.33
2017-12-06,7.665000000000001,13.29,48.325
2017-12-07,4.94,6.95,15.32
2017-12-08,3.08,4.97,13.8
2017-12-09,7.18,10.38,28.81
2017-12-10,10.98,14.82,26.39
2017-12-11,12.48,17.1,33.78
2017-12-12,8.855,12.75,34.894999999999996
2017-12-13,8.855,12.75,34.894999999999996
