TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3)
2017-09-30,22.76,32.87,99.28
2017-10-31,16.92,24.72,88.82
2017-11-30,-1369366334359336.5,23.55,-8263600958.06
2017-12-31,9.74,16.01,88.34
2018-01-31,14.09,21.65,103.96
2018-02-28,10.64,17.57,73.33
2018-03-31,12.88,34.28,46.4
2018-04-30,16.61,32.445,51.879999999999995
2018-05-31,16.61,32.445,51.879999999999995
2018-06-30,20.34,30.61,57.36
2018-07-31,17.52,27.57,57.4
2018-08-31,20.22,30.93,56.68
2018-09-30,19.29,27.69,39.65
2018-10-31,17.12,23.09,27.78
2018-11-30,10.64,12.38,14.33
2018-12-31,13.89,18.14,28.65
2019-01-31,13.71,20.225,37.17
2019-02-28,13.53,22.31,45.69
2019-03-31,11.61,19.22,39.83
2019-04-30,7.67,12.28,26.82
