TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3)
2017-09-30,22.76,32.87,99.28
2017-10-31,16.86,24.66,88.88
2017-11-30,-1363041750503003.0,23.59,-8225434518.28
2017-12-31,9.74,16.01,88.34
2018-01-31,14.1,21.68,104.21
2018-02-28,10.64,17.56,73.16
2018-03-31,12.88,34.28,46.4
2018-04-30,16.26,31.925,51.18
2018-05-31,16.26,31.925,51.18
2018-06-30,19.64,29.57,55.96
2018-07-31,17.67,27.79,57.69
2018-08-31,20.17,30.84,56.52
2018-09-30,19.04,27.39,39.57
2018-10-31,17.44,23.53,28.24
2018-11-30,10.64,12.38,14.33
2018-12-31,13.89,18.14,28.65
2019-01-31,13.715,20.235,37.18
2019-02-28,13.54,22.33,45.71
2019-03-31,11.65,19.28,39.96
2019-04-30,7.6,12.17,26.56
