Hour,PM2.5(Ug/m3),PM10(Ug/m3),hour,Date,Time(hrs),TimeStamp
00:00:00,42.26,48.48,0,2019-06-05,0 days 00:00:00.000000000,2019-06-05 00:00:00
01:00:00,41.39,47.14,1,2019-06-05,0 days 01:00:00.000000000,2019-06-05 01:00:00
02:00:00,40.33,46.27,2,2019-06-05,0 days 02:00:00.000000000,2019-06-05 02:00:00
03:00:00,38.72,44.32,3,2019-06-05,0 days 03:00:00.000000000,2019-06-05 03:00:00
04:00:00,39.47,45.51,4,2019-06-05,0 days 04:00:00.000000000,2019-06-05 04:00:00
05:00:00,46.38,52.91,5,2019-06-05,0 days 05:00:00.000000000,2019-06-05 05:00:00
06:00:00,59.31,66.03,6,2019-06-05,0 days 06:00:00.000000000,2019-06-05 06:00:00
07:00:00,77.58,84.51,7,2019-06-05,0 days 07:00:00.000000000,2019-06-05 07:00:00
08:00:00,69.94,77.19,8,2019-06-05,0 days 08:00:00.000000000,2019-06-05 08:00:00
09:00:00,50.25,56.9,9,2019-06-05,0 days 09:00:00.000000000,2019-06-05 09:00:00
10:00:00,39.63,45.1,10,2019-06-05,0 days 10:00:00.000000000,2019-06-05 10:00:00
11:00:00,34.92,39.57,11,2019-06-05,0 days 11:00:00.000000000,2019-06-05 11:00:00
12:00:00,30.84,34.74,12,2019-06-05,0 days 12:00:00.000000000,2019-06-05 12:00:00
13:00:00,29.24,32.83,13,2019-06-05,0 days 13:00:00.000000000,2019-06-05 13:00:00
14:00:00,27.77,31.09,14,2019-06-05,0 days 14:00:00.000000000,2019-06-05 14:00:00
15:00:00,28.0,31.36,15,2019-06-05,0 days 15:00:00.000000000,2019-06-05 15:00:00
16:00:00,29.42,33.14,16,2019-06-05,0 days 16:00:00.000000000,2019-06-05 16:00:00
17:00:00,31.36,35.44,17,2019-06-05,0 days 17:00:00.000000000,2019-06-05 17:00:00
18:00:00,37.58,43.07,18,2019-06-05,0 days 18:00:00.000000000,2019-06-05 18:00:00
19:00:00,47.62,55.74,19,2019-06-05,0 days 19:00:00.000000000,2019-06-05 19:00:00
20:00:00,49.15,58.14,20,2019-06-05,0 days 20:00:00.000000000,2019-06-05 20:00:00
21:00:00,48.45,57.06,21,2019-06-05,0 days 21:00:00.000000000,2019-06-05 21:00:00
22:00:00,45.45,52.88,22,2019-06-05,0 days 22:00:00.000000000,2019-06-05 22:00:00
23:00:00,43.7,51.0,23,2019-06-05,0 days 23:00:00.000000000,2019-06-05 23:00:00
