,Feature-importance
precipitation (mm),5.1178407294949326e-06
winddirection_E,5.641455955493376e-06
winddirection_SE,6.625233252310591e-06
winddirection_NW,7.737592508088509e-06
winddirection_S,1.0516033271965858e-05
winddirection_NE,2.5418932164629783e-05
NDVI,4.3536941268534136e-05
winddirection_SW,4.395096586375511e-05
EVI,4.795224757930439e-05
winddirection_N,9.7025300634481e-05
humidity (%),0.00010273303309369054
radiation (W/m2),0.00011206418643641019
hour,0.00015296172176485157
temperature (oC),0.00017905411237566612
pressure (kPa),0.0004003578725418388
windspeed (m/s),0.0005386712090565654
PM10(Ug/m3),0.998220635321503
