TimeStamp,PM2.5(Ug/m3),PM10(Ug/m3),hour,Hour
2019-03-01 00:00:00,48.53,59.76,0,0 days 00:00:00.000000000
2019-03-01 01:00:00,60.82,70.77,1,0 days 01:00:00.000000000
2019-03-01 02:00:00,58.55,69.48,2,0 days 02:00:00.000000000
2019-03-01 03:00:00,58.95,69.95,3,0 days 03:00:00.000000000
2019-03-01 04:00:00,68.54,76.21,4,0 days 04:00:00.000000000
2019-03-01 05:00:00,89.99,96.52,5,0 days 05:00:00.000000000
2019-03-01 06:00:00,102.58,109.51,6,0 days 06:00:00.000000000
2019-03-01 07:00:00,166.21,177.8,7,0 days 07:00:00.000000000
2019-03-01 08:00:00,138.05,146.88,8,0 days 08:00:00.000000000
2019-03-01 09:00:00,78.03,85.12,9,0 days 09:00:00.000000000
2019-03-01 10:00:00,60.0,70.14,10,0 days 10:00:00.000000000
2019-03-01 11:00:00,68.87,77.43,11,0 days 11:00:00.000000000
2019-03-01 12:00:00,56.42,67.02,12,0 days 12:00:00.000000000
2019-03-01 13:00:00,58.02,68.1,13,0 days 13:00:00.000000000
2019-03-01 14:00:00,59.28,69.47,14,0 days 14:00:00.000000000
2019-03-01 15:00:00,56.42,67.44,15,0 days 15:00:00.000000000
2019-03-01 16:00:00,61.44,71.32,16,0 days 16:00:00.000000000
2019-03-01 17:00:00,56.08,66.94,17,0 days 17:00:00.000000000
2019-03-01 18:00:00,57.39,67.99,18,0 days 18:00:00.000000000
2019-03-01 19:00:00,61.08,71.36,19,0 days 19:00:00.000000000
2019-03-01 20:00:00,82.4,88.97,20,0 days 20:00:00.000000000
2019-03-01 21:00:00,103.6,110.72,21,0 days 21:00:00.000000000
2019-03-01 22:00:00,113.0,120.96,22,0 days 22:00:00.000000000
2019-03-01 23:00:00,63.25,73.08,23,0 days 23:00:00.000000000
2019-03-02 00:00:00,69.92,77.29,0,0 days 00:00:00.000000000
2019-03-02 01:00:00,87.03,92.44,1,0 days 01:00:00.000000000
2019-03-02 02:00:00,81.39,86.81,2,0 days 02:00:00.000000000
2019-03-02 03:00:00,79.41,84.7,3,0 days 03:00:00.000000000
2019-03-02 04:00:00,76.87,82.31,4,0 days 04:00:00.000000000
2019-03-02 05:00:00,86.04,91.5,5,0 days 05:00:00.000000000
2019-03-02 06:00:00,117.0,124.33,6,0 days 06:00:00.000000000
2019-03-02 07:00:00,115.48,122.68,7,0 days 07:00:00.000000000
2019-03-02 08:00:00,90.26,96.4,8,0 days 08:00:00.000000000
2019-03-02 09:00:00,58.96,68.77,9,0 days 09:00:00.000000000
2019-03-02 10:00:00,62.0,72.23,10,0 days 10:00:00.000000000
2019-03-02 11:00:00,48.18,59.48,11,0 days 11:00:00.000000000
2019-03-02 12:00:00,45.37,55.55,12,0 days 12:00:00.000000000
2019-03-02 13:00:00,47.29,57.2,13,0 days 13:00:00.000000000
2019-03-02 14:00:00,39.43,48.73,14,0 days 14:00:00.000000000
2019-03-02 15:00:00,38.1,46.61,15,0 days 15:00:00.000000000
2019-03-02 16:00:00,37.52,45.68,16,0 days 16:00:00.000000000
