,PM2.5(Ug/m3),PM10(Ug/m3),hour,EVI,NDVI,humidity (%),precipitation (mm),pressure (kPa),radiation (W/m2),temperature (oC),windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
PM2.5(Ug/m3),1.0,0.9952502878345674,-0.09362570693430856,-0.21714647945230622,-0.22518271158438158,0.20588694649980815,-0.08169248154078877,0.06372579698967722,-0.28992663726758305,-0.27683625486582913,-0.3047443890936569,0.033141850801094455,0.14493628256696897,0.08796670064640624,0.14568719961891619,-0.260121930667052,-0.06486950006936112,-0.03464509764282725,0.08474235257125184
PM10(Ug/m3),0.9952502878345674,1.0,-0.07599755284282346,-0.22729934257975054,-0.2356094255519069,0.21193933116333333,-0.08686402703134628,0.05470343237182638,-0.3151589285175043,-0.28598597384015473,-0.32715640472207,0.03531894624409655,0.14216686638074022,0.08952228243794917,0.15403006494212115,-0.2735655041028243,-0.06914732906302819,-0.02849049587848268,0.09566210960792224
hour,-0.09362570693430856,-0.07599755284282346,1.0,-0.002665807279999934,-0.0005502816316830867,-0.4218653694457481,-0.12297668551275537,-0.2177962979422487,0.11343028591452095,0.40122805226808417,0.1262267115905223,-0.15830757003244542,-0.11706248067507538,-0.1717844715056228,-0.00707672248099615,0.1761842421695014,-0.004747727497413782,0.1527724308422273,0.12908946447070227
EVI,-0.21714647945230622,-0.22729934257975054,-0.002665807279999934,1.0,0.9788131485444063,0.33956261417094835,0.047634500787269794,0.19070401162723472,-0.06268561917771288,-0.2081405772672822,-0.10225203099893646,-0.007973361432964583,-0.04852826684974236,-0.05044756989933252,-0.0326296332914102,0.06347641108520585,0.05351817183290229,0.02705470393982341,-0.035314006765281854
NDVI,-0.22518271158438158,-0.2356094255519069,-0.0005502816316830867,0.9788131485444063,1.0,0.3183377266900058,0.053045292218282844,0.18480984372755996,-0.058598198500346296,-0.2086388080028552,-0.08048970872048135,0.0015858279213189505,-0.05182351575173929,-0.03969252562371214,-0.033289615524447924,0.0507261663536461,0.06412593602583402,0.0195113071152012,-0.041520465328917976
humidity (%),0.20588694649980815,0.21193933116333333,-0.4218653694457481,0.33956261417094835,0.3183377266900058,1.0,0.1658207168553694,0.3698853730719782,-0.6193075480779233,-0.9121232861821038,-0.5276586703461436,0.10742429092559062,0.12906394970777946,0.14376063510189455,0.1209332401954936,-0.32636133688694285,0.031186683428187856,-0.06730843583540412,-0.0189416756470379
precipitation (mm),-0.08169248154078877,-0.08686402703134628,-0.12297668551275537,0.047634500787269794,0.053045292218282844,0.1658207168553694,1.0,0.06799335480170605,-0.08645261813003369,-0.18148995712039748,0.11528971433948697,0.01179346088737954,0.0036832334429799554,0.023520261835973857,-0.010669056011700836,-0.019024606888058092,0.03690389354828124,-0.01972771132404448,-0.032273777816895645
pressure (kPa),0.06372579698967722,0.05470343237182638,-0.2177962979422487,0.19070401162723472,0.18480984372755996,0.3698853730719782,0.06799335480170605,1.0,0.12897546248618422,-0.3694828642024611,0.021899069467431732,0.13587782312836655,0.012802270914766404,0.10027375031795244,-0.033434618709954116,-0.13851992740485722,0.10537292409271803,-0.12578417502395517,-0.05069415155061941
radiation (W/m2),-0.28992663726758305,-0.3151589285175043,0.11343028591452095,-0.06268561917771288,-0.058598198500346296,-0.6193075480779233,-0.08645261813003369,0.12897546248618422,1.0,0.7175061440368876,0.6882489888070833,-0.05391838036468042,-0.09909919025732555,-0.06612071501462294,-0.15248417945775491,0.32288432427461905,0.016811613748410528,-0.06643880352852226,-0.06755217583398057
temperature (oC),-0.27683625486582913,-0.28598597384015473,0.40122805226808417,-0.2081405772672822,-0.2086388080028552,-0.9121232861821038,-0.18148995712039748,-0.3694828642024611,0.7175061440368876,1.0,0.5542817912872715,-0.14446134645893177,-0.1473640415935677,-0.17181592435186063,-0.14212963172051502,0.40671551965705605,-0.01979096613606423,0.0666452510360551,-0.0012989223319629058
windspeed (m/s),-0.3047443890936569,-0.32715640472207,0.1262267115905223,-0.10225203099893646,-0.08048970872048135,-0.5276586703461436,0.11528971433948697,0.021899069467431732,0.6882489888070833,0.5542817912872715,1.0,0.04595014772317952,-0.17503873272430337,0.015173728930973494,-0.24618152409611502,0.33163537165375695,0.005296963897197983,-0.06307185412920807,-0.14110982423045804
