TimeStamp,PM2.5(Ug/m3),PM10(Ug/m3),hour,EVI,NDVI,humidity (%),precipitation (mm),pressure (kPa),radiation (W/m2),temperature (oC),windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
2019-03-01 00:00:00,48.53,59.76,0,0.1663,0.2663,66,0.0,87.66,0.0,22.87,0.57,1,0,0,0,0,0,0,0
2019-03-01 01:00:00,60.82,70.77,1,0.1663,0.2663,68,0.0,87.64,0.0,22.53,0.35,0,0,0,0,0,0,1,0
2019-03-01 02:00:00,58.55,69.48,2,0.1663,0.2663,71,0.0,87.61,0.0,21.98,0.32,0,1,0,0,0,0,0,0
2019-03-01 03:00:00,58.95,69.95,3,0.1663,0.2663,71,0.0,87.61,0.0,21.98,0.34,0,0,1,0,0,0,0,0
2019-03-01 04:00:00,68.54,76.21,4,0.1663,0.2663,76,0.0,87.61,0.0,21.24,0.23,0,1,0,0,0,0,0,0
2019-03-01 05:00:00,89.99,96.52,5,0.1663,0.2663,78,0.0,87.61,0.0,20.79,0.27,0,0,0,1,0,0,0,0
2019-03-01 06:00:00,102.58,109.51,6,0.1663,0.2663,81,0.0,87.64,0.02,20.75,0.31,0,0,0,1,0,0,0,0
2019-03-01 07:00:00,166.21,177.8,7,0.1663,0.2663,84,0.0,87.72,30.18,20.64,0.37,0,0,0,1,0,0,0,0
2019-03-01 08:00:00,138.05,146.88,8,0.1663,0.2663,79,0.0,87.83,157.62,22.03,0.37,0,0,0,0,0,0,0,1
2019-03-01 09:00:00,78.03,85.12,9,0.1663,0.2663,71,0.0,87.91,371.57,23.42,0.74,0,0,1,0,0,0,0,0
2019-03-01 10:00:00,60.0,70.14,10,0.1663,0.2663,69,0.0,87.91,504.98,24.36,1.13,1,0,0,0,0,0,0,0
2019-03-01 11:00:00,68.87,77.43,11,0.1663,0.2663,64,0.0,87.87,785.52,25.99,1.1,1,0,0,0,0,0,0,0
2019-03-01 12:00:00,56.42,67.02,12,0.1663,0.2663,55,0.0,87.8,848.08,27.46,0.92,1,0,0,0,0,0,0,0
2019-03-01 13:00:00,58.02,68.1,13,0.1663,0.2663,52,0.0,87.72,582.33,28.12,0.79,0,0,0,0,0,1,0,0
2019-03-01 14:00:00,59.28,69.47,14,0.1663,0.2663,49,0.0,87.59,734.17,29.17,0.74,0,0,0,0,0,1,0,0
2019-03-01 15:00:00,56.42,67.44,15,0.1663,0.2663,45,0.0,87.49,465.4,29.53,0.64,0,0,0,0,0,1,0,0
2019-03-01 16:00:00,61.44,71.32,16,0.1663,0.2663,52,0.0,87.46,386.4,29.18,0.61,0,1,0,0,0,0,0,0
2019-03-01 17:00:00,56.08,66.94,17,0.1663,0.2663,55,0.0,87.44,285.33,28.88,0.61,0,0,0,0,0,1,0,0
