Hour,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),field8,hour,Date,Time(hrs),TimeStamp
00:00:00,4.0,6.09,9.87,4.43,0,2019-04-29,0 days 00:00:00.000000000,2019-04-29 00:00:00
01:00:00,3.96,6.01,9.95,4.43,1,2019-04-29,0 days 01:00:00.000000000,2019-04-29 01:00:00
02:00:00,4.34,6.52,10.36,4.43,2,2019-04-29,0 days 02:00:00.000000000,2019-04-29 02:00:00
03:00:00,4.59,7.07,12.31,4.43,3,2019-04-29,0 days 03:00:00.000000000,2019-04-29 03:00:00
04:00:00,4.94,7.56,14.5,4.43,4,2019-04-29,0 days 04:00:00.000000000,2019-04-29 04:00:00
05:00:00,4.05,6.07,11.98,4.42,5,2019-04-29,0 days 05:00:00.000000000,2019-04-29 05:00:00
06:00:00,2.81,4.16,8.5,4.41,6,2019-04-29,0 days 06:00:00.000000000,2019-04-29 06:00:00
07:00:00,1.95,2.92,6.09,4.41,7,2019-04-29,0 days 07:00:00.000000000,2019-04-29 07:00:00
08:00:00,1.79,2.67,5.63,4.4,8,2019-04-29,0 days 08:00:00.000000000,2019-04-29 08:00:00
09:00:00,1.69,2.57,5.75,4.4,9,2019-04-29,0 days 09:00:00.000000000,2019-04-29 09:00:00
10:00:00,1.53,2.36,5.53,4.4,10,2019-04-29,0 days 10:00:00.000000000,2019-04-29 10:00:00
11:00:00,1.49,2.35,5.7,4.42,11,2019-04-29,0 days 11:00:00.000000000,2019-04-29 11:00:00
12:00:00,1.36,2.18,5.2,4.42,12,2019-04-29,0 days 12:00:00.000000000,2019-04-29 12:00:00
13:00:00,1.38,2.21,5.41,4.42,13,2019-04-29,0 days 13:00:00.000000000,2019-04-29 13:00:00
14:00:00,1.61,2.57,6.41,4.42,14,2019-04-29,0 days 14:00:00.000000000,2019-04-29 14:00:00
15:00:00,2.07,3.26,8.16,4.42,15,2019-04-29,0 days 15:00:00.000000000,2019-04-29 15:00:00
16:00:00,3.17,4.87,10.87,4.42,16,2019-04-29,0 days 16:00:00.000000000,2019-04-29 16:00:00
17:00:00,3.95,5.97,12.92,4.42,17,2019-04-29,0 days 17:00:00.000000000,2019-04-29 17:00:00
18:00:00,3.99,6.11,13.95,4.43,18,2019-04-29,0 days 18:00:00.000000000,2019-04-29 18:00:00
19:00:00,4.02,6.19,13.79,4.42,19,2019-04-29,0 days 19:00:00.000000000,2019-04-29 19:00:00
20:00:00,3.81,5.94,12.59,4.42,20,2019-04-29,0 days 20:00:00.000000000,2019-04-29 20:00:00
21:00:00,4.22,6.48,12.47,4.42,21,2019-04-29,0 days 21:00:00.000000000,2019-04-29 21:00:00
22:00:00,4.65,6.97,12.75,4.43,22,2019-04-29,0 days 22:00:00.000000000,2019-04-29 22:00:00
23:00:00,4.44,6.75,11.4,4.43,23,2019-04-29,0 days 23:00:00.000000000,2019-04-29 23:00:00
