TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),field8
2018-01-15,23.99,31.22,57.04,3.99
2018-01-16,13.895,18.384999999999998,36.76,3.805
2018-01-17,13.895,18.384999999999998,36.76,3.805
2018-01-18,13.895,18.384999999999998,36.76,3.805
2018-01-19,13.895,18.384999999999998,36.76,3.805
2018-01-20,13.895,18.384999999999998,36.76,3.805
2018-01-21,13.895,18.384999999999998,36.76,3.805
2018-01-22,13.895,18.384999999999998,36.76,3.805
2018-01-23,13.895,18.384999999999998,36.76,3.805
2018-01-24,13.895,18.384999999999998,36.76,3.805
2018-01-25,13.895,18.384999999999998,36.76,3.805
2018-01-26,13.895,18.384999999999998,36.76,3.805
2018-01-27,13.895,18.384999999999998,36.76,3.805
2018-01-28,13.895,18.384999999999998,36.76,3.805
2018-01-29,13.895,18.384999999999998,36.76,3.805
2018-01-30,13.895,18.384999999999998,36.76,3.805
2018-01-31,13.895,18.384999999999998,36.76,3.805
2018-02-01,13.895,18.384999999999998,36.76,3.805
2018-02-02,13.895,18.384999999999998,36.76,3.805
2018-02-03,13.895,18.384999999999998,36.76,3.805
2018-02-04,13.895,18.384999999999998,36.76,3.805
2018-02-05,13.895,18.384999999999998,36.76,3.805
2018-02-06,13.895,18.384999999999998,36.76,3.805
2018-02-07,13.895,18.384999999999998,36.76,3.805
2018-02-08,13.895,18.384999999999998,36.76,3.805
2018-02-09,13.895,18.384999999999998,36.76,3.805
2018-02-10,13.895,18.384999999999998,36.76,3.805
2018-02-11,13.895,18.384999999999998,36.76,3.805
2018-02-12,13.895,18.384999999999998,36.76,3.805
2018-02-13,13.895,18.384999999999998,36.76,3.805
2018-02-14,13.895,18.384999999999998,36.76,3.805
2018-02-15,13.895,18.384999999999998,36.76,3.805
2018-02-16,13.895,18.384999999999998,36.76,3.805
2018-02-17,13.895,18.384999999999998,36.76,3.805
2018-02-18,13.895,18.384999999999998,36.76,3.805
2018-02-19,13.895,18.384999999999998,36.76,3.805
2018-02-20,13.895,18.384999999999998,36.76,3.805
2018-02-21,13.895,18.384999999999998,36.76,3.805
2018-02-22,13.895,18.384999999999998,36.76,3.805
2018-02-23,13.895,18.384999999999998,36.76,3.805
2018-02-24,13.895,18.384999999999998,36.76,3.805
2018-02-25,13.895,18.384999999999998,36.76,3.805
2018-02-26,13.895,18.384999999999998,36.76,3.805
2018-02-27,13.895,18.384999999999998,36.76,3.805
2018-02-28,13.895,18.384999999999998,36.76,3.805
2018-03-01,13.895,18.384999999999998,36.76,3.805
2018-03-02,13.895,18.384999999999998,36.76,3.805
2018-03-03,13.895,18.384999999999998,36.76,3.805
2018-03-04,13.895,18.384999999999998,36.76,3.805
2018-03-05,13.895,18.384999999999998,36.76,3.805
2018-03-06,13.895,18.384999999999998,36.76,3.805
2018-03-07,13.895,18.384999999999998,36.76,3.805
2018-03-08,13.895,18.384999999999998,36.76,3.805
2018-03-09,13.895,18.384999999999998,36.76,3.805
2018-03-10,13.895,18.384999999999998,36.76,3.805
2018-03-11,13.895,18.384999999999998,36.76,3.805
2018-03-12,13.895,18.384999999999998,36.76,3.805
2018-03-13,13.895,18.384999999999998,36.76,3.805
2018-03-14,13.895,18.384999999999998,36.76,3.805
2018-03-15,13.895,18.384999999999998,36.76,3.805
2018-03-16,13.895,18.384999999999998,36.76,3.805
2018-03-17,13.895,18.384999999999998,36.76,3.805
2018-03-18,13.895,18.384999999999998,36.76,3.805
2018-03-19,13.895,18.384999999999998,36.76,3.805
2018-03-20,13.895,18.384999999999998,36.76,3.805
2018-03-21,13.895,18.384999999999998,36.76,3.805
2018-03-22,13.895,18.384999999999998,36.76,3.805
2018-03-23,13.895,18.384999999999998,36.76,3.805
2018-03-24,13.895,18.384999999999998,36.76,3.805
2018-03-25,13.895,18.384999999999998,36.76,3.805
2018-03-26,13.895,18.384999999999998,36.76,3.805
2018-03-27,13.895,18.384999999999998,36.76,3.805
2018-03-28,3.8,5.55,16.48,3.62
2018-03-29,2.71,4.07,7.8,4.35
2018-03-30,1.17,2.03,4.97,4.49
2018-03-31,1.0,1.45,2.25,4.48
2018-04-01,0.51,0.72,0.96,4.48
2018-04-02,0.33,0.5,0.78,4.54
2018-04-03,0.56,0.87,2.43,4.07
2018-04-04,4.33,5.2,10.91,3.79
2018-04-05,8.81,12.51,20.18,4.05
2018-04-06,16.4,20.79,34.99,3.77
2018-04-07,4.09,5.39,10.93,4.07
2018-04-08,4.665,6.08,13.39,3.79
2018-04-09,4.665,6.08,13.39,3.79
2018-04-10,5.24,6.77,15.85,3.51
2018-04-11,5.17,6.984999999999999,18.3,3.9299999999999997
2018-04-12,5.1,7.2,20.75,4.35
2018-04-13,5.97,7.91,19.55,4.42
2018-04-14,6.55,8.11,13.04,4.41
2018-04-15,8.85,11.25,18.7,4.45
2018-04-16,9.08,11.5,19.07,4.41
2018-04-17,5.35,7.03,14.46,4.44
2018-04-18,12.24,16.84,40.86,4.45
2018-04-19,10.205,14.02,32.925,4.365
2018-04-20,10.205,14.02,32.925,4.365
2018-04-21,10.205,14.02,32.925,4.365
2018-04-22,10.205,14.02,32.925,4.365
2018-04-23,8.17,11.2,24.99,4.28
2018-04-24,7.73,10.04,18.66,4.36
2018-04-25,5.57,7.3,16.18,4.4
2018-04-26,6.38,8.28,18.91,4.34
2018-04-27,3.34,4.19,11.23,4.33
2018-04-28,6.07,8.17,20.83,4.33
2018-04-29,5.23,6.67,13.06,4.4
2018-04-30,3.66,4.94,14.3,4.39
2018-05-01,3.37,4.37,10.76,4.41
2018-05-02,4.15,5.45,15.64,4.49
2018-05-03,4.76,6.35,17.07,4.5
2018-05-04,5.91,7.99,20.58,4.5
2018-05-05,6.46,8.57,20.61,4.51
2018-05-06,9.33,12.24,23.68,4.51
2018-05-07,4.58,6.04,15.2,4.51
2018-05-08,5.84,7.79,20.59,4.5
2018-05-09,7.91,10.46,22.71,4.51
2018-05-10,4.1,5.33,12.55,4.5
2018-05-11,7.08,9.09,18.37,4.51
2018-05-12,5.31,6.89,16.29,4.5
2018-05-13,7.76,10.12,20.44,4.5
2018-05-14,8.86,11.62,22.77,4.5
2018-05-15,5.18,6.69,13.5,4.51
2018-05-16,4.76,6.25,12.77,4.51
2018-05-17,4.65,6.29,16.1,4.51
2018-05-18,8.11,11.1,28.52,4.48
2018-05-19,5.05,6.53,13.86,4.41
2018-05-20,14.13,18.01,29.48,4.41
2018-05-21,6.61,8.32,15.02,4.35
2018-05-22,6.11,7.64,13.8,4.33
2018-05-23,10.77,13.98,25.28,4.45
2018-05-24,8.4,11.04,22.53,4.41
2018-05-25,12.84,16.72,30.62,4.39
2018-05-26,10.56,13.85,25.71,4.38
2018-05-27,11.28,14.69,24.34,4.44
2018-05-28,6.58,8.67,18.77,4.23
2018-05-29,7.48,10.09,24.89,4.34
2018-05-30,6.85,9.55,25.23,4.49
