TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),field8
2018-01-31,23.99,31.22,57.04,3.99
2018-02-28,12.895,17.0,31.485,4.1899999999999995
2018-03-31,1.8,2.78,5.93,4.39
2018-04-30,5.68,7.44,15.58,4.36
2018-05-31,7.08,9.32,20.04,4.46
2018-06-30,9.01,11.62,23.34,4.46
2018-07-31,11.66,21.28,41.25,4.47
2018-08-31,4.54,8.27,15.52,4.41
2018-09-30,0.13,0.22,0.24,4.4
2018-10-31,1.12,1.98,5.57,4.42
2018-11-30,0.11,0.2,0.22,4.38
2018-12-31,0.15,0.27,0.29,4.4
2019-01-31,0.09,0.16,0.17,4.46
2019-02-28,0.09,0.18,0.2,4.46
2019-03-31,4.49,6.55,25.08,3.66
