Hour,PM2.5(Ug/m3),PM10(Ug/m3),hour,Date,Time(hrs),TimeStamp
00:00:00,146.83,166.99,0,2019-06-17,0 days 00:00:00.000000000,2019-06-17 00:00:00
01:00:00,112.06,128.38,1,2019-06-17,0 days 01:00:00.000000000,2019-06-17 01:00:00
02:00:00,84.1,95.38,2,2019-06-17,0 days 02:00:00.000000000,2019-06-17 02:00:00
03:00:00,70.99,80.3,3,2019-06-17,0 days 03:00:00.000000000,2019-06-17 03:00:00
04:00:00,64.95,73.47,4,2019-06-17,0 days 04:00:00.000000000,2019-06-17 04:00:00
05:00:00,66.98,74.72,5,2019-06-17,0 days 05:00:00.000000000,2019-06-17 05:00:00
06:00:00,77.64,84.77,6,2019-06-17,0 days 06:00:00.000000000,2019-06-17 06:00:00
07:00:00,81.6,89.16,7,2019-06-17,0 days 07:00:00.000000000,2019-06-17 07:00:00
08:00:00,72.84,80.19,8,2019-06-17,0 days 08:00:00.000000000,2019-06-17 08:00:00
09:00:00,54.17,61.61,9,2019-06-17,0 days 09:00:00.000000000,2019-06-17 09:00:00
10:00:00,43.02,49.21,10,2019-06-17,0 days 10:00:00.000000000,2019-06-17 10:00:00
11:00:00,35.62,40.33,11,2019-06-17,0 days 11:00:00.000000000,2019-06-17 11:00:00
12:00:00,30.57,34.37,12,2019-06-17,0 days 12:00:00.000000000,2019-06-17 12:00:00
13:00:00,28.35,31.7,13,2019-06-17,0 days 13:00:00.000000000,2019-06-17 13:00:00
14:00:00,27.91,31.18,14,2019-06-17,0 days 14:00:00.000000000,2019-06-17 14:00:00
15:00:00,27.52,30.61,15,2019-06-17,0 days 15:00:00.000000000,2019-06-17 15:00:00
16:00:00,32.45,36.33,16,2019-06-17,0 days 16:00:00.000000000,2019-06-17 16:00:00
17:00:00,110.72,122.18,17,2019-06-17,0 days 17:00:00.000000000,2019-06-17 17:00:00
18:00:00,247.73,272.53,18,2019-06-17,0 days 18:00:00.000000000,2019-06-17 18:00:00
19:00:00,271.96,301.57,19,2019-06-17,0 days 19:00:00.000000000,2019-06-17 19:00:00
20:00:00,243.94,270.49,20,2019-06-17,0 days 20:00:00.000000000,2019-06-17 20:00:00
21:00:00,206.76,228.82,21,2019-06-17,0 days 21:00:00.000000000,2019-06-17 21:00:00
22:00:00,160.77,177.88,22,2019-06-17,0 days 22:00:00.000000000,2019-06-17 22:00:00
23:00:00,147.98,165.33,23,2019-06-17,0 days 23:00:00.000000000,2019-06-17 23:00:00
