TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),latitude,longitude,elevation,status
2019-03-14,26.08,28.87,32.23,,,,
2019-03-15,107.87,120.885,119.42,,,,
2019-03-16,107.87,120.885,119.42,,,,
2019-03-17,189.66,212.9,206.61,,,,
2019-03-18,99.54,110.91,103.91,,,,
2019-03-19,109.51,123.01,114.4,,,,
2019-03-20,119.88,132.57,124.65,,,,
2019-03-21,117.66,131.21,122.15,,,,
2019-03-22,90.85,100.29,93.15,,,,
2019-03-23,104.24,113.49,106.2,,,,
2019-03-24,112.81,122.39,114.16,,,,
2019-03-25,105.66,116.23,107.59,,,,
2019-03-26,97.08,109.06,99.35,,,,
2019-03-27,131.43,144.89,133.65,,,,
2019-03-28,110.39,124.4,114.08,,,,
2019-03-29,108.46,120.57,111.17,,,,
2019-03-30,127.73,140.79,129.96,,,,
2019-03-31,90.12,100.6,93.12,,,,
2019-04-01,96.29,108.28,99.8,,,,
2019-04-02,134.33,148.28,136.86,,,,
2019-04-03,100.27,110.69,101.17,,,,
2019-04-04,87.75,97.3,88.23,,,,
2019-04-05,105.25,116.82,107.1,,,,
2019-04-06,90.82,99.8,91.33,,,,
2019-04-07,112.19,122.87,111.76,,,,
2019-04-08,117.11,129.34,117.62,,,,
2019-04-09,83.24,93.45,82.53,,,,
2019-04-10,114.36,126.47,116.21,,,,
2019-04-11,105.74,116.13,106.29,,,,
2019-04-12,82.91,92.6,84.65,,,,
2019-04-13,91.62,103.56,93.28,,,,
2019-04-14,99.6,112.96,101.96,,,,
2019-04-15,103.24,114.28,103.91,,,,
2019-04-16,91.02,100.29,89.44,,,,
2019-04-17,111.58,122.57,111.06,,,,
2019-04-18,114.58,124.72,115.12,,,,
2019-04-19,102.31,114.02,103.71,,,,
2019-04-20,92.55,102.91,92.31,,,,
2019-04-21,91.23,102.31,93.87,,,,
2019-04-22,72.68,80.84,73.8,,,,
2019-04-23,46.7,52.0,46.89,,,,
2019-04-24,121.2,135.77,127.33,,,,
2019-04-25,68.42,81.06,75.89,,,,
2019-04-26,99.61000000000001,111.95,102.6,,,,
2019-04-27,99.61000000000001,111.95,102.6,,,,
2019-04-28,99.61000000000001,111.95,102.6,,,,
2019-04-29,99.61000000000001,111.95,102.6,,,,
2019-04-30,99.61000000000001,111.95,102.6,,,,
2019-05-01,130.8,142.84,129.31,,,,
2019-05-02,91.44,100.79,88.8,,,,
2019-05-03,75.27,82.99,72.3,,,,
2019-05-04,78.73,87.04,77.75,,,,
2019-05-05,80.74,88.41,79.74,,,,
2019-05-06,69.45,75.66,66.99,,,,
2019-05-07,64.3,70.67,62.4,,,,
2019-05-08,80.63,89.83,78.63,,,,
2019-05-09,63.69,70.07,60.96,,,,
2019-05-10,86.39,95.64,85.24,,,,
2019-05-11,95.79,105.73,93.12,,,,
2019-05-12,100.6,112.23,99.42,,,,
2019-05-13,93.73,103.51,91.52,,,,
2019-05-14,86.9,94.97,83.33,,,,
2019-05-15,88.41,96.75,85.1,,,,
2019-05-16,85.85,93.6,82.09,,,,
2019-05-17,84.93,92.72,81.54,,,,
2019-05-18,98.69,108.73,95.85,,,,
2019-05-19,77.01,84.4,73.13,,,,
2019-05-20,68.48,75.02,65.23,,,,
2019-05-21,67.88,74.28,64.54,,,,
2019-05-22,60.33,66.7,57.41,,,,
2019-05-23,79.09,87.62,75.56,,,,
2019-05-24,79.01,89.0,76.75,,,,
2019-05-25,94.95,104.72,91.78,,,,
2019-05-26,98.05,107.75,94.76,,,,
2019-05-27,73.81,80.78,70.14,,,,
2019-05-28,90.09,97.95,85.54,,,,
2019-05-29,95.82,104.58,92.28,,,,
2019-05-30,101.55,111.21,99.02,,,,
2019-05-31,89.58,97.48,85.3,,,,
2019-06-01,87.77,96.18,82.73,,,,
2019-06-02,97.39,106.87,93.12,,,,
2019-06-03,95.08,105.22,90.94,,,,
2019-06-04,93.25,102.72,88.75,,,,
2019-06-05,93.26,103.89,90.52,,,,
2019-06-06,119.64,128.96,115.25,,,,
2019-06-07,90.94,100.36,87.12,,,,
2019-06-08,106.66,116.59,102.97,,,,
2019-06-09,93.48,102.65,89.67,,,,
2019-06-10,94.43,102.64,89.97,,,,
2019-06-11,83.76,92.78,80.11,,,,
2019-06-12,111.62,121.42,108.02,,,,
2019-06-13,94.12,102.52,89.32,,,,
2019-06-14,91.27,99.68,86.35,,,,
