,Feature-importance
precipitation (mm),4.350638693630421e-07
winddirection_SE,4.291096610794011e-06
winddirection_E,4.948936640505428e-06
winddirection_SW,9.039504876848693e-06
winddirection_NE,9.701875538815743e-06
winddirection_N,1.2667356516959884e-05
winddirection_NW,1.9478438290410207e-05
NDVI,2.494139996463834e-05
winddirection_S,3.8462795361567025e-05
pressure (kPa),9.218744578719953e-05
EVI,9.256343219339873e-05
radiation (W/m2),0.00010387244477764143
temperature (oC),0.00012742998661350785
humidity (%),0.0001294485830461573
windspeed (m/s),0.00013786791780421098
hour,0.0002539293884603536
PM10(Ug/m3),0.9989387343336478
