TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),latitude,longitude,elevation,status,hour,Hour
2019-03-14 22:00:00,26.08,28.87,32.23,,,,,22,0 days 22:00:00.000000000
2019-03-14 23:00:00,138.72,153.13,139.83,,,,,23,0 days 23:00:00.000000000
2019-03-15 00:00:00,136.95,153.14,140.62,,,,,0,0 days 00:00:00.000000000
2019-03-15 01:00:00,108.93,122.79,110.89,,,,,1,0 days 01:00:00.000000000
2019-03-15 02:00:00,88.86,99.48,88.63,,,,,2,0 days 02:00:00.000000000
2019-03-15 03:00:00,73.29,81.85,72.12,,,,,3,0 days 03:00:00.000000000
2019-03-15 04:00:00,68.12,76.07,66.73,,,,,4,0 days 04:00:00.000000000
2019-03-15 05:00:00,71.6,78.68,69.17,,,,,5,0 days 05:00:00.000000000
2019-03-15 06:00:00,80.28,86.57,75.77,,,,,6,0 days 06:00:00.000000000
2019-03-15 07:00:00,84.78,91.17,79.71,,,,,7,0 days 07:00:00.000000000
2019-03-15 08:00:00,74.64,81.39,70.69,,,,,8,0 days 08:00:00.000000000
2019-03-15 09:00:00,56.43,63.68,53.67,,,,,9,0 days 09:00:00.000000000
2019-03-15 10:00:00,47.48,53.72,44.93,,,,,10,0 days 10:00:00.000000000
2019-03-15 11:00:00,39.12,44.12,36.81,,,,,11,0 days 11:00:00.000000000
2019-03-15 12:00:00,33.62,37.68,31.54,,,,,12,0 days 12:00:00.000000000
2019-03-15 13:00:00,32.32,35.9,30.48,,,,,13,0 days 13:00:00.000000000
2019-03-15 14:00:00,30.89,34.26,29.06,,,,,14,0 days 14:00:00.000000000
2019-03-15 15:00:00,31.05,34.3,29.32,,,,,15,0 days 15:00:00.000000000
2019-03-15 16:00:00,35.44,39.44,33.99,,,,,16,0 days 16:00:00.000000000
2019-03-15 17:00:00,103.52,114.0,103.12,,,,,17,0 days 17:00:00.000000000
2019-03-15 18:00:00,227.79,249.88,230.87,,,,,18,0 days 18:00:00.000000000
2019-03-15 19:00:00,247.73,273.53,253.73,,,,,19,0 days 19:00:00.000000000
2019-03-15 20:00:00,220.52,243.09,224.78,,,,,20,0 days 20:00:00.000000000
