TimeStamp,PM2.5(Ug/m3),PM10(Ug/m3),hour,Hour
2019-03-14 22:00:00,29.15,33.2,22,0 days 22:00:00.000000000
2019-03-17 17:00:00,65.45,73.71,17,0 days 17:00:00.000000000
2019-03-17 18:00:00,105.94,116.5,18,0 days 18:00:00.000000000
2019-03-17 19:00:00,221.63,248.03,19,0 days 19:00:00.000000000
2019-03-17 20:00:00,289.54,332.33,20,0 days 20:00:00.000000000
2019-03-17 21:00:00,271.18,313.25,21,0 days 21:00:00.000000000
2019-03-17 22:00:00,302.72,352.86,22,0 days 22:00:00.000000000
2019-03-17 23:00:00,163.54,187.27,23,0 days 23:00:00.000000000
2019-03-18 00:00:00,196.38,226.83,0,0 days 00:00:00.000000000
2019-03-18 01:00:00,129.54,143.93,1,0 days 01:00:00.000000000
2019-03-18 02:00:00,78.97,89.69,2,0 days 02:00:00.000000000
2019-03-18 03:00:00,75.04,85.49,3,0 days 03:00:00.000000000
2019-03-18 04:00:00,57.71,69.44,4,0 days 04:00:00.000000000
2019-03-18 05:00:00,87.99,100.26,5,0 days 05:00:00.000000000
2019-03-18 06:00:00,121.73,129.59,6,0 days 06:00:00.000000000
2019-03-18 07:00:00,106.46,117.83,7,0 days 07:00:00.000000000
2019-03-18 08:00:00,59.35,69.97,8,0 days 08:00:00.000000000
2019-03-18 09:00:00,44.85,54.8,9,0 days 09:00:00.000000000
2019-03-18 10:00:00,41.36,49.4,10,0 days 10:00:00.000000000
2019-03-18 11:00:00,32.26,36.91,11,0 days 11:00:00.000000000
2019-03-18 12:00:00,24.33,26.92,12,0 days 12:00:00.000000000
2019-03-18 13:00:00,25.39,28.54,13,0 days 13:00:00.000000000
2019-03-18 14:00:00,24.53,28.43,14,0 days 14:00:00.000000000
2019-03-18 15:00:00,23.78,26.95,15,0 days 15:00:00.000000000
2019-03-18 16:00:00,25.68,29.34,16,0 days 16:00:00.000000000
2019-03-18 17:00:00,63.85,71.23,17,0 days 17:00:00.000000000
2019-03-18 18:00:00,248.22,267.47,18,0 days 18:00:00.000000000
2019-03-18 19:00:00,367.25,416.58,19,0 days 19:00:00.000000000
2019-03-18 20:00:00,366.07,412.73,20,0 days 20:00:00.000000000
2019-03-18 21:00:00,309.76,352.08,21,0 days 21:00:00.000000000
2019-03-18 22:00:00,255.96,293.93,22,0 days 22:00:00.000000000
2019-03-18 23:00:00,242.04,278.32,23,0 days 23:00:00.000000000
2019-03-19 00:00:00,296.55,366.21,0,0 days 00:00:00.000000000
2019-03-19 01:00:00,111.76,134.14,1,0 days 01:00:00.000000000
2019-03-19 02:00:00,62.35,73.16,2,0 days 02:00:00.000000000
2019-03-19 03:00:00,60.34,73.32,3,0 days 03:00:00.000000000
2019-03-19 04:00:00,82.81,95.86,4,0 days 04:00:00.000000000
2019-03-19 05:00:00,69.04,77.86,5,0 days 05:00:00.000000000
2019-03-19 06:00:00,95.05,102.81,6,0 days 06:00:00.000000000
2019-03-19 07:00:00,156.28,171.75,7,0 days 07:00:00.000000000
2019-03-19 08:00:00,119.78,130.18,8,0 days 08:00:00.000000000
2019-03-19 09:00:00,67.45,76.99,9,0 days 09:00:00.000000000
2019-03-19 10:00:00,35.66,41.43,10,0 days 10:00:00.000000000
2019-03-19 11:00:00,27.03,30.12,11,0 days 11:00:00.000000000
2019-03-19 12:00:00,28.01,31.6,12,0 days 12:00:00.000000000
2019-03-19 13:00:00,34.08,39.22,13,0 days 13:00:00.000000000
2019-03-19 14:00:00,40.62,48.8,14,0 days 14:00:00.000000000
2019-03-19 15:00:00,41.99,48.78,15,0 days 15:00:00.000000000
2019-03-19 16:00:00,47.47,57.81,16,0 days 16:00:00.000000000
2019-03-19 17:00:00,87.72,97.11,17,0 days 17:00:00.000000000
2019-03-19 18:00:00,175.64,187.67,18,0 days 18:00:00.000000000
2019-03-19 19:00:00,292.08,320.66,19,0 days 19:00:00.000000000
2019-03-19 20:00:00,334.63,383.55,20,0 days 20:00:00.000000000
2019-03-19 21:00:00,250.43,288.07,21,0 days 21:00:00.000000000
2019-03-19 22:00:00,235.49,268.24,22,0 days 22:00:00.000000000
2019-03-19 23:00:00,190.46,217.5,23,0 days 23:00:00.000000000
2019-03-20 00:00:00,192.5,224.35,0,0 days 00:00:00.000000000
2019-03-20 01:00:00,152.57,172.12,1,0 days 01:00:00.000000000
2019-03-20 02:00:00,179.76,202.07,2,0 days 02:00:00.000000000
2019-03-20 03:00:00,100.13,110.98,3,0 days 03:00:00.000000000
2019-03-20 04:00:00,96.91,110.46,4,0 days 04:00:00.000000000
2019-03-20 05:00:00,129.74,142.63,5,0 days 05:00:00.000000000
2019-03-20 06:00:00,154.59,169.56,6,0 days 06:00:00.000000000
2019-03-20 07:00:00,141.35,151.54,7,0 days 07:00:00.000000000
2019-03-20 08:00:00,94.4,99.83,8,0 days 08:00:00.000000000
2019-03-20 09:00:00,61.75,69.53,9,0 days 09:00:00.000000000
2019-03-20 10:00:00,38.72,44.95,10,0 days 10:00:00.000000000
2019-03-20 11:00:00,33.01,38.27,11,0 days 11:00:00.000000000
2019-03-20 12:00:00,35.47,41.29,12,0 days 12:00:00.000000000
2019-03-20 13:00:00,26.67,29.58,13,0 days 13:00:00.000000000
2019-03-20 14:00:00,29.19,32.6,14,0 days 14:00:00.000000000
2019-03-20 15:00:00,29.55,33.39,15,0 days 15:00:00.000000000
2019-03-20 16:00:00,30.27,33.97,16,0 days 16:00:00.000000000
2019-03-20 17:00:00,124.11,136.92,17,0 days 17:00:00.000000000
2019-03-20 18:00:00,368.06,408.64,18,0 days 18:00:00.000000000
2019-03-20 19:00:00,358.41,410.63,19,0 days 19:00:00.000000000
2019-03-20 20:00:00,344.05,397.01,20,0 days 20:00:00.000000000
2019-03-20 21:00:00,328.25,367.02,21,0 days 21:00:00.000000000
2019-03-20 22:00:00,130.3,142.46,22,0 days 22:00:00.000000000
2019-03-20 23:00:00,177.84,202.75,23,0 days 23:00:00.000000000
2019-03-21 00:00:00,234.63,278.91,0,0 days 00:00:00.000000000
2019-03-21 01:00:00,114.9,129.8,1,0 days 01:00:00.000000000
2019-03-21 02:00:00,85.34,97.32,2,0 days 02:00:00.000000000
2019-03-21 03:00:00,89.81,101.68,3,0 days 03:00:00.000000000
2019-03-21 04:00:00,114.9,129.39,4,0 days 04:00:00.000000000
2019-03-21 05:00:00,119.71,131.75,5,0 days 05:00:00.000000000
2019-03-21 06:00:00,160.36,173.47,6,0 days 06:00:00.000000000
2019-03-21 07:00:00,118.48,129.67,7,0 days 07:00:00.000000000
2019-03-21 08:00:00,85.74,93.98,8,0 days 08:00:00.000000000
