TimeStamp,PM2.5(Ug/m3),PM10(Ug/m3),EVI,NDVI,average humidity (%),total rainfall (mm),average pressure (kPa),total radiation (W/m2),average temperature (oC),average windspeed (m/s),min windspeed (m/s),max windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
2019-03-14,29.15,33.2,0.1233,0.2471,73.21,0.0,87.684,6436.77,24.1,0.7,0.28,1.12,0,0,1,0,0,0,0,0
2019-03-15,119.76,136.86,0.1233,0.2471,71.0,0.0,87.58,6666.1,24.55,0.69,0.26,1.17,0,0,0,0,1,0,0,0
2019-03-16,119.76,136.86,0.1233,0.2471,70.67,0.0,87.57600000000001,6281.64,25.12,0.72,0.26,1.28,0,0,0,0,1,0,0,0
2019-03-17,210.37,240.52,0.1233,0.2471,67.04,0.0,87.64299999999999,5438.84,24.98,0.76,0.19,1.48,0,0,1,0,0,0,0,0
2019-03-18,109.85,124.27,0.1233,0.2471,70.96,0.0,87.663,6039.42,24.54,0.63,0.2,1.38,0,0,1,0,0,0,0,0
2019-03-19,115.72,132.0,0.1233,0.2471,71.96,0.02,87.51100000000001,5640.94,25.33,0.6,0.13,1.21,0,0,0,0,1,0,0,0
2019-03-20,131.74,147.9,0.1233,0.2471,69.54,0.06,87.455,6435.22,25.72,0.74,0.17,1.4,0,0,0,0,1,0,0,0
2019-03-21,124.57,140.46,0.1233,0.2471,70.08,0.0,87.535,5094.93,24.99,0.69,0.19,1.3,0,0,0,0,1,0,0,0
2019-03-22,95.51,106.72,0.1233,0.2471,71.46,0.0,87.506,6486.31,25.15,0.69,0.25,1.41,0,0,0,0,1,0,0,0
2019-03-23,109.67,121.25,0.1233,0.2471,69.54,0.0,87.42299999999999,6095.4,25.29,0.62,0.22,1.15,0,0,0,0,1,0,0,0
2019-03-24,114.14,125.44,0.1233,0.2471,75.54,0.08,87.42,5536.74,24.86,0.68,0.24,1.32,0,0,0,0,1,0,0,0
2019-03-25,111.47,123.84,0.1233,0.2471,73.04,0.43,87.56700000000001,4879.42,24.54,0.75,0.28,1.24,1,0,0,0,0,0,0,0
2019-03-26,101.74,115.01,0.1233,0.2471,70.5,0.0,87.77799999999999,4554.91,23.77,0.76,0.22,1.3,1,0,0,0,0,0,0,0
2019-03-27,138.37,154.28,0.1233,0.2471,85.46,11.56,87.90799999999999,2328.19,21.49,0.6,0.19,1.19,0,0,1,0,0,0,0,0
2019-03-28,119.25,135.43,0.1233,0.2471,81.42,0.34,87.932,4773.22,22.14,0.75,0.39,1.48,0,0,1,0,0,0,0,0
2019-03-29,113.23,127.01,0.1233,0.2471,76.5,0.0,87.715,5844.6,24.02,0.6,0.27,1.01,0,0,1,0,0,0,0,0
2019-03-30,138.82,154.14,0.1233,0.2471,78.13,0.0,87.709,4383.03,23.55,0.66,0.2,1.26,0,0,0,0,1,0,0,0
2019-03-31,100.61,113.48,0.1233,0.2471,75.5,0.0,87.62700000000001,4935.39,24.23,0.66,0.24,1.3,0,0,0,0,1,0,0,0
2019-04-01,102.92,116.96,0.1465,0.2696,74.79,0.0,87.65799999999999,5582.26,24.24,0.78,0.28,1.25,0,0,0,0,1,0,0,0
2019-04-02,145.18,161.45,0.1465,0.2696,80.54,4.88,87.71,4538.82,22.06,0.71,0.22,1.57,0,1,0,0,0,0,0,0
2019-04-03,102.55,113.5,0.1465,0.2696,74.54,0.05,87.625,5160.32,24.28,0.59,0.26,1.13,0,0,0,0,1,0,0,0
2019-04-04,89.4,99.25,0.1465,0.2696,77.92,0.29,87.6,4139.2,24.1,0.61,0.2,1.18,0,0,0,0,1,0,0,0
2019-04-05,113.33,126.67,0.1465,0.2696,78.21,0.0,87.59100000000001,5766.86,24.72,0.68,0.19,1.37,0,0,0,0,1,0,0,0
2019-04-06,95.03,105.38,0.1465,0.2696,75.88,0.06,87.55799999999999,6202.4,25.2,0.65,0.2,1.19,0,0,0,0,1,0,0,0
2019-04-07,118.78,130.99,0.1465,0.2696,72.46,0.0,87.588,4296.95,25.33,0.65,0.23,1.29,0,0,0,0,1,0,0,0
2019-04-08,127.53,142.54,0.1465,0.2696,74.04,0.0,87.57799999999999,4297.28,24.83,0.64,0.23,1.17,0,0,1,0,0,0,0,0
2019-04-09,87.3,98.98,0.1465,0.2696,91.33,53.44,87.671,1871.91,20.27,0.71,0.23,1.23,1,0,0,0,0,0,0,0
2019-04-10,121.14,135.46,0.1465,0.2696,79.88,0.0,87.699,4711.75,22.25,0.62,0.22,1.11,0,0,0,0,0,1,0,0
2019-04-11,111.87,124.14,0.1465,0.2696,78.33,0.0,87.569,5620.23,23.81,0.62,0.26,1.17,0,0,0,0,1,0,0,0
2019-04-12,86.29,97.33,0.1465,0.2696,81.67,16.01,87.53399999999999,4696.81,23.26,0.68,0.3,1.14,0,0,1,0,0,0,0,0
2019-04-13,98.47,112.53,0.1465,0.2696,85.13,8.68,87.63600000000001,4872.37,22.22,0.75,0.38,1.12,0,0,1,0,0,0,0,0
2019-04-14,109.22,124.44,0.1465,0.2696,79.25,8.61,87.65100000000001,3998.54,23.58,0.55,0.24,1.17,0,0,0,0,1,0,0,0
2019-04-15,110.87,123.66,0.1465,0.2696,81.71,4.62,87.70299999999999,4482.13,23.23,0.61,0.26,1.14,0,0,0,1,0,0,0,0
2019-04-16,90.59,100.25,0.1465,0.2696,78.54,0.0,87.76700000000001,4354.39,22.77,0.65,0.28,1.22,0,0,1,0,0,0,0,0
2019-04-17,114.32,126.57,0.1465,0.2696,76.75,0.0,87.765,3598.78,22.45,0.55,0.18,1.0,0,0,1,0,0,0,0,0
2019-04-18,119.59,131.08,0.1465,0.2696,76.38,0.04,87.72,6159.33,24.31,0.63,0.21,1.41,0,0,0,0,1,0,0,0
2019-04-19,109.02,122.2,0.1465,0.2696,77.83,0.12,87.62100000000001,5810.26,24.84,0.68,0.24,1.17,0,0,0,0,1,0,0,0
2019-04-20,94.96,106.08,0.1465,0.2696,70.04,0.39,87.626,4941.52,24.51,0.81,0.23,1.58,0,0,1,0,0,0,0,0
2019-04-21,101.63,114.34,0.1465,0.2696,76.71,30.67,87.55,4996.01,23.72,0.69,0.23,1.24,0,0,0,0,1,0,0,0
2019-04-22,77.29,86.17,0.1465,0.2696,84.38,11.78,87.72200000000001,4792.4,21.65,0.68,0.23,1.1,0,0,0,0,0,1,0,0
2019-04-23,47.51,53.24,0.1465,0.2696,81.54,0.05,87.84899999999999,3554.45,22.15,0.63,0.26,1.0,0,0,0,0,1,0,0,0
2019-04-24,125.67,141.98,0.1465,0.2696,78.13,0.0,87.74700000000001,4900.09,23.99,0.54,0.14,0.98,0,0,0,0,1,0,0,0
2019-04-25,72.15,84.93,0.1465,0.2696,79.17,36.32,87.69200000000001,4210.7,24.02,0.68,0.29,1.09,1,0,0,0,0,0,0,0
