,PM2.5(Ug/m3),PM10(Ug/m3),hour,EVI,NDVI,humidity (%),precipitation (mm),pressure (kPa),radiation (W/m2),temperature (oC),windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
PM2.5(Ug/m3),1.0,0.9991210256077195,0.391069842316442,-0.1378150531677345,-0.13782130633490736,0.048957464432590636,-0.06304773270480228,-0.27104307087316526,-0.5140366406182555,-0.12081871078730148,-0.3492382642789197,-0.049343554990110304,-0.03373211671966033,-0.06595994880211248,0.057459299395493796,-0.11687947873537706,-0.04085623414081665,0.2259347262558746,0.14902316007509664
PM10(Ug/m3),0.9991210256077195,1.0,0.38075414776919075,-0.1454262382581178,-0.14548151512780733,0.0498769054746879,-0.06156251718994812,-0.26979577988727865,-0.5127263367346975,-0.12176208782138893,-0.3460334898822315,-0.04431743322298576,-0.03385265729080116,-0.06379190434112895,0.05872431774709654,-0.12103001316591831,-0.04033274172818424,0.22392070421900567,0.14692476299412463
hour,0.391069842316442,0.38075414776919075,1.0,-0.008905228397047554,-0.00894506372171381,-0.4293209445886058,-0.12331686732327506,-0.1948603291711858,0.11459358965684859,0.3966815960346352,0.1320678786604496,-0.19317910944956768,-0.13157472535990636,-0.18242825106692273,-0.00669878341969222,0.18739881309547007,0.00019241161977579118,0.18082432765288833,0.1390435124668537
EVI,-0.1378150531677345,-0.1454262382581178,-0.008905228397047554,1.0,0.9984433246165242,0.3340190814800696,0.05285974684758314,0.3014601384021132,-0.05622673707341103,-0.2603345629661552,-0.1054472684622435,0.01217527436823945,-0.04220923078005234,-0.057589421401326495,-0.019805138861827366,0.02639763724760469,0.06812920269223165,0.0293979972359239,-0.0329806876436991
NDVI,-0.13782130633490736,-0.14548151512780733,-0.00894506372171381,0.9984433246165242,1.0,0.33208454634447715,0.050928354688943224,0.30101855392126486,-0.05500196176278792,-0.2590320192254268,-0.10528470328819,0.013782435484265314,-0.044177818031855706,-0.059691361476242814,-0.020876760527590636,0.027970805424151444,0.06944030766648693,0.027566771729932812,-0.031080039734087347
humidity (%),0.048957464432590636,0.0498769054746879,-0.4293209445886058,0.3340190814800696,0.33208454634447715,1.0,0.16429641274696752,0.40003056651715974,-0.6377367936458085,-0.9356047676768797,-0.5610633210374161,0.16514147173362753,0.13571406941021058,0.18533327928361873,0.11613148074140095,-0.38925908295985895,0.04778705047598265,-0.0869089019581116,-0.02029594913274979
precipitation (mm),-0.06304773270480228,-0.06156251718994812,-0.12331686732327506,0.05285974684758314,0.050928354688943224,0.16429641274696752,1.0,0.06100734591550565,-0.08942577209816033,-0.17838079576541796,0.11288158485991534,0.010353636916407269,0.00414676329501334,0.013910285183974653,-0.001391619718377215,-0.013914225803443068,0.02936261756132304,-0.015703573893702343,-0.03174902236749652
pressure (kPa),-0.27104307087316526,-0.26979577988727865,-0.1948603291711858,0.3014601384021132,0.30101855392126486,0.40003056651715974,0.06100734591550565,1.0,0.10918888642137473,-0.3873518643459694,-0.01857626148261515,0.14344643268715507,0.01008043312077763,0.09143814377067869,-0.002602575027009355,-0.14189363678308461,0.11534888209055853,-0.1514858339173657,-0.048487459989562665
radiation (W/m2),-0.5140366406182555,-0.5127263367346975,0.11459358965684859,-0.05622673707341103,-0.05500196176278792,-0.6377367936458085,-0.08942577209816033,0.10918888642137473,1.0,0.7230528722425634,0.714609706618962,-0.07328651023312947,-0.10247910152009608,-0.0787665250749534,-0.13816113649841913,0.34901315341306,0.0025122664889668397,-0.08032592065945678,-0.073362685451127
temperature (oC),-0.12081871078730148,-0.12176208782138893,0.3966815960346352,-0.2603345629661552,-0.2590320192254268,-0.9356047676768797,-0.17838079576541796,-0.3873518643459694,0.7230528722425634,1.0,0.5914534311160837,-0.17906452876871914,-0.1460999424192504,-0.19050883859468545,-0.13024010366697675,0.43399372361528704,-0.03716701270265698,0.06899593750716315,-0.0014311809941327108
