Hour,PM1(Ug/m3),PM10(Ug/m3),PM2.5(Ug/m3),hour,Date,Time(hrs),TimeStamp
00:00:00,19.43,28.29,23.63,0,2019-06-15,0 days 00:00:00.000000000,2019-06-15 00:00:00
01:00:00,20.39,29.83,24.48,1,2019-06-15,0 days 01:00:00.000000000,2019-06-15 01:00:00
02:00:00,20.92,30.47,25.03,2,2019-06-15,0 days 02:00:00.000000000,2019-06-15 02:00:00
03:00:00,22.33,32.52,26.01,3,2019-06-15,0 days 03:00:00.000000000,2019-06-15 03:00:00
04:00:00,22.37,32.58,26.1,4,2019-06-15,0 days 04:00:00.000000000,2019-06-15 04:00:00
05:00:00,22.83,33.13,26.74,5,2019-06-15,0 days 05:00:00.000000000,2019-06-15 05:00:00
06:00:00,23.85,34.72,27.24,6,2019-06-15,0 days 06:00:00.000000000,2019-06-15 06:00:00
07:00:00,26.04,37.8,29.47,7,2019-06-15,0 days 07:00:00.000000000,2019-06-15 07:00:00
08:00:00,30.06,43.58,32.82,8,2019-06-15,0 days 08:00:00.000000000,2019-06-15 08:00:00
09:00:00,25.77,37.13,28.77,9,2019-06-15,0 days 09:00:00.000000000,2019-06-15 09:00:00
10:00:00,19.96,28.6,23.0,10,2019-06-15,0 days 10:00:00.000000000,2019-06-15 10:00:00
11:00:00,16.44,23.47,19.53,11,2019-06-15,0 days 11:00:00.000000000,2019-06-15 11:00:00
12:00:00,13.88,19.65,16.9,12,2019-06-15,0 days 12:00:00.000000000,2019-06-15 12:00:00
13:00:00,13.12,18.53,16.21,13,2019-06-15,0 days 13:00:00.000000000,2019-06-15 13:00:00
14:00:00,12.91,18.14,15.85,14,2019-06-15,0 days 14:00:00.000000000,2019-06-15 14:00:00
15:00:00,12.36,17.33,15.31,15,2019-06-15,0 days 15:00:00.000000000,2019-06-15 15:00:00
16:00:00,11.19,16.04,14.58,16,2019-06-15,0 days 16:00:00.000000000,2019-06-15 16:00:00
17:00:00,11.29,16.25,14.89,17,2019-06-15,0 days 17:00:00.000000000,2019-06-15 17:00:00
18:00:00,13.85,20.14,18.22,18,2019-06-15,0 days 18:00:00.000000000,2019-06-15 18:00:00
19:00:00,20.83,32.12,26.89,19,2019-06-15,0 days 19:00:00.000000000,2019-06-15 19:00:00
20:00:00,24.96,37.81,30.8,20,2019-06-15,0 days 20:00:00.000000000,2019-06-15 20:00:00
21:00:00,23.28,34.59,28.76,21,2019-06-15,0 days 21:00:00.000000000,2019-06-15 21:00:00
22:00:00,19.78,28.94,24.8,22,2019-06-15,0 days 22:00:00.000000000,2019-06-15 22:00:00
23:00:00,19.3,28.12,23.9,23,2019-06-15,0 days 23:00:00.000000000,2019-06-15 23:00:00
