TimeStamp,PM1(Ug/m3),PM10(Ug/m3),PM2.5(Ug/m3)
2019-01-21,18.23,25.36,23.14
2019-01-22,17.47,24.48,22.89
2019-01-23,32.66,46.27,37.96
2019-01-24,33.91,49.03,38.39
2019-01-25,20.94,31.26,27.48
2019-01-26,12.86,19.44,18.19
2019-01-27,12.18,18.7,17.27
2019-01-28,22.7,34.78,27.6
2019-01-29,23.65,35.39,29.79
2019-01-30,26.0,38.88,31.69
2019-01-31,28.88,42.52,33.07
2019-02-01,22.65,33.09,27.25
2019-02-02,21.86,32.66,25.82
2019-02-03,18.99,27.35,23.43
2019-02-04,19.14,27.81,24.47
2019-02-05,26.18,38.74,31.39
2019-02-06,29.98,43.39,35.15
2019-02-07,23.7,34.59,29.29
2019-02-08,14.83,21.21,19.09
2019-02-09,17.73,26.05,22.88
2019-02-10,36.32,53.84,41.04
2019-02-11,38.57,57.02,41.39
2019-02-12,18.3,27.22,24.81
2019-02-13,26.96,39.44,31.32
2019-02-14,20.48,30.19,25.54
2019-02-15,57.41,86.42,57.04
2019-02-16,42.66,62.35,45.6
2019-02-17,42.33,61.06,44.53
2019-02-18,41.27,59.19,44.08
2019-02-19,28.875,41.385,33.239999999999995
2019-02-20,28.875,41.385,33.239999999999995
2019-02-21,16.48,23.58,22.4
2019-02-22,38.15,55.28,40.36
2019-02-23,49.62,72.42,50.64
2019-02-24,14.9,21.63,18.98
2019-02-25,8.55,13.16,11.61
2019-02-26,9.46,14.67,13.35
2019-02-27,10.25,15.31,14.01
2019-02-28,19.49,28.63,25.84
2019-03-01,55.76,81.61,55.25
2019-03-02,52.3,80.02,53.81
2019-03-03,36.045,54.51,40.230000000000004
2019-03-04,19.79,29.0,26.65
2019-03-05,20.88,30.44,26.8
2019-03-06,22.93,33.07,27.52
2019-03-07,17.38,26.37,20.65
2019-03-08,45.72,67.29,47.87
2019-03-09,27.42,41.11,31.23
2019-03-10,14.48,21.51,19.27
2019-03-11,16.71,24.41,21.73
2019-03-12,14.61,21.14,19.64
2019-03-13,11.08,16.19,14.89
2019-03-14,15.24,22.78,20.78
2019-03-15,10.96,16.78,15.53
2019-03-16,20.95,31.9,26.38
2019-03-17,36.17,52.25,40.51
2019-03-18,20.47,29.43,25.91
2019-03-19,24.72,36.66,28.82
2019-03-20,21.33,30.63,26.78
2019-03-21,28.1,41.08,32.64
2019-03-22,12.39,18.05,16.96
2019-03-23,25.76,38.6,29.49
2019-03-24,24.79,36.03,29.63
2019-03-25,17.14,25.0,23.03
2019-03-26,25.58,37.01,31.47
2019-03-27,42.34,61.91,45.27
2019-03-28,24.43,35.02,29.19
2019-03-29,17.49,24.83,22.29
2019-03-30,15.27,25.94,20.61
2019-03-31,8.83,12.47,11.68
2019-04-01,14.22,20.68,18.74
2019-04-02,10.41,15.2,14.17
2019-04-03,16.37,24.1,21.93
2019-04-04,15.94,24.94,21.98
2019-04-05,10.78,15.51,14.78
2019-04-06,12.25,17.52,16.57
2019-04-07,17.05,24.75,21.52
2019-04-08,18.62,26.79,24.35
2019-04-09,16.04,22.05,20.02
2019-04-10,27.35,39.08,30.94
2019-04-11,15.16,21.89,19.97
2019-04-12,9.04,12.54,11.88
2019-04-13,13.35,18.23,16.67
2019-04-14,27.24,38.57,30.31
2019-04-15,16.88,22.97,20.39
2019-04-16,16.43,22.63,20.54
2019-04-17,21.18,30.03,25.17
2019-04-18,13.98,19.63,17.46
2019-04-19,21.53,29.86,23.94
2019-04-20,16.59,23.33,21.48
2019-04-21,12.12,16.94,14.92
2019-04-22,7.47,10.04,9.43
2019-04-23,3.67,5.48,5.11
2019-04-24,3.62,5.62,5.24
2019-04-25,21.44,30.71,23.98
2019-04-26,12.645000000000001,18.03,14.565000000000001
2019-04-27,12.645000000000001,18.03,14.565000000000001
2019-04-28,12.645000000000001,18.03,14.565000000000001
2019-04-29,12.645000000000001,18.03,14.565000000000001
2019-04-30,12.645000000000001,18.03,14.565000000000001
2019-05-01,12.645000000000001,18.03,14.565000000000001
2019-05-02,12.645000000000001,18.03,14.565000000000001
2019-05-03,12.645000000000001,18.03,14.565000000000001
2019-05-04,12.645000000000001,18.03,14.565000000000001
2019-05-05,12.645000000000001,18.03,14.565000000000001
2019-05-06,12.645000000000001,18.03,14.565000000000001
2019-05-07,12.645000000000001,18.03,14.565000000000001
2019-05-08,3.85,5.35,5.15
2019-05-09,6.86,9.39,8.29
2019-05-10,10.93,15.55,14.4
2019-05-11,8.57,11.57,11.08
2019-05-12,8.83,11.34,10.75
2019-05-13,6.33,8.38,8.01
2019-05-14,8.88,12.07,11.55
2019-05-15,8.8,12.53,11.59
2019-05-16,8.51,11.77,11.31
2019-05-17,10.25,14.25,13.63
2019-05-18,7.63,10.42,9.89
2019-05-19,8.53,11.28,10.75
2019-05-20,2.94,4.09,3.91
2019-05-21,4.23,5.88,5.59
2019-05-22,7.81,11.05,10.01
2019-05-23,8.43,11.46,11.03
2019-05-24,7.38,9.83,9.06
2019-05-25,16.38,22.82,18.22
2019-05-26,4.07,5.41,5.19
