TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),hour,Hour
2017-09-04 07:00:00,8.89,10.25,14.35,7,0 days 07:00:00.000000000
2017-09-04 08:00:00,,,,8,0 days 08:00:00.000000000
2017-09-04 09:00:00,5.11,6.44,17.72,9,0 days 09:00:00.000000000
2017-09-04 10:00:00,,,,10,0 days 10:00:00.000000000
2017-09-04 11:00:00,,,,11,0 days 11:00:00.000000000
2017-09-04 12:00:00,,,,12,0 days 12:00:00.000000000
2017-09-04 13:00:00,,,,13,0 days 13:00:00.000000000
2017-09-04 14:00:00,,,,14,0 days 14:00:00.000000000
2017-09-04 15:00:00,,,,15,0 days 15:00:00.000000000
2017-09-04 16:00:00,,,,16,0 days 16:00:00.000000000
2017-09-04 17:00:00,,,,17,0 days 17:00:00.000000000
2017-09-04 18:00:00,,,,18,0 days 18:00:00.000000000
2017-09-04 19:00:00,,,,19,0 days 19:00:00.000000000
2017-09-04 20:00:00,,,,20,0 days 20:00:00.000000000
2017-09-04 21:00:00,,,,21,0 days 21:00:00.000000000
2017-09-04 22:00:00,,,,22,0 days 22:00:00.000000000
2017-09-04 23:00:00,,,,23,0 days 23:00:00.000000000
2017-09-05 00:00:00,,,,0,0 days 00:00:00.000000000
2017-09-05 01:00:00,,,,1,0 days 01:00:00.000000000
2017-09-05 02:00:00,,,,2,0 days 02:00:00.000000000
2017-09-05 03:00:00,,,,3,0 days 03:00:00.000000000
2017-09-05 04:00:00,,,,4,0 days 04:00:00.000000000
2017-09-05 05:00:00,,,,5,0 days 05:00:00.000000000
2017-09-05 06:00:00,,,,6,0 days 06:00:00.000000000
2017-09-05 07:00:00,,,,7,0 days 07:00:00.000000000
2017-09-05 08:00:00,,,,8,0 days 08:00:00.000000000
2017-09-05 09:00:00,,,,9,0 days 09:00:00.000000000
2017-09-05 10:00:00,,,,10,0 days 10:00:00.000000000
2017-09-05 11:00:00,,,,11,0 days 11:00:00.000000000
2017-09-05 12:00:00,,,,12,0 days 12:00:00.000000000
2017-09-05 13:00:00,,,,13,0 days 13:00:00.000000000
2017-09-05 14:00:00,,,,14,0 days 14:00:00.000000000
2017-09-05 15:00:00,,,,15,0 days 15:00:00.000000000
2017-09-05 16:00:00,,,,16,0 days 16:00:00.000000000
2017-09-05 17:00:00,,,,17,0 days 17:00:00.000000000
2017-09-05 18:00:00,,,,18,0 days 18:00:00.000000000
2017-09-05 19:00:00,,,,19,0 days 19:00:00.000000000
2017-09-05 20:00:00,,,,20,0 days 20:00:00.000000000
2017-09-05 21:00:00,,,,21,0 days 21:00:00.000000000
2017-09-05 22:00:00,,,,22,0 days 22:00:00.000000000
2017-09-05 23:00:00,,,,23,0 days 23:00:00.000000000
2017-09-06 00:00:00,,,,0,0 days 00:00:00.000000000
2017-09-06 01:00:00,,,,1,0 days 01:00:00.000000000
2017-09-06 02:00:00,,,,2,0 days 02:00:00.000000000
2017-09-06 03:00:00,,,,3,0 days 03:00:00.000000000
2017-09-06 04:00:00,,,,4,0 days 04:00:00.000000000
2017-09-06 05:00:00,,,,5,0 days 05:00:00.000000000
2017-09-06 06:00:00,,,,6,0 days 06:00:00.000000000
2017-09-06 07:00:00,,,,7,0 days 07:00:00.000000000
2017-09-06 08:00:00,,,,8,0 days 08:00:00.000000000
2017-09-06 09:00:00,,,,9,0 days 09:00:00.000000000
2017-09-06 10:00:00,,,,10,0 days 10:00:00.000000000
2017-09-06 11:00:00,,,,11,0 days 11:00:00.000000000
2017-09-06 12:00:00,,,,12,0 days 12:00:00.000000000
2017-09-06 13:00:00,,,,13,0 days 13:00:00.000000000
2017-09-06 14:00:00,,,,14,0 days 14:00:00.000000000
2017-09-06 15:00:00,,,,15,0 days 15:00:00.000000000
2017-09-06 16:00:00,,,,16,0 days 16:00:00.000000000
2017-09-06 17:00:00,,,,17,0 days 17:00:00.000000000
2017-09-06 18:00:00,,,,18,0 days 18:00:00.000000000
2017-09-06 19:00:00,,,,19,0 days 19:00:00.000000000
2017-09-06 20:00:00,,,,20,0 days 20:00:00.000000000
2017-09-06 21:00:00,,,,21,0 days 21:00:00.000000000
2017-09-06 22:00:00,,,,22,0 days 22:00:00.000000000
2017-09-06 23:00:00,,,,23,0 days 23:00:00.000000000
2017-09-07 00:00:00,,,,0,0 days 00:00:00.000000000
2017-09-07 01:00:00,,,,1,0 days 01:00:00.000000000
2017-09-07 02:00:00,,,,2,0 days 02:00:00.000000000
2017-09-07 03:00:00,,,,3,0 days 03:00:00.000000000
2017-09-07 04:00:00,,,,4,0 days 04:00:00.000000000
2017-09-07 05:00:00,,,,5,0 days 05:00:00.000000000
2017-09-07 06:00:00,,,,6,0 days 06:00:00.000000000
2017-09-07 07:00:00,,,,7,0 days 07:00:00.000000000
2017-09-07 08:00:00,,,,8,0 days 08:00:00.000000000
2017-09-07 09:00:00,,,,9,0 days 09:00:00.000000000
2017-09-07 10:00:00,,,,10,0 days 10:00:00.000000000
2017-09-07 11:00:00,,,,11,0 days 11:00:00.000000000
2017-09-07 12:00:00,,,,12,0 days 12:00:00.000000000
2017-09-07 13:00:00,,,,13,0 days 13:00:00.000000000
2017-09-07 14:00:00,,,,14,0 days 14:00:00.000000000
2017-09-07 15:00:00,,,,15,0 days 15:00:00.000000000
2017-09-07 16:00:00,,,,16,0 days 16:00:00.000000000
2017-09-07 17:00:00,,,,17,0 days 17:00:00.000000000
2017-09-07 18:00:00,,,,18,0 days 18:00:00.000000000
2017-09-07 19:00:00,,,,19,0 days 19:00:00.000000000
2017-09-07 20:00:00,,,,20,0 days 20:00:00.000000000
2017-09-07 21:00:00,,,,21,0 days 21:00:00.000000000
2017-09-07 22:00:00,,,,22,0 days 22:00:00.000000000
2017-09-07 23:00:00,,,,23,0 days 23:00:00.000000000
2017-09-08 00:00:00,,,,0,0 days 00:00:00.000000000
2017-09-08 01:00:00,,,,1,0 days 01:00:00.000000000
2017-09-08 02:00:00,,,,2,0 days 02:00:00.000000000
2017-09-08 03:00:00,,,,3,0 days 03:00:00.000000000
2017-09-08 04:00:00,,,,4,0 days 04:00:00.000000000
2017-09-08 05:00:00,,,,5,0 days 05:00:00.000000000
2017-09-08 06:00:00,,,,6,0 days 06:00:00.000000000
2017-09-08 07:00:00,,,,7,0 days 07:00:00.000000000
2017-09-08 08:00:00,,,,8,0 days 08:00:00.000000000
2017-09-08 09:00:00,,,,9,0 days 09:00:00.000000000
2017-09-08 10:00:00,,,,10,0 days 10:00:00.000000000
2017-09-08 11:00:00,,,,11,0 days 11:00:00.000000000
2017-09-08 12:00:00,,,,12,0 days 12:00:00.000000000
2017-09-08 13:00:00,,,,13,0 days 13:00:00.000000000
2017-09-08 14:00:00,,,,14,0 days 14:00:00.000000000
2017-09-08 15:00:00,,,,15,0 days 15:00:00.000000000
2017-09-08 16:00:00,84.25,109.43,146.28,16,0 days 16:00:00.000000000
2017-09-08 17:00:00,,,,17,0 days 17:00:00.000000000
2017-09-08 18:00:00,,,,18,0 days 18:00:00.000000000
2017-09-08 19:00:00,,,,19,0 days 19:00:00.000000000
2017-09-08 20:00:00,,,,20,0 days 20:00:00.000000000
2017-09-08 21:00:00,,,,21,0 days 21:00:00.000000000
2017-09-08 22:00:00,,,,22,0 days 22:00:00.000000000
2017-09-08 23:00:00,,,,23,0 days 23:00:00.000000000
2017-09-09 00:00:00,,,,0,0 days 00:00:00.000000000
2017-09-09 01:00:00,,,,1,0 days 01:00:00.000000000
2017-09-09 02:00:00,,,,2,0 days 02:00:00.000000000
2017-09-09 03:00:00,,,,3,0 days 03:00:00.000000000
2017-09-09 04:00:00,,,,4,0 days 04:00:00.000000000
2017-09-09 05:00:00,,,,5,0 days 05:00:00.000000000
2017-09-09 06:00:00,,,,6,0 days 06:00:00.000000000
2017-09-09 07:00:00,,,,7,0 days 07:00:00.000000000
2017-09-09 08:00:00,,,,8,0 days 08:00:00.000000000
2017-09-09 09:00:00,,,,9,0 days 09:00:00.000000000
2017-09-09 10:00:00,,,,10,0 days 10:00:00.000000000
2017-09-09 11:00:00,,,,11,0 days 11:00:00.000000000
2017-09-09 12:00:00,,,,12,0 days 12:00:00.000000000
2017-09-09 13:00:00,,,,13,0 days 13:00:00.000000000
2017-09-09 14:00:00,,,,14,0 days 14:00:00.000000000
2017-09-09 15:00:00,,,,15,0 days 15:00:00.000000000
2017-09-09 16:00:00,,,,16,0 days 16:00:00.000000000
2017-09-09 17:00:00,,,,17,0 days 17:00:00.000000000
2017-09-09 18:00:00,,,,18,0 days 18:00:00.000000000
2017-09-09 19:00:00,,,,19,0 days 19:00:00.000000000
2017-09-09 20:00:00,,,,20,0 days 20:00:00.000000000
2017-09-09 21:00:00,,,,21,0 days 21:00:00.000000000
2017-09-09 22:00:00,,,,22,0 days 22:00:00.000000000
2017-09-09 23:00:00,,,,23,0 days 23:00:00.000000000
2017-09-10 00:00:00,,,,0,0 days 00:00:00.000000000
2017-09-10 01:00:00,,,,1,0 days 01:00:00.000000000
2017-09-10 02:00:00,,,,2,0 days 02:00:00.000000000
2017-09-10 03:00:00,,,,3,0 days 03:00:00.000000000
2017-09-10 04:00:00,,,,4,0 days 04:00:00.000000000
2017-09-10 05:00:00,,,,5,0 days 05:00:00.000000000
2017-09-10 06:00:00,,,,6,0 days 06:00:00.000000000
2017-09-10 07:00:00,,,,7,0 days 07:00:00.000000000
2017-09-10 08:00:00,,,,8,0 days 08:00:00.000000000
2017-09-10 09:00:00,,,,9,0 days 09:00:00.000000000
2017-09-10 10:00:00,,,,10,0 days 10:00:00.000000000
2017-09-10 11:00:00,,,,11,0 days 11:00:00.000000000
2017-09-10 12:00:00,,,,12,0 days 12:00:00.000000000
2017-09-10 13:00:00,,,,13,0 days 13:00:00.000000000
2017-09-10 14:00:00,,,,14,0 days 14:00:00.000000000
2017-09-10 15:00:00,,,,15,0 days 15:00:00.000000000
2017-09-10 16:00:00,,,,16,0 days 16:00:00.000000000
2017-09-10 17:00:00,,,,17,0 days 17:00:00.000000000
