TimeStamp,PM1(Ug/m3),PM10(Ug/m3),PM2.5(Ug/m3),hour,Hour
2019-01-21 12:00:00,44.43,62.5,45.67,12,0 days 12:00:00.000000000
2019-01-21 14:00:00,31.89,44.27,37.31,14,0 days 14:00:00.000000000
2019-01-21 15:00:00,30.06,41.29,35.6,15,0 days 15:00:00.000000000
2019-01-21 16:00:00,28.39,39.2,34.41,16,0 days 16:00:00.000000000
2019-01-21 17:00:00,17.5,24.0,23.08,17,0 days 17:00:00.000000000
2019-01-21 18:00:00,13.28,18.54,17.73,18,0 days 18:00:00.000000000
2019-01-21 19:00:00,15.49,21.92,21.08,19,0 days 19:00:00.000000000
2019-01-21 20:00:00,12.78,18.25,17.5,20,0 days 20:00:00.000000000
2019-01-21 21:00:00,13.15,18.4,17.71,21,0 days 21:00:00.000000000
2019-01-21 22:00:00,12.73,17.74,17.14,22,0 days 22:00:00.000000000
2019-01-21 23:00:00,11.51,16.07,15.53,23,0 days 23:00:00.000000000
2019-01-22 00:00:00,10.97,15.4,14.76,0,0 days 00:00:00.000000000
2019-01-22 01:00:00,10.3,14.4,13.84,1,0 days 01:00:00.000000000
2019-01-22 02:00:00,10.54,14.5,14.04,2,0 days 02:00:00.000000000
2019-01-22 03:00:00,9.78,13.32,12.88,3,0 days 03:00:00.000000000
2019-01-22 04:00:00,11.49,15.88,15.4,4,0 days 04:00:00.000000000
2019-01-22 05:00:00,13.19,18.28,17.61,5,0 days 05:00:00.000000000
2019-01-22 06:00:00,17.0,24.03,23.15,6,0 days 06:00:00.000000000
2019-01-22 07:00:00,21.47,30.08,28.13,7,0 days 07:00:00.000000000
2019-01-22 08:00:00,16.8,23.24,22.46,8,0 days 08:00:00.000000000
2019-01-22 09:00:00,17.61,24.51,23.59,9,0 days 09:00:00.000000000
2019-01-22 10:00:00,16.66,22.85,21.99,10,0 days 10:00:00.000000000
2019-01-22 11:00:00,17.81,24.37,23.5,11,0 days 11:00:00.000000000
2019-01-22 12:00:00,15.01,20.3,19.63,12,0 days 12:00:00.000000000
2019-01-22 13:00:00,14.26,19.41,18.74,13,0 days 13:00:00.000000000
2019-01-22 14:00:00,15.87,21.88,21.05,14,0 days 14:00:00.000000000
2019-01-22 15:00:00,15.79,21.36,20.76,15,0 days 15:00:00.000000000
2019-01-22 16:00:00,13.83,19.28,18.55,16,0 days 16:00:00.000000000
2019-01-22 17:00:00,23.59,34.2,29.81,17,0 days 17:00:00.000000000
2019-01-22 18:00:00,28.59,41.27,35.48,18,0 days 18:00:00.000000000
2019-01-22 19:00:00,30.5,44.69,37.26,19,0 days 19:00:00.000000000
