TimeStamp,PM1(Ug/m3),PM10(Ug/m3),PM2.5(Ug/m3),EVI,NDVI,average humidity (%),total rainfall (mm),average pressure (kPa),total radiation (W/m2),average temperature (oC),average windspeed (m/s),min windspeed (m/s),max windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
2019-01-21,18.23,25.36,23.14,0.3699,0.5508,86.13,2.39,87.818,2720.17,21.63,1.37,0.52,3.51,0,0,0,0,0,1,0,0
2019-01-22,17.47,24.48,22.89,0.3699,0.5508,85.13,2.99,87.641,3449.64,22.61,1.34,0.47,3.46,0,0,0,0,1,0,0,0
2019-01-23,32.66,46.27,37.96,0.3699,0.5508,87.92,3.47,87.645,2029.57,22.58,0.62,0.35,0.89,0,0,0,0,1,0,0,0
2019-01-24,33.91,49.03,38.39,0.3699,0.5508,81.96,0.35,87.662,3375.54,23.73,1.41,0.46,3.36,0,0,0,0,0,1,0,0
2019-01-25,20.94,31.26,27.48,0.3699,0.5508,79.33,0.08,87.70100000000001,4867.56,24.29,1.93,0.53,4.06,0,0,0,0,0,1,0,0
2019-01-26,12.86,19.44,18.19,0.3699,0.5508,77.58,0.08,87.719,4731.17,23.98,1.88,0.67,3.73,0,0,0,0,0,1,0,0
2019-01-27,12.18,18.7,17.27,0.3699,0.5508,80.75,0.18,87.624,3232.96,24.02,1.45,0.43,3.26,0,0,0,0,1,0,0,0
2019-01-28,22.7,34.78,27.6,0.3699,0.5508,78.79,0.17,87.536,4213.23,24.58,1.79,0.37,3.9,0,0,0,0,0,1,0,0
2019-01-29,23.65,35.39,29.79,0.3699,0.5508,74.54,0.05,87.585,4343.34,24.87,1.9,0.58,3.89,0,0,0,0,0,1,0,0
2019-01-30,26.0,38.88,31.69,0.3699,0.5508,69.5,0.0,87.63600000000001,4672.8,24.59,2.5,0.38,4.82,0,0,0,0,0,1,0,0
2019-01-31,28.88,42.52,33.07,0.3699,0.5508,72.63,0.04,87.624,4418.63,24.26,2.0,0.47,3.96,0,0,0,0,0,1,0,0
2019-02-01,22.65,33.09,27.25,0.307,0.503,75.17,0.13,87.63600000000001,4434.64,24.48,1.96,0.5,3.8,0,0,0,0,0,1,0,0
2019-02-02,21.86,32.66,25.82,0.307,0.503,66.63,0.04,87.575,4994.07,25.17,2.43,0.5,4.47,0,0,0,0,0,1,0,0
2019-02-03,18.99,27.35,23.43,0.307,0.503,71.33,0.14,87.51,4908.9,25.17,2.2,0.43,4.3,0,0,0,0,0,1,0,0
2019-02-04,19.14,27.81,24.47,0.307,0.503,73.67,0.12,87.479,4973.98,25.05,2.33,0.46,4.77,0,0,0,0,0,1,0,0
2019-02-05,26.18,38.74,31.39,0.307,0.503,76.79,0.02,87.53,3180.6,24.6,2.4,0.73,4.73,0,0,0,0,0,1,0,0
2019-02-06,29.98,43.39,35.15,0.307,0.503,76.5,0.08,87.58,4045.63,24.86,1.86,0.45,3.74,0,0,0,0,0,1,0,0
2019-02-07,23.7,34.59,29.29,0.307,0.503,79.0,0.08,87.63799999999999,3293.9,23.73,1.81,0.35,3.62,0,0,0,0,0,1,0,0
2019-02-08,14.83,21.21,19.09,0.307,0.503,76.88,0.04,87.541,4213.65,25.38,1.91,0.57,3.9,0,0,0,0,1,0,0,0
2019-02-09,17.73,26.05,22.88,0.307,0.503,77.54,0.0,87.431,3217.31,25.78,1.71,0.5,3.71,0,0,0,0,0,1,0,0
2019-02-10,36.32,53.84,41.04,0.307,0.503,68.42,0.0,87.476,4479.56,26.08,2.53,0.3,4.67,0,0,0,0,0,1,0,0
2019-02-11,38.57,57.02,41.39,0.307,0.503,71.29,0.0,87.585,2563.3,24.34,2.78,0.51,4.43,0,0,0,0,0,1,0,0
2019-02-12,18.3,27.22,24.81,0.307,0.503,79.13,0.12,87.509,3649.75,24.78,1.84,0.4,3.78,0,0,0,0,0,1,0,0
2019-02-13,26.96,39.44,31.32,0.307,0.503,68.17,0.12,87.63799999999999,4923.16,25.63,2.16,0.51,4.08,0,0,0,0,0,1,0,0
2019-02-14,20.48,30.19,25.54,0.307,0.503,59.63,0.0,87.736,4917.36,26.38,3.1,1.24,4.62,0,0,0,0,0,1,0,0
2019-02-15,57.41,86.42,57.04,0.307,0.503,67.08,1.99,87.792,3213.31,23.87,1.56,0.33,3.64,0,0,0,0,0,1,0,0
2019-02-16,42.66,62.35,45.6,0.307,0.503,65.96,0.0,87.795,5753.17,24.74,0.67,0.22,1.33,0,0,1,0,0,0,0,0
2019-02-17,42.33,61.06,44.53,0.307,0.503,74.71,1.47,87.735,3694.69,23.36,0.64,0.2,1.34,1,0,0,0,0,0,0,0
2019-02-18,41.27,59.19,44.08,0.307,0.503,66.17,0.46,87.63600000000001,4015.29,23.52,0.69,0.22,1.51,1,0,0,0,0,0,0,0
2019-02-19,28.875,41.385,33.239999999999995,0.307,0.503,62.92,0.0,87.571,5233.37,24.56,0.74,0.34,1.55,1,0,0,0,0,0,0,0
2019-02-20,28.875,41.385,33.239999999999995,0.307,0.503,68.13,0.0,87.635,5195.8,24.78,0.7,0.27,1.25,0,0,0,0,1,0,0,0
2019-02-21,16.48,23.58,22.4,0.307,0.503,78.71,24.87,87.721,5436.57,22.74,0.76,0.4,1.27,0,0,0,0,0,1,0,0
2019-02-22,38.15,55.28,40.36,0.307,0.503,75.13,12.46,87.723,5381.76,22.06,0.87,0.39,1.45,1,0,0,0,0,0,0,0
2019-02-23,49.62,72.42,50.64,0.307,0.503,78.79,36.88,87.74,5726.34,21.86,0.95,0.25,1.68,1,0,0,0,0,0,0,0
2019-02-24,14.9,21.63,18.98,0.307,0.503,83.38,3.77,87.804,5469.73,20.87,0.72,0.21,1.42,0,0,1,0,0,0,0,0
2019-02-25,8.55,13.16,11.61,0.307,0.503,78.21,0.48,87.72,6784.75,22.54,0.64,0.25,1.23,0,0,0,0,1,0,0,0
2019-02-26,9.46,14.67,13.35,0.307,0.503,72.0,0.0,87.54299999999999,6680.13,24.26,0.62,0.24,1.09,0,0,0,1,0,0,0,0
2019-02-27,10.25,15.31,14.01,0.307,0.503,73.5,0.0,87.56,7245.04,24.96,0.69,0.21,1.26,0,0,0,0,1,0,0,0
2019-02-28,19.49,28.63,25.84,0.307,0.503,69.21,0.04,87.588,5715.91,24.54,0.62,0.19,1.29,0,0,1,0,0,0,0,0
2019-03-01,55.76,81.61,55.25,0.308,0.4877,66.92,0.0,87.67399999999999,5216.36,24.53,0.61,0.23,1.13,1,0,0,0,0,0,0,0
2019-03-02,52.3,80.02,53.81,0.308,0.4877,77.67,0.53,87.83,3936.49,22.37,0.67,0.21,1.51,1,0,0,0,0,0,0,0
2019-03-03,36.045,54.51,40.230000000000004,0.308,0.4877,73.79,0.0,87.764,4738.79,23.47,0.62,0.23,1.04,0,0,0,0,1,0,0,0
2019-03-04,19.79,29.0,26.65,0.308,0.4877,87.21,21.32,87.756,4289.48,21.3,0.65,0.22,1.11,1,0,0,0,0,0,0,0
2019-03-05,20.88,30.44,26.8,0.308,0.4877,78.54,0.14,87.738,5645.62,22.71,0.6,0.22,1.09,0,0,0,0,1,0,0,0
2019-03-06,22.93,33.07,27.52,0.308,0.4877,73.71,3.98,87.823,5167.8,22.74,0.65,0.23,1.31,0,0,0,0,1,0,0,0
2019-03-07,17.38,26.37,20.65,0.308,0.4877,77.58,0.37,87.76,5462.28,22.36,0.67,0.3,1.03,0,0,0,0,1,0,0,0
2019-03-08,45.72,67.29,47.87,0.308,0.4877,63.13,0.0,87.696,4904.02,23.79,0.54,0.2,1.15,0,1,0,0,0,0,0,0
2019-03-09,27.42,41.11,31.23,0.308,0.4877,69.46,0.0,87.711,5713.91,24.54,0.63,0.24,1.16,0,0,0,0,1,0,0,0
2019-03-10,14.48,21.51,19.27,0.308,0.4877,74.13,0.0,87.73100000000001,6543.21,24.57,0.62,0.17,1.1,0,0,0,0,1,0,0,0
2019-03-11,16.71,24.41,21.73,0.308,0.4877,73.42,0.0,87.71600000000001,4943.49,23.99,0.56,0.24,1.19,0,0,0,1,0,0,0,0
2019-03-12,14.61,21.14,19.64,0.308,0.4877,74.13,0.07,87.652,6240.72,24.68,0.61,0.17,1.26,0,0,0,0,1,0,0,0
2019-03-13,11.08,16.19,14.89,0.308,0.4877,70.13,0.0,87.71799999999999,6769.53,24.08,0.74,0.27,1.23,0,0,0,0,0,0,1,0
2019-03-14,15.24,22.78,20.78,0.308,0.4877,73.21,0.0,87.684,6436.77,24.1,0.7,0.28,1.12,0,0,1,0,0,0,0,0
2019-03-15,10.96,16.78,15.53,0.308,0.4877,71.0,0.0,87.58,6666.1,24.55,0.69,0.26,1.17,0,0,0,0,1,0,0,0
2019-03-16,20.95,31.9,26.38,0.308,0.4877,70.67,0.0,87.57600000000001,6281.64,25.12,0.72,0.26,1.28,0,0,0,0,1,0,0,0
2019-03-17,36.17,52.25,40.51,0.308,0.4877,67.04,0.0,87.64299999999999,5438.84,24.98,0.76,0.19,1.48,0,0,1,0,0,0,0,0
2019-03-18,20.47,29.43,25.91,0.308,0.4877,70.96,0.0,87.663,6039.42,24.54,0.63,0.2,1.38,0,0,1,0,0,0,0,0
2019-03-19,24.72,36.66,28.82,0.308,0.4877,71.96,0.02,87.51100000000001,5640.94,25.33,0.6,0.13,1.21,0,0,0,0,1,0,0,0
2019-03-20,21.33,30.63,26.78,0.308,0.4877,69.54,0.06,87.455,6435.22,25.72,0.74,0.17,1.4,0,0,0,0,1,0,0,0
2019-03-21,28.1,41.08,32.64,0.308,0.4877,70.08,0.0,87.535,5094.93,24.99,0.69,0.19,1.3,0,0,0,0,1,0,0,0
2019-03-22,12.39,18.05,16.96,0.308,0.4877,71.46,0.0,87.506,6486.31,25.15,0.69,0.25,1.41,0,0,0,0,1,0,0,0
2019-03-23,25.76,38.6,29.49,0.308,0.4877,69.54,0.0,87.42299999999999,6095.4,25.29,0.62,0.22,1.15,0,0,0,0,1,0,0,0
2019-03-24,24.79,36.03,29.63,0.308,0.4877,75.54,0.08,87.42,5536.74,24.86,0.68,0.24,1.32,0,0,0,0,1,0,0,0
2019-03-25,17.14,25.0,23.03,0.308,0.4877,73.04,0.43,87.56700000000001,4879.42,24.54,0.75,0.28,1.24,1,0,0,0,0,0,0,0
2019-03-26,25.58,37.01,31.47,0.308,0.4877,70.5,0.0,87.77799999999999,4554.91,23.77,0.76,0.22,1.3,1,0,0,0,0,0,0,0
2019-03-27,42.34,61.91,45.27,0.308,0.4877,85.46,11.56,87.90799999999999,2328.19,21.49,0.6,0.19,1.19,0,0,1,0,0,0,0,0
2019-03-28,24.43,35.02,29.19,0.308,0.4877,81.42,0.34,87.932,4773.22,22.14,0.75,0.39,1.48,0,0,1,0,0,0,0,0
2019-03-29,17.49,24.83,22.29,0.308,0.4877,76.5,0.0,87.715,5844.6,24.02,0.6,0.27,1.01,0,0,1,0,0,0,0,0
2019-03-30,15.27,25.94,20.61,0.308,0.4877,78.13,0.0,87.709,4383.03,23.55,0.66,0.2,1.26,0,0,0,0,1,0,0,0
2019-03-31,8.83,12.47,11.68,0.308,0.4877,75.5,0.0,87.62700000000001,4935.39,24.23,0.66,0.24,1.3,0,0,0,0,1,0,0,0
2019-04-01,14.22,20.68,18.74,0.3417,0.5053,74.79,0.0,87.65799999999999,5582.26,24.24,0.78,0.28,1.25,0,0,0,0,1,0,0,0
2019-04-02,10.41,15.2,14.17,0.3417,0.5053,80.54,4.88,87.71,4538.82,22.06,0.71,0.22,1.57,0,1,0,0,0,0,0,0
2019-04-03,16.37,24.1,21.93,0.3417,0.5053,74.54,0.05,87.625,5160.32,24.28,0.59,0.26,1.13,0,0,0,0,1,0,0,0
2019-04-04,15.94,24.94,21.98,0.3417,0.5053,77.92,0.29,87.6,4139.2,24.1,0.61,0.2,1.18,0,0,0,0,1,0,0,0
2019-04-05,10.78,15.51,14.78,0.3417,0.5053,78.21,0.0,87.59100000000001,5766.86,24.72,0.68,0.19,1.37,0,0,0,0,1,0,0,0
2019-04-06,12.25,17.52,16.57,0.3417,0.5053,75.88,0.06,87.55799999999999,6202.4,25.2,0.65,0.2,1.19,0,0,0,0,1,0,0,0
2019-04-07,17.05,24.75,21.52,0.3417,0.5053,72.46,0.0,87.588,4296.95,25.33,0.65,0.23,1.29,0,0,0,0,1,0,0,0
2019-04-08,18.62,26.79,24.35,0.3417,0.5053,74.04,0.0,87.57799999999999,4297.28,24.83,0.64,0.23,1.17,0,0,1,0,0,0,0,0
2019-04-09,16.04,22.05,20.02,0.3417,0.5053,91.33,53.44,87.671,1871.91,20.27,0.71,0.23,1.23,1,0,0,0,0,0,0,0
2019-04-10,27.35,39.08,30.94,0.3417,0.5053,79.88,0.0,87.699,4711.75,22.25,0.62,0.22,1.11,0,0,0,0,0,1,0,0
2019-04-11,15.16,21.89,19.97,0.3417,0.5053,78.33,0.0,87.569,5620.23,23.81,0.62,0.26,1.17,0,0,0,0,1,0,0,0
2019-04-12,9.04,12.54,11.88,0.3417,0.5053,81.67,16.01,87.53399999999999,4696.81,23.26,0.68,0.3,1.14,0,0,1,0,0,0,0,0
2019-04-13,13.35,18.23,16.67,0.3417,0.5053,85.13,8.68,87.63600000000001,4872.37,22.22,0.75,0.38,1.12,0,0,1,0,0,0,0,0
2019-04-14,27.24,38.57,30.31,0.3417,0.5053,79.25,8.61,87.65100000000001,3998.54,23.58,0.55,0.24,1.17,0,0,0,0,1,0,0,0
2019-04-15,16.88,22.97,20.39,0.3417,0.5053,81.71,4.62,87.70299999999999,4482.13,23.23,0.61,0.26,1.14,0,0,0,1,0,0,0,0
