TimeStamp,PM1(Ug/m3),PM10(Ug/m3),PM2.5(Ug/m3),hour,EVI,NDVI,humidity (%),precipitation (mm),pressure (kPa),radiation (W/m2),temperature (oC),windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
2019-01-21 12:00:00,44.43,62.5,45.67,12,0.3699,0.5508,86,0.0,87.95,583.4,24.36,0.81,0,0,0,0,0,0,1,0
2019-01-21 13:00:00,13.12,18.53,16.21,13,0.3699,0.5508,73,0.0,87.88,552.95,26.2,0.78,0,0,0,0,0,0,1,0
2019-01-21 14:00:00,31.89,44.27,37.31,14,0.3699,0.5508,63,0.0,87.82,373.95,27.43,2.45,0,0,0,0,0,1,0,0
2019-01-21 15:00:00,30.06,41.29,35.6,15,0.3699,0.5508,68,0.0,87.72,371.3,26.32,3.51,0,0,0,0,0,1,0,0
2019-01-21 16:00:00,28.39,39.2,34.41,16,0.3699,0.5508,70,0.0,87.65,134.6,25.19,3.18,0,0,0,0,0,1,0,0
2019-01-21 17:00:00,17.5,24.0,23.08,17,0.3699,0.5508,71,0.0,87.63,121.65,24.36,3.12,0,0,0,0,0,1,0,0
2019-01-21 18:00:00,13.28,18.54,17.73,18,0.3699,0.5508,73,0.0,87.68,35.97,23.45,3.01,0,0,0,0,0,1,0,0
2019-01-21 19:00:00,15.49,21.92,21.08,19,0.3699,0.5508,80,0.0,87.7,0.65,21.86,2.47,0,0,0,0,0,1,0,0
2019-01-21 20:00:00,12.78,18.25,17.5,20,0.3699,0.5508,83,0.0,87.71,0.0,21.51,1.85,0,0,0,0,1,0,0,0
2019-01-21 21:00:00,13.15,18.4,17.71,21,0.3699,0.5508,86,0.0,87.77,0.0,20.87,1.01,0,0,0,0,0,1,0,0
2019-01-21 22:00:00,12.73,17.74,17.14,22,0.3699,0.5508,86,0.0,87.8,0.0,21.09,1.2,0,0,0,0,1,0,0,0
2019-01-21 23:00:00,11.51,16.07,15.53,23,0.3699,0.5508,87,0.0,87.77,0.0,21.02,0.88,0,0,0,0,1,0,0,0
2019-01-22 00:00:00,10.97,15.4,14.76,0,0.3699,0.5508,90,0.0,87.77,0.0,20.51,0.57,0,0,0,0,1,0,0,0
2019-01-22 01:00:00,10.3,14.4,13.84,1,0.3699,0.5508,92,0.0,87.75,0.0,20.01,0.6,0,0,0,0,1,0,0,0
2019-01-22 02:00:00,10.54,14.5,14.04,2,0.3699,0.5508,92,0.0,87.73,0.0,20.18,0.84,0,0,0,0,0,1,0,0
2019-01-22 03:00:00,9.78,13.32,12.88,3,0.3699,0.5508,94,0.0,87.71,0.0,19.99,0.61,0,0,0,0,1,0,0,0
2019-01-22 04:00:00,11.49,15.88,15.4,4,0.3699,0.5508,95,0.0,87.74,0.0,19.55,0.65,0,0,0,0,1,0,0,0
2019-01-22 05:00:00,13.19,18.28,17.61,5,0.3699,0.5508,95,0.0,87.75,0.0,19.8,0.7,0,0,0,0,1,0,0,0
2019-01-22 06:00:00,17.0,24.03,23.15,6,0.3699,0.5508,96,0.0,87.78,0.03,19.64,0.75,0,0,0,0,1,0,0,0
2019-01-22 07:00:00,21.47,30.08,28.13,7,0.3699,0.5508,96,0.02,87.77,16.3,19.32,0.6,0,0,0,0,0,0,1,0
2019-01-22 08:00:00,16.8,23.24,22.46,8,0.3699,0.5508,96,0.0,87.81,62.8,20.13,0.47,0,0,0,0,0,0,0,1
2019-01-22 09:00:00,17.61,24.51,23.59,9,0.3699,0.5508,89,0.0,87.81,307.75,23.53,0.8,0,0,0,0,0,0,1,0
2019-01-22 10:00:00,16.66,22.85,21.99,10,0.3699,0.5508,75,0.0,87.81,490.06,26.79,1.06,0,0,0,0,1,0,0,0
2019-01-22 11:00:00,17.81,24.37,23.5,11,0.3699,0.5508,67,0.0,87.77,607.42,28.18,1.63,0,0,0,0,1,0,0,0
2019-01-22 12:00:00,15.01,20.3,19.63,12,0.3699,0.5508,61,0.0,87.72,490.13,28.71,2.76,0,0,0,0,0,1,0,0
2019-01-22 13:00:00,14.26,19.41,18.74,13,0.3699,0.5508,69,0.0,87.64,502.25,27.99,3.46,0,0,0,0,0,1,0,0
2019-01-22 14:00:00,15.87,21.88,21.05,14,0.3699,0.5508,69,0.53,87.56,220.17,27.93,3.08,0,0,0,0,0,1,0,0
2019-01-22 15:00:00,15.79,21.36,20.76,15,0.3699,0.5508,72,0.0,87.48,425.18,27.56,3.02,0,0,0,0,0,1,0,0
