TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3)
2017-09-30,5.572204962729359e+17,52.22,1511213140369.45
2017-10-31,1.846677357760772e+19,31.22,167740.05
2017-11-30,-7.479324901663205e+17,32.29,26.67
2017-12-31,96.04,121.44,163.93
2018-01-31,-3.350621543453163e+17,104.32,49.99
2018-02-28,4.977970882004401e+19,15.55,38.84
2018-03-31,2.4434889100314358e+19,21.27,196080113560.32
2018-04-30,1453124280614929.5,14.52,81251117.08
2018-05-31,726562140307468.5,12.059999999999999,40625566.755
2018-06-30,7.54,9.6,16.43
2018-07-31,3.23,4.63,11.25
2018-08-31,5.76,7.89,14.5
2018-09-30,30.38,45.64,52.61
2018-10-31,1.9,2.83,3.97
2018-11-30,1.67,2.51,3.3
2018-12-31,1.37,2.01,2.4
2019-01-31,1.6,2.37,3.03
2019-02-28,7.9,10.12,20.39
