,PM1(Ug/m3),PM10(Ug/m3),PM2.5(Ug/m3),hour,EVI,NDVI,humidity (%),precipitation (mm),pressure (kPa),radiation (W/m2),temperature (oC),windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
PM1(Ug/m3),1.0,0.9958139636586094,0.9843068039941499,-0.1214899653238057,-0.1413275717590106,-0.016943526511019963,0.17070327119782916,-0.0231577965646637,0.16417064735064044,-0.23894784479728376,-0.2545485339116702,-0.0812826265639684,0.15421467998340255,0.018126961731496218,0.11186177533352064,-0.018574305744489764,-0.20646271313935305,0.05565422756481339,-0.07326236619495335,-0.0038993709764861815
PM10(Ug/m3),0.9958139636586094,1.0,0.9849251580313666,-0.1101093887648453,-0.14489677797077433,-0.01800663183048684,0.16955000520000518,-0.023816527311480647,0.15241866202158297,-0.25061600291258035,-0.2564154929793564,-0.08237010371396015,0.14705455299897693,0.014918583316973003,0.10206330642872687,-0.013906626641357077,-0.20507477197216015,0.05869305551583966,-0.06309351347586292,-0.0012671281805854675
PM2.5(Ug/m3),0.9843068039941499,0.9849251580313666,1.0,-0.09725310817306908,-0.13777569100492362,0.000445521726118647,0.19624319856364855,-0.031244077031407195,0.1332039420983083,-0.28875475052649485,-0.27415794365410723,-0.0801098853519026,0.14996229288007215,0.013764623856489895,0.11183544779316412,-0.0225056654821659,-0.22438356064746567,0.0703376431297805,-0.06383023167618242,0.006924832083605562
hour,-0.1214899653238057,-0.1101093887648453,-0.09725310817306908,1.0,0.009065286132995613,0.011498143429267594,-0.4276575497417256,-0.09502576777549612,-0.23884160009704125,0.11243436899382675,0.40340180664028497,0.20727383867708013,-0.1212463059655233,-0.10919203962645088,-0.16381043315322394,-0.006792207322178768,0.07245426628740491,0.11053986373795863,0.09814740307948348,0.08480649756591951
EVI,-0.1413275717590106,-0.14489677797077433,-0.13777569100492362,0.009065286132995613,1.0,0.8244819186445155,0.1812522015718575,0.021980771964871106,0.03986516520557326,-0.05379673912382203,-0.06647872409499381,0.03920841333266828,-0.06782013187599364,-0.020774410850628124,-0.02713820277779156,-0.03743342623279626,0.05401640503645895,0.048931501805788265,0.026867722903406346,-0.025492797779947812
NDVI,-0.016943526511019963,-0.01800663183048684,0.000445521726118647,0.011498143429267594,0.8244819186445155,1.0,0.10565804775138761,-0.001983593536326031,-0.03948163244279006,-0.060588511790573854,-0.009440793393576426,0.2955633895789543,-0.10479927852766771,-0.09221295714212002,-0.09376130110880174,-0.09103743885484586,0.01826776808480163,0.2866243516104377,-0.017384298504604885,-0.05430972780909793
humidity (%),0.17070327119782916,0.16955000520000518,0.19624319856364855,-0.4276575497417256,0.1812522015718575,0.10565804775138761,1.0,0.13273374669790008,0.2549146665222569,-0.6591700079991903,-0.915104380016399,-0.5135369855340938,0.05833268970143828,0.13791017714728374,0.1342388280679631,0.12328549812649883,-0.1362424805722162,-0.17874885244304858,-0.002737921909954191,0.017092303547413316
precipitation (mm),-0.0231577965646637,-0.023816527311480647,-0.031244077031407195,-0.09502576777549612,0.021980771964871106,-0.001983593536326031,0.13273374669790008,1.0,0.04679742872632027,-0.06557917577977829,-0.13969813361738262,-0.003296959956931192,0.015050329474212757,0.027139838960264867,0.03934027745457667,0.0125113785895759,-0.024477244985654054,-0.021209936898409183,-0.012605128257071314,-0.023593284401661044
pressure (kPa),0.16417064735064044,0.15241866202158297,0.1332039420983083,-0.23884160009704125,0.03986516520557326,-0.03948163244279006,0.2549146665222569,0.04679742872632027,1.0,0.17289618660613357,-0.29439211035335494,-0.1878730556682775,0.1439047746912347,0.04855867933098908,0.13975328944218635,-0.010431760057719125,-0.06614296167243278,-0.12813285145767359,-0.07026897239065891,-0.004022397917850702
radiation (W/m2),-0.23894784479728376,-0.25061600291258035,-0.28875475052649485,0.11243436899382675,-0.05379673912382203,-0.060588511790573854,-0.6591700079991903,-0.06557917577977829,0.17289618660613357,1.0,0.7218347773212797,0.33727575128164394,-0.03485240314323289,-0.0892912193987874,-0.05834354933122487,-0.1290615822329522,0.23229853042567553,0.03156195346580161,-0.05262865720405103,-0.055351285992393376
temperature (oC),-0.2545485339116702,-0.2564154929793564,-0.27415794365410723,0.40340180664028497,-0.06647872409499381,-0.009440793393576426,-0.915104380016399,-0.13969813361738262,-0.29439211035335494,0.7218347773212797,1.0,0.5838740639996385,-0.1168417787081257,-0.15442385657719063,-0.17758202949948196,-0.14064440179336973,0.1908029373292325,0.22074736791107302,0.012154010601502825,-0.026230693680133064
windspeed (m/s),-0.0812826265639684,-0.08237010371396015,-0.0801098853519026,0.20727383867708013,0.03920841333266828,0.2955633895789543,-0.5135369855340938,-0.003296959956931192,-0.1878730556682775,0.33727575128164394,0.5838740639996385,1.0,-0.09754532340689896,-0.1567037230366473,-0.13283195784722265,-0.17026706560333818,-0.09133763740567989,0.6193338621141494,-0.12150326429071716,-0.12961829702084132
winddirection_E,0.15421467998340255,0.14705455299897693,0.14996229288007215,-0.1212463059655233,-0.06782013187599364,-0.10479927852766771,0.05833268970143828,0.015050329474212757,0.1439047746912347,-0.03485240314323289,-0.1168417787081257,-0.09754532340689896,1.0,-0.09953840307462686,-0.1373874531646757,-0.0958452617597413,-0.20197894259792673,-0.19358141771235787,-0.10254374849001639,-0.08543797657598173
winddirection_N,0.018126961731496218,0.014918583316973003,0.013764623856489895,-0.10919203962645088,-0.020774410850628124,-0.09221295714212002,0.13791017714728374,0.027139838960264867,0.04855867933098908,-0.0892912193987874,-0.15442385657719063,-0.1567037230366473,-0.09953840307462686,1.0,-0.11049456784151654,-0.07708404613269655,-0.16244260637609934,-0.15568885367309176,-0.08247133863579285,-0.06871393334368855
winddirection_NE,0.11186177533352064,0.10206330642872687,0.11183544779316412,-0.16381043315322394,-0.02713820277779156,-0.09376130110880174,0.1342388280679631,0.03934027745457667,0.13975328944218635,-0.05834354933122487,-0.17758202949948196,-0.13283195784722265,-0.1373874531646757,-0.11049456784151654,1.0,-0.10639492347350095,-0.22421070949583682,-0.2148888713458489,-0.11383071080373411,-0.09484211125969921
winddirection_NW,-0.018574305744489764,-0.013906626641357077,-0.0225056654821659,-0.006792207322178768,-0.03743342623279626,-0.09103743885484586,0.12328549812649883,0.0125113785895759,-0.010431760057719125,-0.1290615822329522,-0.14064440179336973,-0.17026706560333818,-0.0958452617597413,-0.07708404613269655,-0.10639492347350095,1.0,-0.15641555066318635,-0.14991238027181183,-0.07941143111667158,-0.0661644624028121
