Hour,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),hour,Date,Time(hrs),TimeStamp
00:00:00,9.37,11.92,16.35,0,2019-07-24,0 days 00:00:00.000000000,2019-07-24 00:00:00
01:00:00,9.29,11.66,15.12,1,2019-07-24,0 days 01:00:00.000000000,2019-07-24 01:00:00
02:00:00,9.91,12.43,15.28,2,2019-07-24,0 days 02:00:00.000000000,2019-07-24 02:00:00
03:00:00,8.61,10.61,12.72,3,2019-07-24,0 days 03:00:00.000000000,2019-07-24 03:00:00
04:00:00,8.8,10.82,12.89,4,2019-07-24,0 days 04:00:00.000000000,2019-07-24 04:00:00
05:00:00,8.83,10.86,12.86,5,2019-07-24,0 days 05:00:00.000000000,2019-07-24 05:00:00
06:00:00,8.96,11.12,13.85,6,2019-07-24,0 days 06:00:00.000000000,2019-07-24 06:00:00
07:00:00,9.67,12.11,16.04,7,2019-07-24,0 days 07:00:00.000000000,2019-07-24 07:00:00
08:00:00,11.35,14.42,21.63,8,2019-07-24,0 days 08:00:00.000000000,2019-07-24 08:00:00
09:00:00,11.16,14.26,23.85,9,2019-07-24,0 days 09:00:00.000000000,2019-07-24 09:00:00
10:00:00,9.34,11.75,19.83,10,2019-07-24,0 days 10:00:00.000000000,2019-07-24 10:00:00
11:00:00,7.96,10.15,16.79,11,2019-07-24,0 days 11:00:00.000000000,2019-07-24 11:00:00
12:00:00,7.38,9.48,16.24,12,2019-07-24,0 days 12:00:00.000000000,2019-07-24 12:00:00
13:00:00,6.73,8.5,13.77,13,2019-07-24,0 days 13:00:00.000000000,2019-07-24 13:00:00
14:00:00,6.07,7.57,11.0,14,2019-07-24,0 days 14:00:00.000000000,2019-07-24 14:00:00
15:00:00,5.19,6.4,9.1,15,2019-07-24,0 days 15:00:00.000000000,2019-07-24 15:00:00
16:00:00,1.313055680287382e+16,6.44,9.51,16,2019-07-24,0 days 16:00:00.000000000,2019-07-24 16:00:00
17:00:00,5.05,6.33,8.51,17,2019-07-24,0 days 17:00:00.000000000,2019-07-24 17:00:00
18:00:00,5.52,6.93,9.73,18,2019-07-24,0 days 18:00:00.000000000,2019-07-24 18:00:00
19:00:00,7.89,9.97,14.24,19,2019-07-24,0 days 19:00:00.000000000,2019-07-24 19:00:00
20:00:00,9.55,12.09,16.99,20,2019-07-24,0 days 20:00:00.000000000,2019-07-24 20:00:00
21:00:00,10.09,12.97,18.97,21,2019-07-24,0 days 21:00:00.000000000,2019-07-24 21:00:00
22:00:00,9.66,12.53,18.17,22,2019-07-24,0 days 22:00:00.000000000,2019-07-24 22:00:00
23:00:00,10.01,12.87,18.33,23,2019-07-24,0 days 23:00:00.000000000,2019-07-24 23:00:00
