TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3)
2017-09-04,6.79,8.08,11.25
2017-09-29,10.34,13.15,23.02
2017-10-01,74.46,95.26,146.27
2017-10-02,76.1,100.95,130.07
2017-10-03,16.93,21.89,59.74
2017-10-10,2.0,8.09,15.25
2017-10-12,1.8865645161290322e+18,8.59,53.67
2017-12-01,39.37,49.41,95.85
2017-12-02,13.59,18.0,51.04
2017-12-03,12.15,15.62,29.72
2017-12-04,11.38,14.74,34.02
2017-12-05,9.25,12.11,29.33
2017-12-06,12.04,14.85,24.74
2017-12-07,9.02,11.39,23.27
2017-12-08,18.51,23.42,52.19
2017-12-09,9.15,11.85,22.74
2017-12-10,17.18,22.55,50.24
2017-12-11,14.83,19.89,56.88
2017-12-12,11.2,14.83,36.15
2017-12-13,14.44,19.34,48.6
2017-12-14,24.52,31.55,75.98
2017-12-15,16.83,22.47,66.56
2017-12-16,18.69,25.88,58.57
2017-12-17,10.75,14.09,30.23
2017-12-18,20.75,26.65,62.44
2017-12-19,8.6,11.59,28.05
2017-12-20,5.2,7.59,24.75
2017-12-21,8.89,12.47,39.21
2017-12-22,10.05,13.87,32.79
2017-12-23,11.12,16.0,52.9
2017-12-24,9.66,13.99,44.14
2017-12-25,12.97,17.26,53.21
2017-12-26,6.88,9.44,26.47
2017-12-27,8.98,12.47,41.68
2017-12-28,9.49,12.9,40.42
2017-12-29,16.35,21.93,56.1
2017-12-30,20.53,26.97,68.5
2017-12-31,18.94,24.09,50.63
2018-01-03,45.0,77.79,165.73
2018-01-04,44.65,81.13,160.52
2018-01-05,58.15,81.31,119.34
2018-01-06,18.43,25.43,55.26
2018-01-07,19.17,26.61,61.17
2018-01-08,20.36,28.7,63.24
2018-01-09,17.48,22.96,51.25
2018-01-10,14.69,20.53,52.91
2018-01-11,17.99,24.73,58.19
2018-01-12,12.82,17.11,39.3
2018-01-13,12.23,15.67,28.44
2018-01-14,9.55,12.58,22.64
2018-01-15,10.97,15.05,32.78
2018-01-16,10.93,15.38,38.46
2018-01-17,13.0,19.74,62.22
2018-01-18,18.34,25.67,68.63
2018-01-19,12.06,17.76,55.08
2018-01-20,22.06,29.71,64.19
2018-01-21,8.09,10.54,26.38
2018-01-22,10.45,13.66,38.58
2018-01-23,15.41,19.15,39.95
2018-01-24,11.24,13.95,32.17
2018-01-26,17.3,20.95,28.87
2018-01-27,21.7,27.53,47.75
2018-01-28,15.7,20.9,44.45
2018-01-29,15.87,20.98,54.05
2018-01-30,16.09,22.57,58.33
2018-01-31,13.33,18.78,50.2
2018-02-01,15.29,20.36,54.06
2018-02-02,18.43,24.8,64.76
2018-02-03,8.07,11.32,29.68
2018-02-04,13.75,18.09,46.15
2018-02-05,9.42,12.8,35.68
2018-02-06,10.59,14.43,36.98
2018-02-07,9.76,13.54,35.42
2018-02-08,9.08,13.44,33.88
2018-02-09,16.36,21.91,58.53
2018-02-10,5.73,7.56,16.24
2018-02-11,2.56,2.65,2.65
2018-02-12,2.79,2.88,2.88
2018-02-13,1.3,1.36,1.47
2018-02-15,3.0,3.69,6.81
2018-02-16,3.52,4.39,7.17
2018-02-17,3.67,4.56,7.59
2018-02-18,5.64,7.08,13.46
2018-02-19,4.84,5.64,6.48
2018-02-20,2.75,3.32,5.28
2018-02-21,3.15,3.71,5.86
2018-02-22,8.21,9.52,11.38
2018-02-23,4.49,5.31,6.98
2018-02-24,5.14,6.01,8.43
2018-02-25,6.31,7.34,9.47
2018-02-26,3.44,3.99,4.89
2018-02-27,1.59,1.96,3.57
2018-02-28,5.84,6.67,9.48
2018-03-01,5.4,6.35,8.04
2018-03-02,2.49,3.15,4.33
2018-03-03,7.04,8.69,9.97
2018-03-05,5.79,8.68,11.28
2018-03-06,4.18,5.88,8.31
2018-03-07,3.04,4.01,5.1
2018-03-08,2.64,3.29,3.89
2018-03-09,4.19,5.11,6.21
2018-03-10,4.6,5.57,6.41
2018-03-11,4.03,4.86,6.57
2018-03-12,6.57,7.92,8.72
2018-03-13,9.15,10.54,11.34
2018-03-14,3.85,4.77,5.44
2018-03-16,2.93,4.12,5.18
2018-03-17,3.17,4.02,5.31
2018-03-18,8.61,10.28,13.13
2018-03-19,2.23,2.7,3.87
2018-03-20,4.76,5.57,6.38
2018-03-21,4.36,5.19,6.23
2018-03-22,3.08,3.72,5.04
2018-03-23,3.1,3.69,5.14
2018-03-24,3.75,4.45,6.07
2018-03-25,3.44,4.14,6.93
2018-03-26,2.42,2.93,4.21
2018-03-27,3.66,4.62,6.49
2018-03-28,3.39,4.28,6.16
2018-03-29,3.36,4.3,7.38
2018-03-30,4.95,5.87,7.39
2018-03-31,5.52,6.29,7.39
2018-04-01,9.49,10.62,12.61
2018-04-02,4.71,5.36,6.05
2018-04-03,3.76,4.28,4.89
2018-04-04,1.48,1.73,2.41
2018-04-05,2.38,2.82,4.26
2018-04-06,5.36,6.43,10.08
2018-04-07,1.67,2.01,2.48
2018-04-08,1.77,2.05,2.69
2018-04-09,1.87,2.22,3.74
2018-04-10,2.0,2.49,4.88
2018-04-11,16.69,20.05,29.5
2018-04-12,0.93,1.24,2.99
2018-04-13,1.44,1.83,3.51
2018-04-15,1.4,1.7,2.63
2018-04-17,1.83,2.4,4.08
2018-04-18,2.45,3.26,6.89
2018-04-19,2.75,3.69,7.94
2018-04-20,2.51,3.4,5.66
2018-04-21,1.3,1.5,1.71
2018-04-22,2.77,3.16,3.69
2018-04-23,3.44,3.87,4.16
2018-04-24,0.59,0.65,0.68
2018-04-25,0.75,0.86,0.92
2018-04-26,1.91,2.12,2.18
2018-04-27,1.12,1.25,1.3
2018-04-28,1.37,1.55,1.74
2018-04-29,0.96,1.07,1.66
2018-04-30,0.75,0.85,0.92
2018-05-01,0.74,0.85,1.02
2018-05-02,1.41,1.57,1.7
2018-05-03,1.01,1.16,1.31
2018-05-04,1.31,1.49,1.56
2018-05-05,3.01,3.49,3.55
2018-05-06,0.6,0.73,0.99
2018-05-07,0.94,1.08,1.26
2018-05-08,1.32,1.51,1.61
2018-05-09,0.68,0.75,0.77
2018-05-10,0.96,1.07,1.07
2018-05-12,0.7,0.78,0.84
2018-05-13,0.74,0.83,0.91
2018-05-14,0.83,0.89,0.91
2018-05-15,0.85,0.93,0.94
2018-05-16,0.95,1.04,1.05
2018-05-17,0.81,0.91,0.92
2018-05-23,30.98,35.41,57.27
2018-05-24,9.52,10.77,16.75
2018-05-26,37.49,41.02,50.0
2018-05-27,16.25,18.01,23.37
2018-05-28,8.96,10.38,15.34
2018-05-29,6.68,8.21,16.6
2018-05-30,11.77,13.41,21.16
2018-05-31,20.71,23.32,32.68
2018-06-01,11.82,13.36,19.19
2018-06-02,29.2,32.25,40.11
2018-06-03,31.27,33.6,39.96
2018-06-06,24.32,26.1,32.18
2018-06-07,37.2,39.63,44.8
2018-06-08,17.33,18.85,23.12
2018-06-09,13.47,14.85,20.48
2018-06-10,22.15,24.11,30.14
2018-06-11,14.23,16.12,23.58
2018-06-12,9.0,10.81,19.64
2018-06-13,10.75,12.17,18.81
2018-06-14,8.86,9.96,13.83
2018-06-15,21.38,23.04,27.83
2018-06-16,16.58,18.2,24.93
2018-06-17,14.07,15.59,21.43
2018-06-18,9.32,10.91,15.65
2018-06-19,6.62,7.59,10.98
2018-06-20,5.13,5.79,7.94
2018-06-21,13.84,16.8,23.67
2018-07-02,18.63,20.54,25.34
2018-08-12,12.98,16.24,37.02
2018-08-13,5.75,8.51,21.17
2018-08-14,11.18,15.93,34.2
2018-08-15,8.64,12.39,29.57
2018-08-16,7.41,10.8,28.13
2018-08-17,7.41,10.59,27.33
2018-08-18,11.48,16.1,38.33
2018-08-19,6.34,8.68,21.61
2018-08-20,7.74,10.64,24.37
2018-08-21,7.97,10.41,19.59
2018-08-22,5.06,6.84,14.61
2018-08-23,7.82,10.29,18.46
2018-08-24,6.56,8.51,16.58
2018-08-25,8.35,10.8,17.83
2018-08-30,3.13,4.07,5.63
2018-08-31,7.31,9.54,12.4
2018-09-01,8.06,10.26,12.32
2018-09-02,5.01,6.39,7.71
2018-09-03,9.33,11.81,14.14
2018-09-04,5.93,7.65,9.52
2018-09-05,5.43,7.03,8.69
2018-09-06,5.68,7.39,9.08
2018-09-07,6.55,8.7,11.5
2018-09-08,7.73,10.16,13.01
2018-09-09,5.5,7.07,8.64
2018-09-10,6.44,8.39,10.76
2018-09-11,8.18,10.76,14.58
2018-09-17,1.66,2.06,2.11
2018-09-18,1.41,1.45,1.45
2018-09-19,1.62,1.66,1.66
2018-09-20,1.01,1.05,1.05
2018-09-21,0.75,0.78,0.78
2018-09-22,0.68,0.71,0.71
2018-09-23,4.02,5.3,7.23
2018-09-24,4.91,6.48,8.49
2018-09-25,1.26,1.37,1.38
2018-09-26,1.4,1.44,1.44
2018-09-27,1.15,1.18,1.18
2018-09-29,2.15,2.89,6.02
2018-09-30,8.64,10.74,16.73
2018-10-01,6.58,8.81,15.18
2018-10-02,6.67,9.74,20.7
2018-10-03,5.41,7.49,12.2
2018-10-04,14.3,15.8,16.34
2018-10-19,11.37,12.81,17.21
2018-10-20,5.16,5.63,7.06
2018-10-21,13.49,16.25,23.53
2018-10-22,11.96,16.47,21.22
2018-10-23,10.53,13.65,23.14
2018-10-24,8.5,10.55,15.84
2018-10-25,11.26,13.47,18.1
2018-10-28,5.05,6.46,12.06
2018-10-29,13.71,17.56,26.09
2018-10-30,9.01,11.97,17.02
2018-10-31,7.27,9.68,14.15
2018-11-01,8.28,11.3,17.02
2018-11-02,7.26,9.73,14.25
2018-11-03,10.62,14.01,20.24
2018-11-04,14.0,18.01,23.41
2018-11-05,11.75,15.4,21.81
2018-11-06,18.08,23.93,32.69
2018-11-07,14.28,18.93,25.72
2018-11-08,8.58,11.4,17.19
2018-11-09,5.89,7.57,10.2
2018-11-10,4.32,4.77,4.79
2018-11-11,4.9,5.4,5.42
2018-12-01,1.7,1.8,1.8
2018-12-02,2.63,2.76,2.76
2018-12-03,4.5,4.68,4.68
2018-12-04,4.05,4.2,4.2
2018-12-05,4.41,4.6,4.6
2018-12-06,3.72,3.87,3.87
2018-12-07,3.27,3.39,3.39
2018-12-08,3.14,3.23,3.23
2018-12-09,4.92,5.06,5.06
2018-12-10,4.87,5.03,5.03
2018-12-11,6.57,6.8,6.8
2018-12-12,4.92,5.15,5.15
2018-12-13,4.6,4.78,4.78
2018-12-14,4.0,4.17,4.17
2018-12-15,3.83,4.01,4.01
2018-12-16,4.61,4.94,4.94
2018-12-17,4.18,4.48,4.49
2018-12-18,4.56,5.06,5.08
2018-12-19,4.38,4.76,4.77
2018-12-20,4.49,4.69,4.69
2018-12-21,4.27,4.44,4.45
2018-12-22,3.65,3.82,3.82
2018-12-23,4.36,4.56,4.56
2018-12-24,3.73,3.91,3.91
2018-12-25,3.57,3.75,3.75
2018-12-26,3.29,3.46,3.46
2018-12-27,3.06,3.21,3.21
2018-12-28,4.7,4.9,4.9
2018-12-31,18.37,23.25,30.96
2019-01-01,11.72,14.16,18.43
2019-01-02,11.82,16.23,21.08
2019-01-03,10.02,13.55,18.72
2019-01-04,9.19,12.37,16.8
2019-01-05,9.2,12.45,17.83
2019-01-06,18.93,25.18,31.32
2019-01-07,11.67,15.86,23.56
2019-01-08,15.47,20.41,27.89
