TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),hour,Hour
2017-09-04 09:00:00,8.17,9.56,11.56,9,0 days 09:00:00.000000000
2017-09-04 10:00:00,7.09,8.34,11.65,10,0 days 10:00:00.000000000
2017-09-04 11:00:00,5.24,6.48,10.54,11,0 days 11:00:00.000000000
2017-09-29 13:00:00,10.57,13.42,22.7,13,0 days 13:00:00.000000000
2017-09-29 14:00:00,9.18,11.84,24.63,14,0 days 14:00:00.000000000
2017-10-01 19:00:00,75.54,96.62,146.74,19,0 days 19:00:00.000000000
2017-10-01 20:00:00,72.02,92.21,145.22,20,0 days 20:00:00.000000000
2017-10-02 23:00:00,76.1,100.95,130.07,23,0 days 23:00:00.000000000
2017-10-03 09:00:00,17.46,22.66,60.48,9,0 days 09:00:00.000000000
2017-10-03 10:00:00,16.74,21.62,59.48,10,0 days 10:00:00.000000000
2017-10-10 12:00:00,1.19,4.46,13.35,12,0 days 12:00:00.000000000
2017-10-10 13:00:00,1.26,5.69,9.48,13,0 days 13:00:00.000000000
2017-10-10 14:00:00,2.9,16.2,27.23,14,0 days 14:00:00.000000000
2017-10-10 15:00:00,1.95,8.24,12.77,15,0 days 15:00:00.000000000
2017-10-10 16:00:00,1.28,4.97,8.03,16,0 days 16:00:00.000000000
2017-10-10 17:00:00,3.63,6.38,20.7,17,0 days 17:00:00.000000000
2017-10-12 14:00:00,1.99,3.98,42.86,14,0 days 14:00:00.000000000
2017-10-12 15:00:00,2.05,4.05,28.28,15,0 days 15:00:00.000000000
2017-10-12 16:00:00,3.440205882352941e+18,12.33,73.71,16,0 days 16:00:00.000000000
2017-12-01 21:00:00,72.8,89.55,137.64,21,0 days 21:00:00.000000000
2017-12-01 22:00:00,21.5,27.27,63.0,22,0 days 22:00:00.000000000
2017-12-01 23:00:00,24.03,31.65,86.64,23,0 days 23:00:00.000000000
2017-12-02 00:00:00,15.05,19.85,56.13,0,0 days 00:00:00.000000000
2017-12-02 01:00:00,14.14,18.72,55.76,1,0 days 01:00:00.000000000
2017-12-02 13:00:00,6.29,8.68,22.2,13,0 days 13:00:00.000000000
2017-12-03 08:00:00,23.77,29.85,52.98,8,0 days 08:00:00.000000000
2017-12-03 09:00:00,10.49,13.42,27.65,9,0 days 09:00:00.000000000
2017-12-03 14:00:00,12.87,16.7,27.55,14,0 days 14:00:00.000000000
2017-12-03 15:00:00,8.61,11.46,23.09,15,0 days 15:00:00.000000000
2017-12-04 10:00:00,20.43,26.34,73.72,10,0 days 10:00:00.000000000
2017-12-04 13:00:00,13.53,17.37,28.65,13,0 days 13:00:00.000000000
2017-12-04 14:00:00,8.99,11.65,26.5,14,0 days 14:00:00.000000000
2017-12-04 15:00:00,7.37,9.87,25.93,15,0 days 15:00:00.000000000
2017-12-05 08:00:00,10.77,14.25,34.89,8,0 days 08:00:00.000000000
2017-12-05 09:00:00,8.29,10.76,25.81,9,0 days 09:00:00.000000000
2017-12-06 12:00:00,12.04,14.85,24.74,12,0 days 12:00:00.000000000
2017-12-07 09:00:00,10.85,13.72,28.28,9,0 days 09:00:00.000000000
2017-12-07 10:00:00,8.8,11.1,22.43,10,0 days 10:00:00.000000000
2017-12-07 11:00:00,4.48,5.73,13.88,11,0 days 11:00:00.000000000
2017-12-07 12:00:00,4.24,5.97,18.04,12,0 days 12:00:00.000000000
2017-12-08 11:00:00,17.6,22.6,52.36,11,0 days 11:00:00.000000000
2017-12-08 12:00:00,19.48,24.29,52.0,12,0 days 12:00:00.000000000
2017-12-09 11:00:00,8.81,11.47,22.29,11,0 days 11:00:00.000000000
2017-12-09 12:00:00,8.6,11.33,20.91,12,0 days 12:00:00.000000000
2017-12-09 13:00:00,10.64,13.32,26.67,13,0 days 13:00:00.000000000
2017-12-09 14:00:00,12.34,15.6,25.23,14,0 days 14:00:00.000000000
2017-12-10 08:00:00,20.86,25.39,40.72,8,0 days 08:00:00.000000000
2017-12-10 10:00:00,14.96,20.26,47.11,10,0 days 10:00:00.000000000
2017-12-10 11:00:00,18.21,23.84,54.22,11,0 days 11:00:00.000000000
2017-12-10 12:00:00,16.68,21.72,45.93,12,0 days 12:00:00.000000000
2017-12-10 13:00:00,13.9,18.87,46.26,13,0 days 13:00:00.000000000
2017-12-10 14:00:00,11.98,16.3,37.72,14,0 days 14:00:00.000000000
2017-12-11 08:00:00,25.39,32.25,62.37,8,0 days 08:00:00.000000000
2017-12-11 09:00:00,15.24,20.7,62.89,9,0 days 09:00:00.000000000
2017-12-11 10:00:00,15.92,21.23,62.02,10,0 days 10:00:00.000000000
2017-12-11 11:00:00,14.26,19.1,52.76,11,0 days 11:00:00.000000000
2017-12-11 12:00:00,13.25,18.19,54.86,12,0 days 12:00:00.000000000
2017-12-12 09:00:00,29.49,37.24,74.45,9,0 days 09:00:00.000000000
2017-12-12 10:00:00,15.77,20.21,44.62,10,0 days 10:00:00.000000000
2017-12-12 11:00:00,8.2,11.25,30.78,11,0 days 11:00:00.000000000
2017-12-12 12:00:00,6.89,9.64,26.95,12,0 days 12:00:00.000000000
2017-12-12 13:00:00,6.1,8.71,26.35,13,0 days 13:00:00.000000000
2017-12-13 08:00:00,33.31,43.14,125.13,8,0 days 08:00:00.000000000
2017-12-13 09:00:00,26.15,35.21,81.01,9,0 days 09:00:00.000000000
2017-12-13 10:00:00,17.25,22.42,59.53,10,0 days 10:00:00.000000000
2017-12-13 11:00:00,9.52,12.99,35.19,11,0 days 11:00:00.000000000
2017-12-13 12:00:00,10.26,13.85,33.97,12,0 days 12:00:00.000000000
2017-12-13 13:00:00,7.67,10.84,28.86,13,0 days 13:00:00.000000000
2017-12-14 08:00:00,75.6,98.24,212.36,8,0 days 08:00:00.000000000
2017-12-14 09:00:00,27.58,35.79,83.54,9,0 days 09:00:00.000000000
2017-12-14 10:00:00,24.62,31.31,77.4,10,0 days 10:00:00.000000000
2017-12-14 11:00:00,21.69,28.1,67.23,11,0 days 11:00:00.000000000
2017-12-14 12:00:00,14.25,18.87,49.61,12,0 days 12:00:00.000000000
2017-12-15 09:00:00,23.96,31.23,91.29,9,0 days 09:00:00.000000000
2017-12-15 10:00:00,17.17,22.51,64.6,10,0 days 10:00:00.000000000
2017-12-15 11:00:00,13.47,18.54,56.24,11,0 days 11:00:00.000000000
2017-12-15 12:00:00,11.91,16.93,56.12,12,0 days 12:00:00.000000000
2017-12-16 10:00:00,21.22,29.16,65.5,10,0 days 10:00:00.000000000
2017-12-16 11:00:00,18.21,25.49,56.44,11,0 days 11:00:00.000000000
2017-12-16 12:00:00,17.41,23.88,56.19,12,0 days 12:00:00.000000000
2017-12-17 09:00:00,15.68,20.28,34.17,9,0 days 09:00:00.000000000
2017-12-17 10:00:00,9.47,12.53,25.98,10,0 days 10:00:00.000000000
2017-12-17 11:00:00,9.36,12.29,31.43,11,0 days 11:00:00.000000000
2017-12-18 10:00:00,21.13,27.12,58.19,10,0 days 10:00:00.000000000
2017-12-18 11:00:00,19.62,25.46,63.65,11,0 days 11:00:00.000000000
2017-12-18 12:00:00,26.03,32.45,63.25,12,0 days 12:00:00.000000000
2017-12-18 16:00:00,8.53,12.02,32.4,16,0 days 16:00:00.000000000
2017-12-19 10:00:00,10.93,14.65,40.95,10,0 days 10:00:00.000000000
2017-12-19 11:00:00,8.73,11.76,27.53,11,0 days 11:00:00.000000000
2017-12-19 12:00:00,7.49,10.11,22.71,12,0 days 12:00:00.000000000
2017-12-19 13:00:00,5.62,7.79,18.36,13,0 days 13:00:00.000000000
2017-12-20 09:00:00,15.83,20.8,62.53,9,0 days 09:00:00.000000000
2017-12-20 10:00:00,6.42,9.12,29.28,10,0 days 10:00:00.000000000
2017-12-20 11:00:00,4.9,7.16,23.17,11,0 days 11:00:00.000000000
2017-12-20 12:00:00,4.45,6.73,22.49,12,0 days 12:00:00.000000000
2017-12-20 13:00:00,4.66,6.86,23.48,13,0 days 13:00:00.000000000
2017-12-21 09:00:00,13.82,19.07,56.41,9,0 days 09:00:00.000000000
2017-12-21 10:00:00,10.41,13.97,50.65,10,0 days 10:00:00.000000000
2017-12-21 11:00:00,4.96,7.19,29.58,11,0 days 11:00:00.000000000
2017-12-21 12:00:00,5.54,8.07,26.54,12,0 days 12:00:00.000000000
2017-12-22 09:00:00,13.62,18.38,47.31,9,0 days 09:00:00.000000000
