TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3)
2017-09-30,7.44,9.01,13.39
2017-10-31,3.1527493261455526e+17,13.98,31.67
2017-12-31,13.82,18.37,46.48
2018-01-31,17.34,24.71,56.06
2018-02-28,6.82,8.88,20.08
2018-03-31,3.55,4.38,5.75
2018-04-30,1.9,2.23,3.04
2018-05-31,6.83,7.82,12.13
2018-06-30,14.4,16.04,21.77
2018-07-31,18.63,20.54,25.34
2018-08-31,7.76,10.64,23.0
2018-09-30,4.42,5.61,7.05
2018-10-31,9.12,11.77,18.15
2018-11-30,9.8,12.76,17.52
2018-12-31,4.18,4.4,4.45
2019-01-31,11.6,15.53,21.32
2019-02-28,12.09,15.79,20.41
2019-03-31,6.36,7.29,7.46
2019-04-30,6.05,6.88,6.94
