TimeStamp,average humidity (%),total rainfall (mm),average pressure (kPa),total radiation (W/m2),average temperature (oC),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3)
2017-09-09,86.22,0,87.666,0,20.92,0,0,0,0,0,1,0,0,8.565,10.615,17.135
2017-09-10,78.17,0,87.715,3575.39,21.91,0,0,1,0,0,0,0,0,8.565,10.615,17.135
2017-09-11,75.27,1.77,87.657,4600.25,23.05,0,0,1,0,0,0,0,0,8.565,10.615,17.135
2017-09-13,90,0,87.73,0,20.46,1,0,0,0,0,0,0,0,8.565,10.615,17.135
2017-09-24,78.17,0,87.78,4839.53,22.02,0,0,0,0,0,1,0,0,8.565,10.615,17.135
2017-09-25,80.21,7.88,87.627,4820.36,21.65,1,0,0,0,0,0,0,0,8.565,10.615,17.135
2017-09-26,90.25,0,87.645,0,19.6,0,1,0,0,0,0,0,0,8.565,10.615,17.135
2017-10-31,84.5,1.07,87.665,0,20.55,0,0,1,0,0,0,0,0,9.43E+17,29,74.76
2017-11-01,73,1.67,87.624,4707.15,23.25,0,0,0,0,0,1,0,0,9.43E+17,29,74.76
2017-11-02,74.96,0.02,87.61,4683.44,22.99,0,0,0,0,0,0,0,1,9.43E+17,29,74.76
2017-11-03,81.25,10.1,87.56,4773.7,22.08,0,0,0,0,0,0,0,1,9.43E+17,29,74.76
2017-11-04,82.88,0,87.708,3302.85,20.49,0,0,0,0,0,1,0,0,9.43E+17,29,74.76
2017-11-05,80.63,0,87.734,3079.76,21.23,1,0,0,0,0,0,0,0,9.43E+17,29,74.76
2017-11-06,87.92,7.3,87.604,2781.42,20.95,1,0,0,0,0,0,0,0,9.43E+17,29,74.76
2017-11-07,92.29,66.84,87.723,2762.91,19.38,0,0,0,0,0,1,0,0,9.43E+17,29,74.76
2017-11-08,85.42,3.36,87.687,3191.81,21.62,1,0,0,0,0,0,0,0,9.43E+17,29,74.76
2017-11-09,86.33,1,87.632,3439.81,21.52,1,0,0,0,0,0,0,0,9.43E+17,29,74.76
2017-11-10,85.25,12.08,87.558,3612.91,21.24,1,0,0,0,0,0,0,0,9.43E+17,29,74.76
2017-11-11,78.5,0,87.563,4988.47,22.97,0,0,1,0,0,0,0,0,9.43E+17,29,74.76
2017-11-12,89.17,4.26,87.632,2888.44,21.12,1,0,0,0,0,0,0,0,9.43E+17,29,74.76
2017-11-13,85.38,6.98,87.574,4226.36,21.72,0,0,0,0,0,1,0,0,9.43E+17,29,74.76
2017-11-14,88.71,32.26,87.565,3049.48,20.91,0,1,0,0,0,0,0,0,9.43E+17,29,74.76
2017-11-15,75.54,0.05,87.505,5064.27,23.26,0,0,0,0,0,0,1,0,9.43E+17,29,74.76
2017-11-16,81.75,9.26,87.478,3873.78,22.2,0,0,0,0,1,0,0,0,9.43E+17,29,74.76
2017-11-17,77.04,1.64,87.52,4096.07,22.06,1,0,0,0,0,0,0,0,9.43E+17,29,74.76
2017-11-18,74.71,0,87.563,4927.37,22.61,0,0,0,1,0,0,0,0,9.43E+17,29,74.76
2017-11-19,72.63,0.04,87.574,5279.71,23.58,0,0,0,0,1,0,0,0,9.43E+17,29,74.76
2017-11-20,71,0,87.651,4566.07,23.17,0,0,1,0,0,0,0,0,9.43E+17,29,74.76
2017-11-21,60.54,0,87.555,5359.13,24.24,1,0,0,0,0,0,0,0,9.43E+17,29,74.76
2017-11-22,69.75,0,87.535,4130.73,23.58,0,0,0,1,0,0,0,0,9.43E+17,29,74.76
2017-11-23,72.17,0,87.571,3628.69,22.93,1,0,0,0,0,0,0,0,9.43E+17,29,74.76
2017-11-24,93.92,26.9,87.737,1205.04,19.13,1,0,0,0,0,0,0,0,9.43E+17,29,74.76
2017-11-25,76.67,0.77,87.773,4122.03,22.63,0,0,1,0,0,0,0,0,9.43E+17,29,74.76
2017-11-26,80.38,3.01,87.872,3721.45,21.57,0,0,0,1,0,0,0,0,9.43E+17,29,74.76
2017-11-27,82.92,1.98,87.778,3635.92,22.12,0,0,0,0,0,0,1,0,9.43E+17,29,74.76
2017-11-28,77.46,0.11,87.69,5622.47,23.11,0,0,1,0,0,0,0,0,9.43E+17,29,74.76
2017-11-29,80.13,24.5,87.756,3927.77,22.05,1,0,0,0,0,0,0,0,9.43E+17,29,74.76
2017-11-30,80.25,2.55,87.759,3589.94,21.77,1,0,0,0,0,0,0,0,9.43E+17,29,74.76
2017-12-01,81.21,0.05,87.656,4460.95,22,0,0,0,0,0,0,1,0,39.37,49.41,95.85
2017-12-02,76.13,0.82,87.635,4100.75,22.57,0,0,0,1,0,0,0,0,13.59,18,51.04
2017-12-03,76.96,0,87.691,3999.69,22.66,0,0,0,1,0,0,0,0,12.15,15.62,29.72
2017-12-04,82.46,0,87.673,2855.72,22.3,0,0,0,1,0,0,0,0,11.38,14.74,34.02
2017-12-05,75.33,0.08,87.578,5203.02,23.23,0,0,0,0,0,0,1,0,9.25,12.11,29.33
2017-12-06,80,0.53,87.549,2411.81,22.33,0,0,0,1,0,0,0,0,12.04,14.85,24.74
2017-12-07,82.79,5.23,87.498,2946.75,22.4,0,0,0,1,0,0,0,0,9.02,11.39,23.27
2017-12-08,79.5,0,87.46,3535.43,23.24,0,0,0,0,0,0,0,1,18.51,23.42,52.19
2017-12-09,87.63,4.37,87.491,2687.9,21.45,0,0,0,0,0,0,1,0,9.15,11.85,22.74
2017-12-10,78,0.15,87.561,4194.82,22.95,0,1,0,0,0,0,0,0,17.18,22.55,50.24
2017-12-11,73.13,0.1,87.669,4254.06,22.64,0,0,0,0,1,0,0,0,14.83,19.89,56.88
2017-12-12,75.71,0.15,87.678,5118.76,22.73,0,0,0,0,1,0,0,0,11.2,14.83,36.15
2017-12-13,66.58,0.1,87.645,5425.89,23.54,0,0,0,0,1,0,0,0,14.44,19.34,48.6
2017-12-14,71.13,0,87.633,3940.04,23.69,0,0,0,0,0,0,1,0,24.52,31.55,75.98
