Hour,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),hour,Date,Time(hrs),TimeStamp
00:00:00,16.59,22.76,39.24,0,2019-06-06,0 days 00:00:00.000000000,2019-06-06 00:00:00
01:00:00,16.15,22.14,35.52,1,2019-06-06,0 days 01:00:00.000000000,2019-06-06 01:00:00
02:00:00,15.33,21.0,31.42,2,2019-06-06,0 days 02:00:00.000000000,2019-06-06 02:00:00
03:00:00,13.99,19.19,27.34,3,2019-06-06,0 days 03:00:00.000000000,2019-06-06 03:00:00
04:00:00,13.23,18.15,25.93,4,2019-06-06,0 days 04:00:00.000000000,2019-06-06 04:00:00
05:00:00,13.45,18.53,25.86,5,2019-06-06,0 days 05:00:00.000000000,2019-06-06 05:00:00
06:00:00,14.06,19.48,29.83,6,2019-06-06,0 days 06:00:00.000000000,2019-06-06 06:00:00
07:00:00,15.41,21.54,38.96,7,2019-06-06,0 days 07:00:00.000000000,2019-06-06 07:00:00
08:00:00,13.2,18.48,36.88,8,2019-06-06,0 days 08:00:00.000000000,2019-06-06 08:00:00
09:00:00,9.16,12.93,25.19,9,2019-06-06,0 days 09:00:00.000000000,2019-06-06 09:00:00
10:00:00,6.91,9.87,19.01,10,2019-06-06,0 days 10:00:00.000000000,2019-06-06 10:00:00
11:00:00,6.05,8.89,17.29,11,2019-06-06,0 days 11:00:00.000000000,2019-06-06 11:00:00
12:00:00,5.53,8.44,16.69,12,2019-06-06,0 days 12:00:00.000000000,2019-06-06 12:00:00
13:00:00,5.41,8.5,16.59,13,2019-06-06,0 days 13:00:00.000000000,2019-06-06 13:00:00
14:00:00,5.59,8.56,16.58,14,2019-06-06,0 days 14:00:00.000000000,2019-06-06 14:00:00
15:00:00,6.98,11.81,19.88,15,2019-06-06,0 days 15:00:00.000000000,2019-06-06 15:00:00
16:00:00,7.53,11.81,21.16,16,2019-06-06,0 days 16:00:00.000000000,2019-06-06 16:00:00
17:00:00,6.54,9.68,20.25,17,2019-06-06,0 days 17:00:00.000000000,2019-06-06 17:00:00
18:00:00,8.15,11.59,24.74,18,2019-06-06,0 days 18:00:00.000000000,2019-06-06 18:00:00
19:00:00,13.3,17.95,34.83,19,2019-06-06,0 days 19:00:00.000000000,2019-06-06 19:00:00
20:00:00,16.79,22.78,42.94,20,2019-06-06,0 days 20:00:00.000000000,2019-06-06 20:00:00
21:00:00,16.61,22.81,45.38,21,2019-06-06,0 days 21:00:00.000000000,2019-06-06 21:00:00
22:00:00,17.01,23.4,46.11,22,2019-06-06,0 days 22:00:00.000000000,2019-06-06 22:00:00
23:00:00,17.29,23.77,44.29,23,2019-06-06,0 days 23:00:00.000000000,2019-06-06 23:00:00
