TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3)
2017-06-30,32.47,43.64,74.63
2017-07-01,13.48,21.09,53.8
2017-07-02,30.28,42.68,91.44
2017-07-03,22.24,28.15,50.86
2017-07-04,18.97,27.48,51.98
2017-07-05,19.37,26.98,51.59
2017-07-06,10.0,14.32,34.12
2017-07-07,5.17,8.02,17.15
2017-07-08,9.625,17.494999999999997,114.24000000000001
2017-07-09,14.08,26.97,211.33
2017-07-10,3.69,5.5,16.55
2017-07-11,10.71,15.73,32.125
2017-07-12,17.73,25.96,47.7
2017-07-13,24.55,31.1,54.71
2017-07-14,10.87,15.77,80.47
2017-07-15,28.54,40.44,88.48
2017-07-16,20.2,28.67,61.89
2017-07-17,21.69,31.92,86.62
2017-07-18,13.41,19.74,56.28
2017-07-19,15.44,22.46,51.76
2017-07-20,11.88,17.27,45.56
2017-07-21,14.55,20.42,47.88
2017-07-22,7.86,11.02,27.45
2017-07-23,7.78,10.28,19.3
2017-07-24,14.345,17.94,26.275
2017-07-25,20.91,25.6,33.25
2017-07-26,27.94,34.57,48.65
2017-07-27,16.32,21.39,37.07
2017-07-28,4.49,8.13,27.45
2017-07-29,22.26,34.485,58.465
2017-07-30,40.03,60.84,89.48
2017-07-31,10.96,16.21,45.02
2017-08-01,12.28,17.28,43.8
2017-08-02,6.74,10.05,26.78
2017-08-03,11.04,16.37,45.32
2017-08-04,12.28,18.69,55.48
2017-08-05,14.88,22.36,59.8
2017-08-06,11.69,17.81,52.07
2017-08-07,12.3,18.6,55.57
2017-08-08,11.5,16.87,39.54
2017-08-09,9.13,12.93,35.3
2017-08-10,17.42,23.23,36.5
2017-08-11,11.47,15.685,27.564999999999998
2017-08-12,11.47,15.685,27.564999999999998
2017-08-13,11.47,15.685,27.564999999999998
2017-08-14,11.47,15.685,27.564999999999998
2017-08-15,11.47,15.685,27.564999999999998
2017-08-16,11.47,15.685,27.564999999999998
2017-08-17,5.52,8.14,18.63
2017-08-18,7.64,11.58,35.42
2017-08-19,9.05,13.7,36.04
2017-08-20,8.94,14.12,39.72
2017-08-21,10.29,16.21,48.62
2017-08-22,9.19,13.16,32.56
2017-08-23,10.68,15.38,45.49
2017-08-24,10.03,13.67,30.37
2017-08-25,12.64,17.14,53.93
2017-08-26,8.41,11.92,33.59
2017-08-27,7.75,11.66,33.59
2017-08-28,7.13,10.04,26.42
2017-08-29,7.53,10.56,26.06
2017-08-30,7.29,10.21,25.23
2017-08-31,7.76,10.48,22.69
2017-09-01,18.47,24.27,37.52
2017-09-02,15.34,20.22,44.85
2017-09-03,10.98,14.25,24.25
2017-09-04,4.94,6.96,20.77
2017-09-05,4.24,6.13,24.16
2017-09-06,6.905,9.06,24.119999999999997
2017-09-07,6.905,9.06,24.119999999999997
2017-09-08,9.57,11.99,24.08
2017-09-09,11.35,14.23,30.41
2017-09-10,7.67,9.78,27.35
2017-09-11,9.03,12.89,31.95
2017-09-12,10.42,14.47,29.24
2017-09-13,8.32,11.14,21.5
2017-09-14,4.25,6.04,14.52
2017-09-15,5.32,7.83,21.37
2017-09-16,9.44,13.52,32.57
2017-09-17,5.1,7.15,17.92
2017-09-18,7.12,10.69,30.41
2017-09-19,7.52,10.93,28.79
2017-09-20,5.51,9.09,25.43
2017-09-21,5.49,8.88,30.37
2017-09-22,3.09,4.99,12.79
2017-09-23,7.58,11.93,36.49
2017-09-24,8.54,12.48,26.47
2017-09-25,6.66,9.77,23.16
2017-09-26,11.66,16.74,32.22
2017-09-27,10.94,16.19,32.48
2017-09-28,11.21,16.72,45.05
2017-09-29,7.48,11.26,22.91
2017-09-30,16.27,29.2,56.05
2017-10-01,13.52,21.98,44.65
2017-10-02,10.99,17.82,40.52
2017-10-03,5.89,9.09,24.66
2017-10-04,11.1,19.1,47.08
2017-10-05,7.98,13.79,36.63
2017-10-06,11.7,20.34,47.01
2017-10-07,12.13,21.04,58.1
2017-10-08,6.4,11.2,30.75
2017-10-09,4.99,8.24,24.79
2017-10-10,4.87,8.51,20.63
2017-10-11,7.13,11.91,27.24
2017-10-12,5.76,10.45,22.26
2017-10-13,6.6,12.45,21.1
2017-10-14,8.6,14.12,34.68
2017-10-15,5.14,7.78,20.09
2017-10-16,3.83,6.46,15.09
2017-10-17,3.09,4.56,14.92
2017-10-18,5.36,8.15,21.04
2017-10-19,3.76,6.01,15.06
