,Feature-importance
winddirection_E,2.5624592043515867e-05
winddirection_SW,5.041505380068875e-05
winddirection_N,5.083443500697734e-05
winddirection_SE,5.7021478878398126e-05
winddirection_S,6.475723905733133e-05
winddirection_NE,6.70512464496314e-05
winddirection_W,6.932610429964935e-05
winddirection_NW,8.737813891081338e-05
humidity (%),0.0006625519658371474
precipitation (mm),0.0006712523520512546
radiation (W/m2),0.0011450330007599363
pressure (kPa),0.0011685659939380348
windspeed (m/s),0.0014067907388879183
EVI,0.002044143338741968
NDVI,0.0023604812550738915
hour,0.0024172775658429426
temperature (oC),0.058211488039623255
PM10(Ug/m3),0.16080081094000312
PM1(Ug/m3),0.7686391965207936
