TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),hour,Hour
2017-06-30 21:00:00,17.15,23.09,43.56,21,0 days 21:00:00.000000000
2017-06-30 22:00:00,33.85,44.78,78.61,22,0 days 22:00:00.000000000
2017-06-30 23:00:00,37.79,52.78,82.12,23,0 days 23:00:00.000000000
2017-07-01 00:00:00,,,,0,0 days 00:00:00.000000000
2017-07-01 01:00:00,,,,1,0 days 01:00:00.000000000
2017-07-01 02:00:00,,,,2,0 days 02:00:00.000000000
2017-07-01 03:00:00,,,,3,0 days 03:00:00.000000000
2017-07-01 04:00:00,,,,4,0 days 04:00:00.000000000
2017-07-01 05:00:00,,,,5,0 days 05:00:00.000000000
2017-07-01 06:00:00,,,,6,0 days 06:00:00.000000000
2017-07-01 07:00:00,,,,7,0 days 07:00:00.000000000
2017-07-01 08:00:00,,,,8,0 days 08:00:00.000000000
2017-07-01 09:00:00,,,,9,0 days 09:00:00.000000000
2017-07-01 10:00:00,,,,10,0 days 10:00:00.000000000
2017-07-01 11:00:00,,,,11,0 days 11:00:00.000000000
2017-07-01 12:00:00,,,,12,0 days 12:00:00.000000000
2017-07-01 13:00:00,21.41,28.86,118.46,13,0 days 13:00:00.000000000
2017-07-01 14:00:00,6.4,10.01,47.0,14,0 days 14:00:00.000000000
2017-07-01 15:00:00,4.52,8.16,33.08,15,0 days 15:00:00.000000000
2017-07-01 16:00:00,8.96,14.57,34.34,16,0 days 16:00:00.000000000
2017-07-01 17:00:00,14.29,22.18,44.98,17,0 days 17:00:00.000000000
2017-07-01 18:00:00,20.38,32.42,70.74,18,0 days 18:00:00.000000000
2017-07-01 19:00:00,13.24,20.59,42.79,19,0 days 19:00:00.000000000
2017-07-01 20:00:00,12.12,19.22,65.57,20,0 days 20:00:00.000000000
2017-07-01 21:00:00,29.92,42.43,125.28,21,0 days 21:00:00.000000000
2017-07-01 22:00:00,31.93,47.9,121.67,22,0 days 22:00:00.000000000
2017-07-01 23:00:00,,,,23,0 days 23:00:00.000000000
2017-07-02 00:00:00,,,,0,0 days 00:00:00.000000000
2017-07-02 01:00:00,,,,1,0 days 01:00:00.000000000
2017-07-02 02:00:00,,,,2,0 days 02:00:00.000000000
2017-07-02 03:00:00,,,,3,0 days 03:00:00.000000000
2017-07-02 04:00:00,,,,4,0 days 04:00:00.000000000
2017-07-02 05:00:00,10.12,15.48,43.22,5,0 days 05:00:00.000000000
2017-07-02 06:00:00,,,,6,0 days 06:00:00.000000000
2017-07-02 07:00:00,,,,7,0 days 07:00:00.000000000
2017-07-02 08:00:00,,,,8,0 days 08:00:00.000000000
2017-07-02 09:00:00,,,,9,0 days 09:00:00.000000000
2017-07-02 10:00:00,,,,10,0 days 10:00:00.000000000
2017-07-02 11:00:00,,,,11,0 days 11:00:00.000000000
2017-07-02 12:00:00,,,,12,0 days 12:00:00.000000000
2017-07-02 13:00:00,,,,13,0 days 13:00:00.000000000
2017-07-02 14:00:00,,,,14,0 days 14:00:00.000000000
2017-07-02 15:00:00,,,,15,0 days 15:00:00.000000000
2017-07-02 16:00:00,,,,16,0 days 16:00:00.000000000
2017-07-02 17:00:00,64.62,112.7,136.04,17,0 days 17:00:00.000000000
2017-07-02 18:00:00,40.95,57.16,113.58,18,0 days 18:00:00.000000000
2017-07-02 19:00:00,33.7,48.48,148.52,19,0 days 19:00:00.000000000
2017-07-02 20:00:00,20.1,27.3,50.27,20,0 days 20:00:00.000000000
2017-07-02 21:00:00,13.57,18.34,31.51,21,0 days 21:00:00.000000000
2017-07-02 22:00:00,,,,22,0 days 22:00:00.000000000
2017-07-02 23:00:00,,,,23,0 days 23:00:00.000000000
