,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),hour,EVI,NDVI,humidity (%),precipitation (mm),pressure (kPa),radiation (W/m2),temperature (oC),windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
PM1(Ug/m3),1.0,0.9713793253823025,0.8983422460406643,-0.05847467851481428,-0.01796676116232237,0.003237741961277568,-0.07649795637659863,-0.03585012150094994,0.04326220811903236,-0.3287131051483898,-0.3187826803632291,0.02137879223906581,0.025570942353915337,0.015580704763442905,0.012833469119573086,0.01686011104872916,-0.053903313838811126,0.039220672984042707,-0.030652306584152408,-0.012922864491470482
PM2.5(Ug/m3),0.9713793253823025,1.0,0.9264073090357804,-0.05176412446033744,-0.03058519051703098,-0.003299728759330924,-0.06629291329894196,-0.03154845649954072,0.030154357375158192,-0.2912960141835121,-0.28290884542353534,0.019830607640949457,0.013933903446002966,0.027073448682530577,0.015885806478874404,0.03229899602024738,-0.06251795354572827,0.017252424922242077,-0.019356216084619498,0.000948400996503813
PM10(Ug/m3),0.8983422460406643,0.9264073090357804,1.0,0.04512534742206568,-0.06905189290751938,-0.02206931453415765,-0.06631531285858426,-0.04676818200248718,-0.0005219764975532568,-0.3233198405953532,-0.2668178126608916,0.029756172405116216,-0.004540511212065963,0.022095281223327608,-0.0019241497250702291,0.06450521979009038,-0.07030623630503864,0.006535785768076241,-0.015509583108121134,0.0283138253944348
hour,-0.05847467851481428,-0.05176412446033744,0.04512534742206568,1.0,-0.0002348842639461043,0.00036241590147491966,-0.0010798316424214304,-0.026709052955081452,-0.1571975633652975,0.09938117414390335,0.35220230442310707,0.02187490522666297,-0.09388608633958674,-0.02632990605608595,-0.06946921095643943,0.06937509094186521,0.06549667174486175,-0.01767544812477619,0.011809919511907426,0.030137089264934518
EVI,-0.01796676116232237,-0.03058519051703098,-0.06905189290751938,-0.0002348842639461043,1.0,0.7454144795581362,0.12015000265203493,0.023372775631462117,0.12322923124746941,-0.04513867863896296,-0.08376505070634753,-0.019162701692900682,-0.04880016702537529,0.001982772462762918,-0.03730481276648112,0.055819249046528074,-0.016326775450483045,0.004389811076925266,0.019243442200641437,0.020260059044431032
NDVI,0.003237741961277568,-0.003299728759330924,-0.02206931453415765,0.00036241590147491966,0.7454144795581362,1.0,0.0355736557044355,0.012989595968838391,0.22825015397252385,-0.050078823353626976,-0.12845788612489803,0.012028002801890378,-0.028459954368780134,-0.03503246590617008,-0.04562337894164381,0.03302612070365705,0.021711796200244275,0.038684676149319246,-0.0035711354624606956,-0.014076304760090867
humidity (%),-0.07649795637659863,-0.06629291329894196,-0.06631531285858426,-0.0010798316424214304,0.12015000265203493,0.0355736557044355,1.0,0.015182694680671124,-0.11869085154344056,-0.009540670342383662,0.016044204951439732,-0.015023009786873149,-0.001428154363357176,0.03374399725610132,0.016166941668155403,0.039349114000019295,-0.06806199147902034,-0.022725701211161346,0.009866059352978058,0.033958165265905296
precipitation (mm),-0.03585012150094994,-0.03154845649954072,-0.04676818200248718,-0.026709052955081452,0.023372775631462117,0.012989595968838391,0.015182694680671124,1.0,0.028205070991827414,-0.053251156286408086,-0.09220291046284099,-0.05622690274259807,0.0432526802466051,0.024458581177827357,0.015338934897434606,-0.02859328877943361,-0.016028678934793653,0.015388689113301735,-0.021445955563269545,-0.024303850745417514
pressure (kPa),0.04326220811903236,0.030154357375158192,-0.0005219764975532568,-0.1571975633652975,0.12322923124746941,0.22825015397252385,-0.11869085154344056,0.028205070991827414,1.0,0.10712549155104921,-0.276082232136112,-0.02241316174882261,0.06492450913718534,0.0018257684888076627,0.03544557813420725,-0.02641114060193617,0.03532884633556655,-0.05042813543529035,-0.01558884450846773,-0.03385438801465514
radiation (W/m2),-0.3287131051483898,-0.2912960141835121,-0.3233198405953532,0.09938117414390335,-0.04513867863896296,-0.050078823353626976,-0.009540670342383662,-0.053251156286408086,0.10712549155104921,1.0,0.7561053558791334,0.04888978703245575,-0.00550885897472027,-0.04950681338928105,-0.025043903571286816,-0.13616862756040263,0.1643124165502411,-0.004143745587038404,0.03721391994130641,-0.05654540217685985
