TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),EVI,NDVI,average humidity (%),total rainfall (mm),average pressure (kPa),total radiation (W/m2),average temperature (oC),average windspeed (m/s),min windspeed (m/s),max windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
2017-09-09,11.35,14.23,30.41,0.2002,0.366,86.22,0.0,87.666,0.0,20.92,0.59,0.29,1.19,0,0,0,0,0,1,0,0
2017-09-10,7.67,9.78,27.35,0.2002,0.366,78.17,0.0,87.715,3575.39,21.91,0.6,0.31,1.41,0,0,1,0,0,0,0,0
2017-09-11,7.39,10.63,29.46,0.2002,0.366,75.27,1.77,87.65700000000001,4600.25,23.05,0.69,0.44,1.27,0,0,1,0,0,0,0,0
2017-09-13,9.19,12.39,23.34,0.2002,0.366,90.0,0.0,87.73,0.0,20.46,0.91,0.91,0.91,1,0,0,0,0,0,0,0
2017-09-24,9.55,14.08,31.79,0.2002,0.366,78.17,0.0,87.78,4839.53,22.02,0.88,0.3,1.63,0,0,0,0,0,1,0,0
2017-09-25,6.06,8.88,21.48,0.2002,0.366,80.21,7.88,87.62700000000001,4820.36,21.65,0.7,0.39,1.03,1,0,0,0,0,0,0,0
2017-09-26,10.27,14.95,29.77,0.2002,0.366,90.25,0.0,87.645,0.0,19.6,0.62,0.19,1.23,0,1,0,0,0,0,0,0
2017-10-31,6.86,10.51,25.02,0.2086,0.3898,84.5,1.07,87.665,0.0,20.55,0.95,0.71,1.24,0,0,1,0,0,0,0,0
2017-11-01,6.78,11.49,22.38,0.2021,0.3925,73.0,1.67,87.624,4707.15,23.25,0.69,0.32,1.38,0,0,0,0,0,1,0,0
2017-11-02,9.2,14.87,33.29,0.2021,0.3925,74.96,0.02,87.61,4683.44,22.99,0.66,0.22,1.28,0,0,0,0,0,0,0,1
2017-11-03,7.25,12.68,25.09,0.2021,0.3925,81.25,10.1,87.56,4773.7,22.08,0.77,0.18,1.31,0,0,0,0,0,0,0,1
2017-11-04,3.89,6.77,15.04,0.2021,0.3925,82.88,0.0,87.708,3302.85,20.49,1.14,0.72,2.1,0,0,0,0,0,1,0,0
