TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3)
2017-07-31,15.57,22.34,52.98
2017-08-31,9.94,14.51,39.03
2017-09-30,8.93,12.88,29.18
2017-10-31,7.4,12.3,29.01
2017-11-30,9.82,16.76,27.67
2017-12-31,11.69,19.0,38.68
2018-01-31,7.62,12.05,28.98
2018-02-28,7.72,10.8,28.49
2018-03-31,16.21,28.16,37.61
2018-04-30,5.43,7.56,14.43
2018-05-31,7.34,10.49,20.51
2018-06-30,7.57,10.79,22.25
2018-07-31,14.57,19.43,31.46
2018-08-31,19.13,24.69,35.78
2018-09-30,15.96,20.17,29.62
2018-10-31,13.09,16.33,24.35
2018-11-30,13.19,16.32,23.87
2018-12-31,13.32,16.54,23.18
2019-01-31,17.03,21.36,30.64
2019-02-28,13.73,18.29,28.81
2019-03-31,10.19,13.33,20.18
2019-04-30,5.32,6.98,11.68
