TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3)
2017-07-30,54.0,63.72,107.75
2017-07-31,19.65,27.64,63.43
2017-08-01,10.66,17.55,47.88
2017-08-02,9.61,13.95,31.55
2017-08-03,18.06,28.05,100.92
2017-08-04,51.55,81.77,149.63
2017-08-05,21.54,35.25,68.94
2017-08-06,16.69,23.41,51.26
2017-08-07,17.72,21.72,90.09
2017-08-08,10.11,12.99,43.99
2017-08-09,15.19,18.65,36.71
2017-08-10,16.6,19.44,63.04
2017-08-11,16.3,19.54,29.38
2017-08-12,40.58,48.8,70.64
2017-08-13,68.6,83.13,127.18
2017-08-14,47.72,65.85,89.53
2017-08-15,44.879999999999995,59.324999999999996,79.63499999999999
2017-08-16,42.04,52.8,69.74
2017-08-17,56.18,73.13,94.11
2017-08-18,85.97,148.84,162.28
2017-08-19,108.49,154.72500000000002,168.065
2017-08-20,108.49,154.72500000000002,168.065
2017-08-21,108.49,154.72500000000002,168.065
2017-08-22,108.49,154.72500000000002,168.065
2017-08-23,108.49,154.72500000000002,168.065
2017-08-24,108.49,154.72500000000002,168.065
2017-08-25,108.49,154.72500000000002,168.065
2017-08-26,108.49,154.72500000000002,168.065
2017-08-27,108.49,154.72500000000002,168.065
2017-08-28,108.49,154.72500000000002,168.065
2017-08-29,108.49,154.72500000000002,168.065
2017-08-30,108.49,154.72500000000002,168.065
2017-08-31,108.49,154.72500000000002,168.065
2017-09-01,108.49,154.72500000000002,168.065
2017-09-02,108.49,154.72500000000002,168.065
2017-09-03,108.49,154.72500000000002,168.065
2017-09-04,108.49,154.72500000000002,168.065
2017-09-05,108.49,154.72500000000002,168.065
2017-09-06,108.49,154.72500000000002,168.065
2017-09-07,108.49,154.72500000000002,168.065
2017-09-08,108.49,154.72500000000002,168.065
2017-09-09,108.49,154.72500000000002,168.065
2017-09-10,108.49,154.72500000000002,168.065
2017-09-11,108.49,154.72500000000002,168.065
2017-09-12,131.01,160.61,173.85
2017-09-13,107.25999999999999,137.45000000000002,181.79
2017-09-14,107.25999999999999,137.45000000000002,181.79
2017-09-15,107.25999999999999,137.45000000000002,181.79
2017-09-16,107.25999999999999,137.45000000000002,181.79
2017-09-17,107.25999999999999,137.45000000000002,181.79
2017-09-18,107.25999999999999,137.45000000000002,181.79
2017-09-19,83.51,114.29,189.73
2017-09-20,97.71,125.51,151.96
2017-09-21,94.18,121.35,150.96
2017-09-22,95.58,191.41,274.77
2017-09-23,99.6,128.09,148.07
2017-09-24,86.24,110.43,128.48
2017-09-25,127.93,162.14,190.64999999999998
2017-09-26,127.93,162.14,190.64999999999998
2017-09-27,127.93,162.14,190.64999999999998
2017-09-28,127.93,162.14,190.64999999999998
2017-09-29,127.93,162.14,190.64999999999998
2017-09-30,127.93,162.14,190.64999999999998
2017-10-01,127.93,162.14,190.64999999999998
2017-10-02,127.93,162.14,190.64999999999998
2017-10-03,169.62,213.85,252.82
2017-10-04,176.36,223.63,253.53
2017-10-05,22.53,30.91,31.08
2017-10-06,14.165000000000001,19.215,25.284999999999997
2017-10-07,14.165000000000001,19.215,25.284999999999997
2017-10-08,14.165000000000001,19.215,25.284999999999997
2017-10-09,14.165000000000001,19.215,25.284999999999997
2017-10-10,5.8,7.52,19.49
2017-10-11,12.735000000000001,16.244999999999997,37.865
2017-10-12,19.67,24.97,56.24
2017-10-13,7.06,9.41,20.31
2017-10-14,16.42,22.659999999999997,44.72
2017-10-15,25.78,35.91,69.13
2017-10-16,28.22,34.61,80.62
2017-10-17,14.41,17.05,34.33
2017-10-18,18.2,21.49,48.41
2017-10-19,37.95,49.474999999999994,93.405
2017-10-20,37.95,49.474999999999994,93.405
