TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),hour,Hour
2017-07-30 22:00:00,40.71,48.78,91.08,22,0 days 22:00:00.000000000
2017-07-30 23:00:00,101.86,117.48,167.78,23,0 days 23:00:00.000000000
2017-07-31 00:00:00,184.41,250.27,298.8,0,0 days 00:00:00.000000000
2017-07-31 01:00:00,58.14,78.93,97.92,1,0 days 01:00:00.000000000
2017-07-31 02:00:00,18.13,24.95,45.56,2,0 days 02:00:00.000000000
2017-07-31 03:00:00,15.81,21.78,38.09,3,0 days 03:00:00.000000000
2017-07-31 04:00:00,14.29,19.59,32.38,4,0 days 04:00:00.000000000
2017-07-31 05:00:00,14.1,19.48,30.93,5,0 days 05:00:00.000000000
2017-07-31 06:00:00,18.4,24.16,47.7,6,0 days 06:00:00.000000000
2017-07-31 07:00:00,15.84,22.53,49.09,7,0 days 07:00:00.000000000
2017-07-31 08:00:00,14.18,18.47,44.92,8,0 days 08:00:00.000000000
2017-07-31 09:00:00,13.54,18.46,51.67,9,0 days 09:00:00.000000000
2017-07-31 10:00:00,9.08,12.25,31.9,10,0 days 10:00:00.000000000
2017-07-31 11:00:00,5.0,7.08,33.74,11,0 days 11:00:00.000000000
2017-07-31 12:00:00,7.51,11.66,65.18,12,0 days 12:00:00.000000000
2017-07-31 13:00:00,6.83,11.17,57.73,13,0 days 13:00:00.000000000
2017-07-31 14:00:00,8.17,13.27,75.53,14,0 days 14:00:00.000000000
2017-07-31 15:00:00,6.9,11.6,50.96,15,0 days 15:00:00.000000000
2017-07-31 16:00:00,3.07,6.71,39.77,16,0 days 16:00:00.000000000
2017-07-31 17:00:00,2.39,5.39,27.95,17,0 days 17:00:00.000000000
2017-07-31 18:00:00,2.76,5.7,22.09,18,0 days 18:00:00.000000000
2017-07-31 19:00:00,14.3,20.12,58.21,19,0 days 19:00:00.000000000
2017-07-31 20:00:00,17.97,24.2,60.37,20,0 days 20:00:00.000000000
2017-07-31 21:00:00,25.14,33.02,63.59,21,0 days 21:00:00.000000000
2017-07-31 22:00:00,19.76,26.65,54.35,22,0 days 22:00:00.000000000
2017-07-31 23:00:00,23.46,32.23,74.9,23,0 days 23:00:00.000000000
2017-08-01 00:00:00,7.83,14.06,70.0,0,0 days 00:00:00.000000000
2017-08-01 01:00:00,7.31,12.81,30.05,1,0 days 01:00:00.000000000
