,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),hour,EVI,NDVI,MOD13A3_006__1_km_monthly_VI_Quality,humidity (%),precipitation (mm),pressure (kPa),radiation (W/m2),temperature (oC),windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
PM1(Ug/m3),1,0.995973072,0.851053479,-0.083984005,0.038706029,0.034972848,-0.006476235,-0.005741213,-0.018096833,0.104523893,-0.530917675,-0.530616458,-0.019706136,0.042545442,0.06185429,0.028088132,0.092932533,-0.107660998,0.033989195,-0.085875197,-0.014939751
PM2.5(Ug/m3),0.995973072,1,0.874569622,-0.076308495,0.022883304,0.020741647,-0.007317412,-0.003013516,-0.020875875,0.097441295,-0.543816121,-0.536108277,-0.018240089,0.038840267,0.059026332,0.026447166,0.096250964,-0.106868763,0.03107807,-0.083616276,-0.010386575
PM10(Ug/m3),0.851053479,0.874569622,1,0.18353613,-0.000251009,-0.002739399,0.000577912,-0.012415767,-0.015305219,0.073862056,-0.466088136,-0.380645916,0.000878469,-0.003470404,0.050966867,0.001036168,0.137315296,-0.088714771,-0.004227157,-0.062231633,0.020301393
hour,-0.083984005,-0.076308495,0.18353613,1,0.000455951,0.000421018,0.000116179,-0.000853915,-0.027267772,-0.153871613,0.099632917,0.351991192,0.022436638,-0.088196442,-0.017146242,-0.056925608,0.072374126,0.057028645,-0.01893194,0.002839654,0.02514834
EVI,0.038706029,0.022883304,-0.000251009,0.000455951,1,0.942127267,0.383758476,0.018997384,0.042468047,0.057179822,-0.050921366,-0.096057626,-0.083531514,-0.060683772,0.047819333,-0.028135441,0.104164366,-0.098322314,-0.005127682,0.015539142,0.066476418
NDVI,0.034972848,0.020741647,-0.002739399,0.000421018,0.942127267,1,0.376240069,0.019502984,0.038981649,0.071624968,-0.046267592,-0.109458651,-0.090274221,-0.072158714,0.063749511,-0.017979708,0.129734493,-0.113040549,-0.042996596,0.030888818,0.086691019
MOD13A3_006__1_km_monthly_VI_Quality,-0.006476235,-0.007317412,0.000577912,0.000116179,0.383758476,0.376240069,1,0.120047422,0.039871169,-0.053666098,-0.024719359,-0.090806859,-0.069783171,0.035000002,0.07009925,0.038235071,0.073379968,-0.076380824,-0.154857533,0.049986582,0.065987578
humidity (%),-0.005741213,-0.003013516,-0.012415767,-0.000853915,0.018997384,0.019502984,0.120047422,1,0.015742033,-0.120326792,-0.011435345,0.013708774,-0.015689137,-0.001772456,0.033951785,0.014695209,0.040243432,-0.071118423,-0.020550983,0.010658728,0.035079012
precipitation (mm),-0.018096833,-0.020875875,-0.015305219,-0.027267772,0.042468047,0.038981649,0.039871169,0.015742033,1,0.026231921,-0.053610394,-0.091392541,-0.055957836,0.045108809,0.026018065,0.015078654,-0.028964159,-0.015016812,0.014255708,-0.022682839,-0.024781548
pressure (kPa),0.104523893,0.097441295,0.073862056,-0.153871613,0.057179822,0.071624968,-0.053666098,-0.120326792,0.026231921,1,0.107476154,-0.272263193,-0.021800225,0.061092321,0.001471116,0.028329027,-0.027499263,0.050943801,-0.058497974,-0.010658809,-0.035617708
radiation (W/m2),-0.530917675,-0.543816121,-0.466088136,0.099632917,-0.050921366,-0.046267592,-0.024719359,-0.011435345,-0.053610394,0.107476154,1,0.756768634,0.049678006,0.000580775,-0.046583411,-0.023406827,-0.136777016,0.143723611,5.26E-05,0.049066614,-0.056318731
temperature (oC),-0.530616458,-0.536108277,-0.380645916,0.351991192,-0.096057626,-0.109458651,-0.090806859,0.013708774,-0.091392541,-0.272263193,0.756768634,1,0.120928535,-0.099430607,-0.094005553,-0.08706394,-0.102532264,0.155902777,0.088264052,0.043948138,-0.030506942
windspeed (m/s),-0.019706136,-0.018240089,0.000878469,0.022436638,-0.083531514,-0.090274221,-0.069783171,-0.015689137,-0.055957836,-0.021800225,0.049678006,0.120928535,1,0.011013146,-0.211309939,-0.015449432,0.028690425,0.037987721,0.019307512,0.034258314,0.027209412
