MonthOfYear,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),EVI,NDVI,average humidity (%),total rainfall (mm),average pressure (kPa),total radiation (W/m2),average temperature (oC),predominant winddirection,average windspeed (m/s)
09-2017,94.87,129.49,157.72,0.2245,0.3999,79.55,9.65,87.693,17835.53,21.85,E,0.7
10-2017,23.1,30.09,58.21,0.2728,0.41600000000000004,84.5,1.07,87.665,0.0,20.55,NE,0.95
11-2017,13.67,18.57,38.56,0.2165,0.4225,79.95,216.68,87.63600000000001,118238.95,22.05,E,0.69
12-2017,11.78,17.72,46.39,0.187,0.3653,73.99,27.74,87.59200000000001,124474.15,23.17,S,0.79
01-2018,7.56,11.08,28.75,0.1697,0.3407,69.63,28.44,87.58200000000001,115217.19,22.86,SE,0.9
02-2018,9.95,14.63,44.34,0.1571,0.2832,71.29,53.6,87.47200000000001,110826.36,23.97,SW,0.84
03-2018,9.86,13.81,37.33,0.3304,0.5482,82.93,179.04,87.635,100497.02,21.97,NW,1.29
04-2018,7.17,9.75,32.04,0.3304,0.5482,86.77,160.92,87.69,87066.04,21.31,SW,0.88
05-2018,8.35,11.42,35.76,0.2672,0.4741,83.41,2.49,87.736,92947.27,22.06,W,0.75
06-2018,9.03,12.46,37.76,0.215,0.3463,81.65,0.24,87.85799999999999,85422.65,21.59,SW,0.67
07-2018,10.61,14.83,39.93,0.183,0.377,76.15,19.95,87.87700000000001,125112.4,21.68,S,0.76
08-2018,10.96,14.85,39.41,0.2285,0.4008,58.19,86.88,87.84100000000001,112214.41,21.54,S,0.81
09-2018,7.955,10.735,29.88,0.2112,0.3622,78.7,77.94,87.65,120506.45,22.47,SE,0.82
10-2018,4.95,6.62,20.35,0.2477,0.408,81.35,225.8,87.671,115364.43,22.18,SE,0.87
11-2018,3.8,4.99,15.35,0.2589,0.4078,79.66,161.8,87.609,120177.83,22.95,SE,0.95
12-2018,3.88,5.13,13.07,0.268,0.4378,82.44,131.51,87.68799999999999,101651.61,22.35,SE,1.23
01-2019,6.26,8.27,20.41,0.2626,0.4309,77.2,101.89,87.655,120291.58,23.56,SE,1.87
02-2019,6.65,9.26,22.27,0.2184,0.3975,72.64,83.31,87.62200000000001,133341.67,24.29,SE,1.5
03-2019,7.04,10.25,24.13,0.2073,0.3637,73.59,38.9,87.671,167422.77,23.98,S,0.66
