TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3)
2017-07-31,18.3,25.96,60.24
2017-08-31,28.94,40.13,74.69
2017-09-30,94.87,129.49,157.72
2017-10-31,23.1,30.09,58.21
2017-11-30,13.57,18.43,38.27
2017-12-31,11.81,17.78,46.56
2018-01-31,7.58,11.11,28.75
2018-02-28,9.94,14.63,44.47
2018-03-31,9.86,13.81,37.33
2018-04-30,7.16,9.75,32.05
2018-05-31,8.37,11.44,35.78
2018-06-30,9.03,12.46,37.76
2018-07-31,10.61,14.83,39.93
2018-08-31,10.96,14.85,39.41
2018-09-30,7.955,10.735,29.88
2018-10-31,4.95,6.62,20.35
2018-11-30,3.8,4.99,15.35
2018-12-31,3.88,5.13,13.07
2019-01-31,6.26,8.27,20.41
2019-02-28,6.65,9.26,22.27
2019-03-31,7.04,10.25,24.13
