TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3)
2017-07-31,20.73,28.78,64.83
2017-08-31,28.47,39.55,73.93
2017-09-30,94.87,129.49,157.72
2017-10-31,23.1,30.09,58.21
2017-11-30,13.67,18.57,38.56
2017-12-31,11.78,17.72,46.39
2018-01-31,7.56,11.08,28.75
2018-02-28,9.95,14.63,44.34
2018-03-31,9.86,13.81,37.33
2018-04-30,7.17,9.75,32.04
2018-05-31,8.35,11.42,35.76
2018-06-30,9.03,12.46,37.76
2018-07-31,10.61,14.83,39.93
2018-08-31,10.96,14.85,39.41
2018-10-31,4.95,6.62,20.35
2018-11-30,3.8,4.99,15.35
2018-12-31,3.88,5.13,13.07
2019-01-31,6.26,8.27,20.41
2019-03-31,7.04,10.25,24.13
