,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),hour,EVI,NDVI,humidity (%),precipitation (mm),pressure (kPa),radiation (W/m2),temperature (oC),windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
PM1(Ug/m3),1.0,0.9959730719221634,0.8510534791176344,-0.08398400548163691,0.03870602921141811,0.03497284844383475,-0.005741212668474132,-0.01809683333810295,0.10452389322757819,-0.5309176747263926,-0.5306164577233612,-0.01970613569532615,0.04254544167426442,0.06185428965825237,0.02808813162428101,0.09293253254998284,-0.1076609979151699,0.03398919540225164,-0.08587519687816264,-0.014939750575829148
PM2.5(Ug/m3),0.9959730719221634,1.0,0.8745696223110686,-0.07630849464862582,0.0228833037400875,0.020741646965419892,-0.0030135157453436657,-0.020875875203980074,0.09744129504316436,-0.5438161214237418,-0.5361082772806259,-0.018240088675918257,0.03884026684035952,0.059026331998201155,0.02644716602995097,0.09625096440021239,-0.10686876338423605,0.03107806976412212,-0.08361627639481103,-0.010386574930683427
PM10(Ug/m3),0.8510534791176344,0.8745696223110686,1.0,0.18353612994961413,-0.0002510092963167934,-0.0027393985598360236,-0.012415767397323937,-0.015305218942396078,0.07386205599077299,-0.46608813642910546,-0.3806459157073754,0.000878468711238191,-0.0034704040451556404,0.05096686728042631,0.0010361676392519478,0.1373152957336036,-0.0887147712482965,-0.004227157451214634,-0.06223163345260855,0.020301392772840342
hour,-0.08398400548163691,-0.07630849464862582,0.18353612994961413,1.0,0.0004559509436116494,0.00042101798081990504,-0.0008539153145240933,-0.02726777225476227,-0.15387161331793942,0.09963291735468152,0.35199119222377656,0.022436637712411802,-0.08819644228738062,-0.017146242388975594,-0.05692560849575176,0.07237412619760662,0.05702864522038522,-0.018931939862347286,0.0028396543829449653,0.02514833953834777
EVI,0.03870602921141811,0.0228833037400875,-0.0002510092963167934,0.0004559509436116494,1.0,0.9421272666781896,0.018997384247698583,0.04246804665565977,0.05717982191641661,-0.050921366405487715,-0.09605762574091813,-0.08353151388235042,-0.06068377182446246,0.04781933268920615,-0.02813544123025099,0.10416436570015734,-0.0983223144738391,-0.005127682002811675,0.015539142187087835,0.06647641751728138
NDVI,0.03497284844383475,0.020741646965419892,-0.0027393985598360236,0.00042101798081990504,0.9421272666781896,1.0,0.019502984209450677,0.03898164941363779,0.07162496800279192,-0.046267592153287546,-0.1094586508345366,-0.09027422133240946,-0.07215871388902233,0.06374951086003752,-0.017979708447687186,0.1297344927675029,-0.11304054856129676,-0.04299659558818961,0.03088881826468945,0.08669101894059011
humidity (%),-0.005741212668474132,-0.0030135157453436657,-0.012415767397323937,-0.0008539153145240933,0.018997384247698583,0.019502984209450677,1.0,0.01574203273717176,-0.1203267915140517,-0.011435345492820766,0.013708773562377919,-0.015689137262616757,-0.001772455751349075,0.033951784502727456,0.014695209275544132,0.040243431565579135,-0.0711184225895982,-0.02055098347682282,0.01065872826894883,0.03507901171372195
precipitation (mm),-0.01809683333810295,-0.020875875203980074,-0.015305218942396078,-0.02726777225476227,0.04246804665565977,0.03898164941363779,0.01574203273717176,1.0,0.02623192082205588,-0.05361039422055778,-0.09139254111938547,-0.05595783625469223,0.0451088089760512,0.026018065038263403,0.015078654114796055,-0.02896415856006571,-0.01501681224661202,0.014255708353278242,-0.022682838761180834,-0.02478154845793551
pressure (kPa),0.10452389322757819,0.09744129504316436,0.07386205599077299,-0.15387161331793942,0.05717982191641661,0.07162496800279192,-0.1203267915140517,0.02623192082205588,1.0,0.10747615393296295,-0.27226319296812945,-0.02180022541745245,0.061092321150534104,0.0014711160630479366,0.028329027037621662,-0.027499262525533825,0.05094380074318725,-0.05849797438144972,-0.010658808746096218,-0.03561770840904662
radiation (W/m2),-0.5309176747263926,-0.5438161214237418,-0.46608813642910546,0.09963291735468152,-0.050921366405487715,-0.046267592153287546,-0.011435345492820766,-0.05361039422055778,0.10747615393296295,1.0,0.7567686341302737,0.04967800565804049,0.0005807746954459765,-0.046583411367388285,-0.023406826680790825,-0.13677701597817807,0.14372361089051403,5.258061804643674e-05,0.049066613730394316,-0.056318730901300115
temperature (oC),-0.5306164577233612,-0.5361082772806259,-0.3806459157073754,0.35199119222377656,-0.09605762574091813,-0.1094586508345366,0.013708773562377919,-0.09139254111938547,-0.27226319296812945,0.7567686341302737,1.0,0.12092853454746569,-0.09943060742178127,-0.0940055528591652,-0.08706394005776263,-0.1025322636973172,0.1559027767298212,0.08826405178602971,0.043948137522323134,-0.030506942444436615
