Hour,PM2.5(Ug/m3),hour,Date,Time(hrs),TimeStamp
00:00:00,73.73,0,2019-06-15,0 days 00:00:00.000000000,2019-06-15 00:00:00
01:00:00,69.91,1,2019-06-15,0 days 01:00:00.000000000,2019-06-15 01:00:00
02:00:00,65.68,2,2019-06-15,0 days 02:00:00.000000000,2019-06-15 02:00:00
03:00:00,60.77,3,2019-06-15,0 days 03:00:00.000000000,2019-06-15 03:00:00
04:00:00,56.25,4,2019-06-15,0 days 04:00:00.000000000,2019-06-15 04:00:00
05:00:00,55.22,5,2019-06-15,0 days 05:00:00.000000000,2019-06-15 05:00:00
06:00:00,55.92,6,2019-06-15,0 days 06:00:00.000000000,2019-06-15 06:00:00
07:00:00,64.79,7,2019-06-15,0 days 07:00:00.000000000,2019-06-15 07:00:00
08:00:00,79.57,8,2019-06-15,0 days 08:00:00.000000000,2019-06-15 08:00:00
09:00:00,73.47,9,2019-06-15,0 days 09:00:00.000000000,2019-06-15 09:00:00
10:00:00,54.53,10,2019-06-15,0 days 10:00:00.000000000,2019-06-15 10:00:00
11:00:00,44.97,11,2019-06-15,0 days 11:00:00.000000000,2019-06-15 11:00:00
12:00:00,40.58,12,2019-06-15,0 days 12:00:00.000000000,2019-06-15 12:00:00
13:00:00,38.64,13,2019-06-15,0 days 13:00:00.000000000,2019-06-15 13:00:00
14:00:00,36.63,14,2019-06-15,0 days 14:00:00.000000000,2019-06-15 14:00:00
15:00:00,35.69,15,2019-06-15,0 days 15:00:00.000000000,2019-06-15 15:00:00
16:00:00,34.95,16,2019-06-15,0 days 16:00:00.000000000,2019-06-15 16:00:00
17:00:00,35.69,17,2019-06-15,0 days 17:00:00.000000000,2019-06-15 17:00:00
18:00:00,38.79,18,2019-06-15,0 days 18:00:00.000000000,2019-06-15 18:00:00
19:00:00,46.49,19,2019-06-15,0 days 19:00:00.000000000,2019-06-15 19:00:00
20:00:00,63.53,20,2019-06-15,0 days 20:00:00.000000000,2019-06-15 20:00:00
21:00:00,73.65,21,2019-06-15,0 days 21:00:00.000000000,2019-06-15 21:00:00
22:00:00,76.14,22,2019-06-15,0 days 22:00:00.000000000,2019-06-15 22:00:00
23:00:00,76.07,23,2019-06-15,0 days 23:00:00.000000000,2019-06-15 23:00:00
