TimeStamp,PM2.5(Ug/m3)
2017-02-17,61.0
2017-02-18,53.42
2017-02-19,67.5
2017-02-20,43.79
2017-02-21,47.04
2017-02-22,30.54
2017-02-23,36.14
2017-02-24,36.17
2017-02-25,38.33
2017-02-26,54.0
2017-02-27,42.79
2017-02-28,45.46
2017-03-01,48.79
2017-03-02,37.21
2017-03-03,37.38
2017-03-04,36.08
2017-03-05,32.61
2017-03-06,53.78
2017-03-07,54.79
2017-03-08,59.5
2017-03-09,29.92
2017-03-10,31.04
2017-03-11,33.21
2017-03-12,40.38
2017-03-13,47.67
2017-03-14,54.42
2017-03-15,56.88
2017-03-16,35.96
2017-03-17,22.17
2017-03-18,58.38
2017-03-19,26.38
2017-03-20,25.58
2017-03-21,29.71
2017-03-22,38.29
2017-03-23,34.54
2017-03-24,40.75
2017-03-25,30.38
2017-03-26,36.75
2017-03-27,40.88
2017-03-28,37.71
2017-03-29,42.92
2017-03-30,36.71
2017-03-31,28.71
2017-04-01,34.33
2017-04-02,38.54
2017-04-03,43.25
2017-04-04,37.96
2017-04-05,30.46
2017-04-06,31.21
2017-04-07,26.88
2017-04-08,21.08
2017-04-09,25.0
2017-04-10,47.29
2017-04-11,45.12
2017-04-12,40.75
2017-04-13,44.09
2017-04-14,42.46
2017-04-15,55.58
2017-04-16,46.17
2017-04-17,32.54
2017-04-18,23.12
2017-04-19,25.25
2017-04-20,26.08
2017-04-21,21.29
2017-04-22,28.46
2017-04-23,33.42
2017-04-24,21.96
2017-04-25,34.88
2017-04-26,39.71
2017-04-27,38.88
2017-04-28,32.38
2017-04-29,38.46
2017-04-30,41.71
2017-05-01,32.46
2017-05-02,37.12
2017-05-03,39.96
2017-05-04,34.0
2017-05-05,27.21
2017-05-06,28.12
2017-05-07,24.71
2017-05-08,36.0
2017-05-09,22.17
2017-05-10,24.0
2017-05-11,26.21
2017-05-12,22.17
2017-05-13,21.12
2017-05-14,24.71
2017-05-15,40.62
2017-05-16,46.25
2017-05-17,46.04
2017-05-18,48.79
2017-05-19,43.33
2017-05-20,38.71
2017-05-21,35.5
2017-05-22,34.33
2017-05-23,33.43
2017-05-30,53.0
2017-05-31,38.88
2017-06-01,58.79
2017-06-02,45.33
2017-06-03,46.42
2017-06-04,66.46
2017-06-05,74.54
2017-06-06,63.29
2017-06-07,58.12
2017-06-08,76.71
2017-06-09,69.29
2017-06-10,52.46
2017-06-11,50.42
2017-06-12,45.0
2017-06-13,42.04
2017-06-14,36.46
2017-06-15,40.83
2017-06-16,44.04
2017-06-17,52.71
2017-06-18,46.83
2017-06-19,50.92
2017-06-20,57.38
2017-06-21,74.58
2017-06-22,81.62
2017-06-23,63.33
2017-06-24,69.79
2017-06-25,54.67
2017-06-26,56.75
2017-06-27,63.58
2017-06-28,62.0
2017-06-29,59.71
2017-06-30,57.96
2017-07-01,56.33
2017-07-02,64.33
2017-07-03,69.54
2017-07-04,59.75
2017-07-05,92.92
2017-07-06,57.42
2017-07-07,57.12
2017-07-08,63.83
2017-07-09,66.42
2017-07-10,80.12
2017-07-11,67.46
2017-07-12,76.5
2017-07-13,58.58
2017-07-14,54.04
2017-07-15,91.71
2017-07-16,86.21
2017-07-17,66.71
2017-07-18,75.96
2017-07-19,62.0
2017-07-20,55.38
2017-07-21,62.96
2017-07-22,54.62
2017-07-23,56.33
2017-07-24,82.29
2017-07-25,73.38
2017-07-26,58.92
2017-07-27,54.88
2017-07-28,65.04
2017-07-29,72.92
2017-07-30,63.17
2017-07-31,56.54
2017-08-01,57.25
2017-08-02,47.46
2017-08-03,61.96
2017-08-04,90.04
2017-08-05,81.67
2017-08-06,69.08
2017-08-07,70.58
2017-08-08,60.25
2017-08-09,52.46
2017-08-10,67.46
2017-08-11,72.25
2017-08-14,50.36
2017-08-15,49.71
2017-08-16,61.71
2017-08-17,49.0
2017-08-18,63.04
2017-08-19,74.58
2017-08-20,52.83
2017-08-21,75.12
2017-08-22,60.71
2017-08-23,55.25
2017-08-24,58.62
2017-08-25,65.71
2017-08-26,49.79
2017-08-27,51.46
2017-08-28,52.75
2017-08-29,54.71
2017-08-30,42.67
2017-08-31,52.83
2017-09-01,58.62
2017-09-02,59.96
2017-09-03,52.0
2017-09-04,33.67
2017-09-05,41.88
2017-09-06,67.75
2017-09-07,60.25
2017-09-08,83.29
2017-09-09,98.42
2017-09-10,51.12
2017-09-11,60.92
2017-09-12,79.21
2017-09-13,77.0
2017-09-14,43.96
2017-09-15,38.38
2017-09-16,62.0
2017-09-17,56.46
2017-09-18,40.54
2017-09-19,56.88
2017-09-20,64.12
2017-09-21,57.33
2017-09-22,44.38
2017-09-23,58.54
2017-09-24,65.79
2017-09-25,49.33
2017-09-26,54.83
2017-09-27,75.21
2017-09-28,59.79
2017-09-29,55.79
2017-09-30,51.92
2017-10-01,48.0
2017-10-02,72.67
2017-10-03,65.21
2017-10-04,69.86
2017-10-05,62.92
2017-10-06,73.12
2017-10-07,54.0
2017-10-08,55.04
2017-10-09,49.38
2017-10-10,48.83
2017-10-11,53.5
2017-10-12,40.25
2017-10-13,38.62
2017-10-14,73.21
2017-10-15,55.29
2017-10-16,34.58
2017-10-17,55.88
2017-10-18,52.88
2017-10-19,36.08
2017-10-20,40.04
2017-10-21,36.71
2017-10-22,43.96
2017-10-23,61.46
2017-10-24,59.17
2017-10-25,65.67
2017-10-26,46.96
2017-10-27,42.96
2017-10-28,46.08
2017-10-29,43.96
2017-10-30,48.33
2017-11-08,61.45
2017-11-09,44.38
2017-11-10,56.58
2017-11-11,52.25
2017-11-12,49.46
2017-11-13,60.65
2017-11-14,56.96
2017-11-15,77.0
2017-11-16,65.04
2017-11-17,72.33
2017-11-18,83.54
2017-11-19,73.46
2017-11-20,56.46
2017-11-21,63.88
2017-11-22,88.42
2017-11-23,81.04
2017-11-24,90.92
2017-11-25,106.54
2017-11-26,55.92
2017-11-27,48.17
2017-11-28,72.38
2017-11-29,57.5
2017-11-30,46.83
2017-12-01,46.17
2017-12-02,67.62
2017-12-03,66.71
2017-12-04,59.5
2017-12-05,55.96
2017-12-06,57.75
2017-12-07,43.04
2017-12-08,63.54
2017-12-09,54.67
2017-12-10,94.58
2017-12-11,97.21
2017-12-12,88.83
2017-12-13,77.42
2017-12-14,99.92
2017-12-15,99.71
2017-12-16,148.14
2017-12-17,63.67
2017-12-18,66.46
2017-12-19,58.54
2017-12-20,42.17
2017-12-21,51.92
2017-12-22,68.17
2017-12-23,70.33
2017-12-24,71.29
2017-12-25,72.75
2017-12-26,48.62
2017-12-27,58.04
2017-12-28,68.04
2017-12-29,94.33
2017-12-30,77.71
2017-12-31,78.04
2018-01-01,72.79
2018-01-02,90.62
2018-01-03,160.12
2018-01-04,168.17
2018-01-05,99.71
2018-01-06,133.83
2018-01-07,116.5
2018-01-08,105.83
2018-01-09,107.79
2018-01-10,114.17
2018-01-11,123.25
2018-01-12,72.04
2018-01-13,70.38
2018-01-14,51.08
2018-01-15,69.54
2018-01-16,67.38
2018-01-17,109.0
2018-01-18,97.12
2018-01-19,76.71
2018-01-20,92.92
2018-01-21,46.79
2018-01-22,63.42
2018-01-23,62.92
2018-01-24,47.67
2018-01-25,84.31
2018-01-26,77.46
2018-01-27,95.42
2018-01-28,59.04
2018-01-29,62.88
2018-01-30,88.79
2018-01-31,92.22
2018-02-01,84.38
2018-02-02,86.96
2018-02-03,64.83
2018-02-04,84.17
2018-02-05,72.08
2018-02-06,105.83
2018-02-07,67.58
2018-02-08,57.42
2018-02-09,77.67
2018-02-10,68.5
2018-02-11,80.0
2018-02-12,73.17
2018-02-13,52.25
2018-02-14,52.54
2018-02-15,57.79
2018-02-16,84.96
2018-02-17,69.71
2018-02-18,68.96
2018-02-19,52.38
2018-02-20,45.54
2018-02-21,48.83
2018-02-22,68.79
2018-02-23,48.58
2018-02-24,43.75
2018-02-25,56.54
2018-02-26,44.5
2018-02-27,39.62
2018-02-28,63.58
2018-03-01,61.5
2018-03-02,41.92
2018-03-03,70.0
2018-03-04,66.67
2018-03-05,61.62
2018-03-06,58.75
2018-03-07,52.29
2018-03-08,57.08
2018-03-09,55.29
2018-03-10,52.29
2018-03-11,53.25
2018-03-12,32.75
2018-03-13,9.18
2018-03-20,66.56
2018-03-21,37.25
2018-03-22,46.67
2018-03-23,42.78
2018-03-24,51.04
2018-03-25,38.95
2018-03-26,37.25
2018-03-27,39.92
2018-03-28,48.25
2018-03-29,72.75
2018-03-30,51.0
2018-03-31,60.75
2018-04-01,52.92
2018-04-02,35.67
2018-04-03,53.42
2018-04-04,42.79
2018-04-05,40.5
2018-04-06,49.71
2018-04-07,45.04
2018-04-08,39.08
2018-04-09,30.75
2018-04-10,28.62
2018-04-11,45.21
2018-04-12,28.93
2018-04-13,40.5
2018-04-14,38.62
2018-04-15,52.0
2018-04-16,43.17
2018-04-17,44.62
2018-04-18,41.67
2018-04-19,35.62
2018-04-20,52.42
2018-04-21,36.29
2018-04-22,43.33
2018-04-23,44.29
2018-04-24,49.79
2018-04-25,41.62
2018-04-26,38.17
2018-04-27,26.92
2018-04-28,30.21
2018-04-29,33.38
2018-04-30,30.88
2018-05-01,26.33
2018-05-02,28.88
2018-05-03,25.96
2018-05-04,32.42
2018-05-05,31.21
2018-05-06,31.62
2018-05-07,33.88
2018-05-08,31.88
2018-05-09,42.62
2018-05-10,26.25
2018-05-11,55.25
2018-05-12,52.5
2018-05-13,39.0
2018-05-14,55.46
2018-05-15,37.58
2018-05-16,37.46
2018-05-17,29.38
2018-05-18,42.38
2018-05-19,35.0
2018-05-20,40.12
2018-05-21,31.33
2018-05-22,35.5
2018-05-23,47.5
2018-05-24,54.67
2018-05-25,59.67
2018-05-26,56.0
2018-05-27,49.67
2018-05-28,45.75
2018-05-29,37.04
2018-05-30,61.88
2018-05-31,51.71
2018-06-01,53.13
2018-06-04,46.33
2018-06-05,45.08
2018-06-06,55.29
2018-06-07,80.88
2018-06-08,41.62
2018-06-09,53.29
2018-06-10,60.21
2018-06-11,52.38
2018-06-12,50.5
2018-06-13,56.79
2018-06-14,47.08
2018-06-15,54.29
2018-06-16,44.58
2018-06-17,59.43
2018-06-18,58.33
2018-06-19,38.5
2018-06-21,26.23
2018-06-22,24.49
2018-06-23,25.41
2018-06-24,25.69
2018-06-25,40.13
2018-06-26,48.77
2018-06-27,59.0
2018-06-28,67.38
2018-06-29,75.83
2018-06-30,62.79
2018-07-01,79.17
2018-07-02,59.21
2018-07-03,70.33
2018-07-05,40.0
2018-07-06,36.79
2018-07-07,50.5
2018-07-08,53.33
2018-07-09,53.08
2018-07-10,62.92
2018-07-11,65.46
2018-07-12,67.46
2018-07-13,62.42
2018-07-14,87.38
2018-07-15,83.62
2018-07-16,75.17
2018-07-17,52.75
2018-07-18,40.91
2018-07-19,44.65
2018-07-20,63.68
2018-07-21,76.87
2018-07-22,54.52
2018-07-23,53.92
2018-07-24,54.96
2018-07-25,53.04
2018-07-26,67.0
2018-07-27,49.21
2018-07-28,42.67
2018-07-29,69.04
