TimeStamp,PM2.5(Ug/m3),hour,EVI,NDVI,humidity (%),precipitation (mm),pressure (kPa),radiation (W/m2),temperature (oC),windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
2017-09-09 18:00:00,48.0,18,0.2018,0.3719,73,0.0,87.5,0.9,23.27,0.44,0,0,0,0,0,1,0,0
2017-09-09 19:00:00,46.0,19,0.2018,0.3719,77,0.0,87.58,0.0,22.72,0.38,0,0,1,0,0,0,0,0
2017-09-09 20:00:00,69.0,20,0.2018,0.3719,80,0.0,87.67,0.0,22.29,0.37,0,0,0,0,0,1,0,0
2017-09-09 21:00:00,84.0,21,0.2018,0.3719,82,0.0,87.66,0.0,21.71,0.34,0,1,0,0,0,0,0,0
2017-09-09 22:00:00,83.0,22,0.2018,0.3719,87,0.0,87.68,0.0,20.86,0.29,0,0,1,0,0,0,0,0
2017-09-09 23:00:00,138.0,23,0.2018,0.3719,90,0.0,87.77,0.0,20.3,0.46,0,0,0,0,0,1,0,0
2017-09-10 00:00:00,126.0,0,0.2018,0.3719,91,0.0,87.74,0.0,20.3,0.59,0,0,0,0,0,1,0,0
2017-09-10 01:00:00,63.0,1,0.2018,0.3719,91,0.0,87.67,0.0,20.14,0.99,0,0,0,0,0,1,0,0
2017-09-10 02:00:00,53.0,2,0.2018,0.3719,89,0.0,87.63,0.0,20.15,1.19,0,0,0,0,0,1,0,0
2017-09-10 03:00:00,48.0,3,0.2018,0.3719,89,0.0,87.59,0.0,19.78,0.69,1,0,0,0,0,0,0,0
2017-09-10 04:00:00,35.0,4,0.2018,0.3719,86,0.0,87.68,0.0,19.75,1.04,0,0,1,0,0,0,0,0
2017-09-10 05:00:00,34.0,5,0.2018,0.3719,93,0.0,87.72,0.0,19.4,0.51,1,0,0,0,0,0,0,0
2017-09-10 06:00:00,47.0,6,0.2018,0.3719,95,0.0,87.74,0.72,19.03,0.37,1,0,0,0,0,0,0,0
2017-09-10 07:00:00,74.0,7,0.2018,0.3719,97,0.0,87.78,36.35,19.32,0.43,0,0,0,0,0,0,0,1
2017-09-10 08:00:00,78.0,8,0.2018,0.3719,94,0.0,87.84,128.68,20.36,0.46,0,0,0,1,0,0,0,0
2017-09-10 09:00:00,65.0,9,0.2018,0.3719,86,0.0,87.88,295.5,22.14,0.58,0,0,0,0,0,0,0,1
2017-09-10 10:00:00,62.0,10,0.2018,0.3719,78,0.0,87.94,337.85,23.09,0.71,0,0,0,0,0,0,0,1
2017-09-10 11:00:00,40.0,11,0.2018,0.3719,70,0.0,87.89,760.4,25.3,0.92,0,1,0,0,0,0,0,0
2017-09-10 12:00:00,35.0,12,0.2018,0.3719,63,0.0,87.82,476.25,25.71,0.79,0,1,0,0,0,0,0,0
2017-09-10 13:00:00,36.0,13,0.2018,0.3719,61,0.0,87.73,262.57,25.79,0.57,1,0,0,0,0,0,0,0
2017-09-10 14:00:00,34.0,14,0.2018,0.3719,73,0.0,87.66,97.13,22.22,1.41,1,0,0,0,0,0,0,0
2017-09-10 15:00:00,54.0,15,0.2018,0.3719,70,0.0,87.55,453.62,22.81,0.91,0,1,0,0,0,0,0,0
2017-09-10 16:00:00,41.0,16,0.2018,0.3719,61,0.0,87.51,350.4,25.05,0.67,0,0,0,0,0,0,0,1
2017-09-10 17:00:00,30.0,17,0.2018,0.3719,54,0.0,87.49,310.97,26.37,0.79,0,0,0,0,0,0,0,1
2017-09-10 18:00:00,26.0,18,0.2018,0.3719,57,0.0,87.54,64.95,24.99,0.48,0,0,0,1,0,0,0,0
2017-09-10 19:00:00,32.0,19,0.2018,0.3719,65,0.0,87.65,0.0,23.06,0.35,0,1,0,0,0,0,0,0
2017-09-10 20:00:00,43.0,20,0.2018,0.3719,73,0.0,87.66,0.0,22.24,0.42,0,1,0,0,0,0,0,0
2017-09-10 21:00:00,47.0,21,0.2018,0.3719,77,0.0,87.73,0.0,21.54,0.39,0,0,1,0,0,0,0,0
2017-09-10 22:00:00,52.0,22,0.2018,0.3719,80,0.0,87.8,0.0,20.68,0.31,0,0,1,0,0,0,0,0
2017-09-10 23:00:00,72.0,23,0.2018,0.3719,83,0.0,87.8,0.0,20.14,0.43,0,0,1,0,0,0,0,0
2017-09-11 00:00:00,90.0,0,0.2018,0.3719,86,0.0,87.76,0.0,19.68,0.32,0,0,1,0,0,0,0,0
2017-09-11 01:00:00,117.0,1,0.2018,0.3719,90,0.0,87.72,0.0,19.37,0.53,0,1,0,0,0,0,0,0
2017-09-11 02:00:00,96.0,2,0.2018,0.3719,91,0.0,87.66,0.0,19.2,0.6,0,0,0,0,1,0,0,0
2017-09-11 03:00:00,49.0,3,0.2018,0.3719,93,0.0,87.6,0.0,18.57,0.33,0,0,1,0,0,0,0,0
